filter_id,cwl,fwhm,snr
S161,1150.7694405,11.0257097691,20306.155524
S162,1152.60705879,11.0303534134,20320.8564704
S163,1154.44545103,11.012620679,20335.5636082
S164,1156.28088781,10.9950292205,20350.2471025
S165,1158.11339268,10.9775772003,20364.9071414
S166,1159.94298888,10.9602628139,20379.543911
S167,1161.76969935,10.9430842896,20394.1575948
S168,1163.59354673,10.9260398869,20391.2516262
S169,1165.41455338,10.9091278967,20376.683573
S170,1167.23274136,10.8923466398,20362.1380691
S171,1169.04813247,10.8756944667,20347.6149403
S172,1170.86074821,10.8591697568,20333.1140143
S173,1172.67060984,10.8427709178,20318.6351213
S174,1174.47773832,10.8264963849,20304.1780934
S175,1176.28215439,10.8103446203,20300.0
S176,1178.08387849,10.7943141128,20300.0
S177,1179.88293084,10.7784033768,20300.0
S178,1181.67933141,10.7626109522,20300.0
S179,1183.4730999,10.7469354033,20300.0
S180,1185.2642558,10.731375319,20300.0
S181,1187.05281835,10.7233588282,20300.0
S182,1188.84004482,10.7266264849,20267.8389242
S183,1190.62781591,10.7298873067,20224.9324183
S184,1192.41613046,10.7331413127,20182.0128691
S185,1194.20498734,10.7363885217,20139.0803038
S186,1195.99438543,10.7396289524,20096.1347497
S187,1197.78432359,10.7428626236,20053.1762339
S188,1199.57480069,10.746089554,20010.2047834
S189,1201.36581562,10.749309762,19967.2204252
S190,1203.15736724,10.7525232664,19924.2231861
S191,1204.94945445,10.7557300855,19881.2130931
S192,1206.74207614,10.7589302377,19838.1901727
S193,1208.53523118,10.7621237416,19795.1544518
S194,1210.32891847,10.7653106153,19752.1059568
S195,1212.1231369,10.768490877,19709.0447144
S196,1213.91788538,10.7716645451,19756.7154152
S197,1215.71316281,10.7748316377,19828.5265122
S198,1217.50896808,10.7779921727,19900.3587231
S199,1219.30530011,10.7811461683,19972.2120043
S200,1221.1021578,10.7842936423,20044.0863121
S201,1222.89954008,10.7866876437,20115.981603
S202,1224.69732135,10.7890266851,20187.892854
S203,1226.49549246,10.791360385,20223.9278794
S204,1228.29405253,10.7936887603,20252.7048404
S205,1230.09300065,10.7960118278,20281.4880105
S206,1231.89233596,10.7983296044,20310.2773753
S207,1233.69205756,10.8006421069,20339.072921
S208,1235.49216458,10.802949352,20367.8746332
S209,1237.29265614,10.8052513562,20396.6824982
S210,1239.09353136,10.8075481362,20400.0
S211,1240.89478939,10.8098397085,20400.0
S212,1242.69642934,10.8121260895,20400.0
S213,1244.49845035,10.8144072955,20400.0
S214,1246.30085157,10.8166833429,20400.0
S215,1248.10363212,10.818954248,20400.0
S216,1249.90679117,10.8212200268,20400.0
S217,1251.71032784,10.8234806956,20400.0
S218,1253.51424129,10.8257362703,20400.0
S219,1255.31853066,10.8279867671,20400.0
S220,1257.12319513,10.8339732951,20400.0
S221,1258.92885734,10.8433877344,20400.0
S222,1260.73608863,10.8527996792,20400.0
S223,1262.54488858,10.8622091175,20399.6408914
S224,1264.35525676,10.8716160377,20385.1579459
S225,1266.16719277,10.8810204279,20370.6624578
S226,1267.98069617,10.8904222765,20356.1544306
S227,1269.79576655,10.8998215717,20341.6338676
S228,1271.61240348,10.909218302,20327.1007721
S229,1273.43060653,10.9186124556,20312.5551477
S230,1275.25037528,10.9280040209,20297.9969978
S231,1277.07170928,10.9373929865,20283.4263258
S232,1278.89460811,10.9467793406,20268.8431351
S233,1280.71907133,10.9561630719,20254.2474293
S234,1282.54509851,10.9655441688,20239.6392119
S235,1284.37268921,10.9749226199,20225.0184863
S236,1286.20184298,10.9842984136,20210.3852562
S237,1288.03255938,10.9936715388,20191.4790499
S238,1289.86483797,11.0030419838,20162.1625925
S239,1291.6986783,11.0100300189,20132.8211472
S240,1293.5336833,11.0117586276,20103.4610672
S241,1295.36897641,11.0134831498,20074.0963775
S242,1297.20455693,11.0152035992,20044.7270891
S243,1299.0404242,11.0169199896,20015.3532128
S244,1300.87657753,11.0186323347,19985.9747595
S245,1302.71301625,11.0203406479,19956.59174
S246,1304.54973969,11.022044943,19927.2041649
S247,1306.38674718,11.0237452333,19897.812045
S248,1308.22403806,11.0254415322,19868.4153911
S249,1310.06161165,11.0271338532,19839.0142137
S250,1311.89946729,11.0288222095,19809.6085234
S251,1313.73760432,11.0305066144,19770.2974963
S252,1315.57602209,11.0321870812,19726.1754698
S253,1317.41471994,11.0338636228,19682.0467215
S254,1319.25369721,11.0355362525,19637.911267
S255,1321.09295325,11.0372049831,19593.769122
S256,1322.93248742,11.0388698279,19549.620302
S257,1324.77229905,11.0405307995,19505.4648227
S258,1326.61238752,11.0446715927,19461.3026995
S259,1328.45316612,11.0636271333,19417.1240132
S260,1330.29710397,11.0826276861,19372.8695046
S261,1332.14420859,11.1016734051,19328.5389939
S262,1333.99448749,11.120764445,19284.1323003
S263,1335.84794823,11.1399009612,19239.6492425
S264,1337.70459839,11.1590831097,19193.4528515
S265,1339.56444558,11.1783110475,19133.9377416
S266,1341.42749742,11.1975849321,19074.3200827
S267,1343.29376157,11.2169049219,19014.5996297
S268,1345.16324573,11.2362711759,18954.7761368
