Data ID,bir2jbg60a
Sample ID,JB-JLB-G60-A
Mineral Name,halite
Sample Description,"Halite medium grains (JB1660a, Melissa Lane SL6)"
Date Added,2017-06-02
Viewing Geometry,            i=NA deg             e=NA deg
Other Information,Instrument name: Thermo Nicolet Nexus 870 FTIR with Pike AutoDiff Diffuse Reflectance Accessory;                         Range: 833.4 - 99718.8 nm;                         Mineral Group: halide
Grain Size,0 - 250 micrometer
Database of Origin,RELAB
Wavelength,Response
902.3,0.51442
902.4,0.51306
902.5,0.51276
902.5,0.51354
902.6,0.51296
902.7,0.51345
902.8,0.51473
902.9,0.51544
902.9,0.51531
903.0,0.51494
903.1,0.51359
903.2,0.5128
903.3,0.51267
903.3,0.51368
903.4,0.51461
903.5,0.51393
903.6,0.514
903.7,0.51421
903.7,0.51444
903.8,0.51499
903.9,0.51465
904.0,0.51293
904.0,0.512
904.1,0.51276
904.2,0.5133
904.3,0.51319
904.4,0.51234
904.4,0.51256
904.5,0.5133
904.6,0.51271
904.7,0.51201
904.8,0.51247
904.8,0.51359
904.9,0.51344
905.0,0.51308
905.1,0.51171
905.2,0.51153
905.2,0.51211
905.3,0.51266
905.4,0.51288
905.5,0.51241
905.5,0.51253
905.6,0.51244
905.7,0.51216
905.8,0.51104
905.9,0.51137
905.9,0.51209
906.0,0.51175
906.1,0.51166
906.2,0.51026
906.3,0.50988
906.3,0.51034
906.4,0.51034
906.5,0.51123
906.6,0.51262
906.7,0.51338
906.7,0.51262
906.8,0.51121
906.9,0.51101
907.0,0.51078
907.0,0.51023
907.1,0.51027
907.2,0.51028
907.3,0.50989
907.4,0.51009
907.4,0.50978
907.5,0.5106
907.6,0.51169
907.7,0.51142
907.8,0.51019
907.8,0.51043
907.9,0.51012
908.0,0.51015
908.1,0.51038
908.2,0.51005
908.2,0.50934
908.3,0.50921
908.4,0.51022
908.5,0.51164
908.6,0.51057
908.6,0.50928
908.7,0.50923
908.8,0.50957
908.9,0.5098
909.0,0.50924
909.0,0.50777
909.1,0.50833
909.2,0.50952
909.3,0.50951
909.3,0.50958
909.4,0.50966
909.5,0.50869
909.6,0.50856
909.7,0.50902
909.8,0.50892
909.8,0.50877
909.9,0.50874
910.0,0.50896
910.1,0.50849
910.2,0.50876
910.2,0.50966
910.3,0.50917
910.4,0.50923
910.5,0.51
910.5,0.50925
910.6,0.5085
910.7,0.50849
910.8,0.50831
910.9,0.5081
911.0,0.50733
911.0,0.50704
911.1,0.5067
911.2,0.50628
911.3,0.5067
911.3,0.50811
911.4,0.5086
911.5,0.50809
911.6,0.50738
911.7,0.50706
911.8,0.50748
911.8,0.50806
911.9,0.50819
912.0,0.50785
912.1,0.50738
912.2,0.50663
912.2,0.50645
912.3,0.50701
912.4,0.50713
912.5,0.50736
912.5,0.5078
912.6,0.50763
912.7,0.50701
912.8,0.5063
912.9,0.50638
913.0,0.50696
913.0,0.50596
913.1,0.50541
913.2,0.50492
913.3,0.50525
913.4,0.50573
913.4,0.50589
913.5,0.50604
913.6,0.50624
913.7,0.50639
913.8,0.50622
913.8,0.50616
913.9,0.5059
914.0,0.5058
914.1,0.50695
914.2,0.50758
914.2,0.50604
914.3,0.50483
914.4,0.50546
914.5,0.50602
914.6,0.506
914.6,0.50643
914.7,0.50654
914.8,0.5057
914.9,0.50562
915.0,0.50501
915.0,0.5041
915.1,0.50482
915.2,0.50454
915.3,0.5044
915.4,0.50488
915.5,0.50506
915.5,0.50492
915.6,0.50427
915.7,0.50429
915.8,0.505
915.9,0.50519
915.9,0.50444
916.0,0.50471
916.1,0.50505
916.2,0.50498
916.3,0.50582
916.3,0.50667
916.4,0.50582
916.5,0.50451
916.6,0.50434
916.7,0.50468
916.8,0.50517
916.8,0.50457
916.9,0.50451
917.0,0.50495
917.1,0.50497
917.2,0.50533
917.2,0.50549
917.3,0.50473
917.4,0.50466
917.5,0.50362
917.6,0.50221
917.6,0.5019
917.7,0.50317
917.8,0.50415
917.9,0.50363
918.0,0.50319
918.0,0.50442
918.1,0.50517
918.2,0.5045
918.3,0.50392
918.4,0.50418
918.5,0.50386
918.5,0.50369
918.6,0.50476
918.7,0.5051
918.8,0.50305
918.9,0.50209
918.9,0.50286
919.0,0.50365
919.1,0.5027
919.2,0.50197
919.3,0.50171
919.3,0.50151
919.4,0.50219
919.5,0.50219
919.6,0.50201
919.7,0.50234
919.8,0.50233
919.8,0.50169
919.9,0.50162
920.0,0.50209
920.1,0.50192
920.2,0.50152
920.2,0.50165
920.3,0.50233
920.4,0.50216
920.5,0.50194
920.6,0.50179
920.7,0.50192
920.7,0.50165
920.8,0.50175
920.9,0.50204
921.0,0.50173
921.1,0.50136
921.1,0.50078
921.2,0.50111
921.3,0.50138
921.4,0.50085
921.5,0.50054
921.5,0.50169
921.6,0.50157
921.7,0.5004
921.8,0.50006
921.9,0.50073
922.0,0.50135
922.0,0.50157
922.1,0.50152
922.2,0.50076
922.3,0.50002
922.4,0.50035
922.5,0.5008
922.5,0.50064
922.6,0.50074
922.7,0.50104
922.8,0.50113
922.9,0.50055
922.9,0.50068
923.0,0.50067
923.1,0.50101
923.2,0.50108
923.3,0.50064
923.3,0.50006
923.4,0.50042
923.5,0.50031
923.6,0.50076
923.7,0.50094
923.8,0.5009
923.8,0.50041
923.9,0.50107
924.0,0.50081
924.1,0.49966
924.2,0.50009
924.3,0.50126
924.3,0.5002
924.4,0.49916
924.5,0.49949
924.6,0.50033
924.7,0.50115
924.8,0.50002
924.8,0.49944
924.9,0.49985
925.0,0.50015
925.1,0.49938
925.2,0.49858
925.3,0.49896
925.3,0.4993
925.4,0.49889
925.5,0.49795
925.6,0.49765
925.7,0.49827
925.7,0.49892
925.8,0.49854
925.9,0.49907
926.0,0.49997
926.1,0.49931
926.2,0.49901
926.2,0.49943
926.3,0.49839
926.4,0.49778
926.5,0.49821
926.6,0.49805
926.7,0.49791
926.7,0.49852
926.8,0.49874
926.9,0.49821
927.0,0.49853
927.1,0.49846
927.2,0.49787
927.2,0.49775
927.3,0.49809
927.4,0.49814
927.5,0.49832
927.6,0.49859
927.7,0.49804
927.7,0.49843
927.8,0.49953
927.9,0.49938
928.0,0.49884
928.1,0.49777
928.2,0.49698
928.2,0.49775
928.3,0.49874
928.4,0.49878
928.5,0.49843
928.6,0.49794
928.6,0.49693
928.7,0.49639
928.8,0.49641
928.9,0.49714
929.0,0.49756
929.1,0.4971
929.1,0.49651
929.2,0.49606
929.3,0.49709
929.4,0.4973
929.5,0.49667
929.6,0.49681
929.6,0.49661
929.7,0.49665
929.8,0.49712
929.9,0.49699
930.0,0.49646
930.1,0.49651
930.1,0.49652
930.2,0.4963
930.3,0.49631
930.4,0.49616
930.5,0.49679
930.6,0.49761
930.6,0.49693
930.7,0.49609
930.8,0.49539
930.9,0.49544
931.0,0.49576
931.1,0.49544
931.1,0.49483
931.2,0.49549
931.3,0.4966
931.4,0.49653
931.5,0.49582
931.6,0.49521
931.7,0.49568
931.7,0.49613
931.8,0.49589
931.9,0.49565
932.0,0.49568
932.1,0.49556
932.2,0.49512
932.2,0.4949
932.3,0.49513
932.4,0.49494
932.5,0.49528
932.6,0.49515
932.7,0.49445
932.7,0.49444
932.8,0.49477
932.9,0.49528
933.0,0.49517
933.1,0.49495
933.2,0.49425
933.2,0.49419
933.3,0.49488
933.4,0.49523
933.5,0.4958
933.6,0.49574
933.7,0.49476
933.7,0.49438
933.8,0.49456
933.9,0.49463
934.0,0.49412
934.1,0.49426
934.2,0.49414
934.3,0.49441
934.3,0.49432
934.4,0.49358
934.5,0.49305
934.6,0.4929
934.7,0.49301
934.8,0.49381
934.8,0.49437
934.9,0.4943
935.0,0.49333
935.1,0.49319
935.2,0.4932
935.3,0.49346
935.3,0.49439
935.4,0.4942
935.5,0.49333
935.6,0.49312
935.7,0.49336
935.8,0.49336
935.8,0.49265
935.9,0.49264
936.0,0.49347
936.1,0.49363
936.2,0.49323
936.3,0.49331
936.4,0.49389
936.4,0.49391
936.5,0.49406
936.6,0.49417
936.7,0.49367
936.8,0.4929
936.9,0.49201
937.0,0.49193
937.0,0.49239
937.1,0.49241
937.2,0.4926
937.3,0.49249
937.4,0.49174
937.5,0.492
937.5,0.49227
937.6,0.49189
937.7,0.49111
937.8,0.49169
937.9,0.4928
938.0,0.49278
938.0,0.49261
