Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),RELAB,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
1653.0,0.8983407974243164,0.8235066056251525,0.9054895401000976,0.7374812245368958,0.47324439883232117,0.49364466667175294,0.8856115102767944,0.43137661218643186,0.2688692033290863,0.37398640513420106,0.6954468,0.8348203659057617,0.33110420107841493,0.44848300218582154,0.9329465985298157,0.6284957885742187,0.5620036244392395,0.715562,0.527495002746582,0.636801791191101,0.5167152166366578,0.861747217,0.6665072083473206,0.7639439821243286,0.8588443398475647,0.8835411310195923,0.8787422180175781,0.41059141159057616,0.8301287174224854
1654.0,0.8988203883171082,0.8237088084220886,0.9056790947914124,0.7376886248588562,0.47315719723701477,0.4942263126373291,0.8858584046363831,0.4315458118915558,0.2681796014308929,0.3748202085494995,0.6958484,0.8349788665771485,0.33125159740447996,0.448811000585556,0.9330237984657288,0.6283963799476624,0.562300956249237,0.715576,0.5274140119552613,0.6368143916130066,0.5168866157531739,0.861223614,0.6665254950523376,0.7636369824409485,0.8590826392173767,0.8841239929199218,0.8789796233177185,0.41074621081352236,0.830108368396759
1655.0,0.8992999792098999,0.8239110112190247,0.905868649482727,0.7378960251808167,0.4730699956417084,0.4948079586029053,0.8861052989959717,0.4317150115966797,0.2674899995326996,0.375654011964798,0.69625,0.8351373672485352,0.33139899373054504,0.4491389989852905,0.9331009984016418,0.628296971321106,0.5625982880592346,0.71559,0.5273330211639404,0.6368269920349121,0.5170580148696899,0.860700011,0.6665437817573547,0.7633299827575684,0.8593209385871887,0.8847068548202515,0.8792170286178589,0.4109010100364685,0.8300880193710327
1656.0,0.8987189888954162,0.8232730031013489,0.9056833386421204,0.7377130150794983,0.4729411959648132,0.49542354941368105,0.8854415893554688,0.43131300806999207,0.26677680015563965,0.37622401118278503,0.6964978000000001,0.8349138259887695,0.3315463960170746,0.4493120014667511,0.9334318041801453,0.6285597801208496,0.5627488255500793,0.7158359999999999,0.5274188160896301,0.6370313882827758,0.517229413986206,0.8606084106,0.6669083356857299,0.763159990310669,0.8587017774581909,0.8850777745246887,0.8791040182113647,0.4107646107673645,0.8301582098007202
1657.0,0.8981379985809326,0.8226349949836731,0.9054980278015137,0.7375300049781799,0.4728123962879181,0.4960391402244568,0.8847778797149658,0.43091100454330444,0.2660636007785797,0.3767940104007721,0.6967456000000001,0.8346902847290039,0.3316937983036041,0.44948500394821167,0.9337626099586487,0.6288225889205933,0.562899363040924,0.716082,0.5275046110153199,0.6372357845306397,0.5174008131027221,0.8605168102,0.6672728896141052,0.7629899978637695,0.8580826163291931,0.885448694229126,0.8789910078048706,0.4106282114982605,0.8302284002304077
1658.0,0.897557008266449,0.8219969868659973,0.905312716960907,0.7373469948768616,0.47268359661102294,0.49665473103523256,0.8841141700744629,0.4305090010166168,0.2653504014015198,0.37736400961875916,0.6969934,0.8344667434692383,0.33184120059013367,0.44965800642967224,0.9340934157371521,0.6290853977203369,0.5630499005317688,0.716328,0.5275904059410095,0.6374401807785034,0.5175722122192383,0.8604252098,0.6676374435424804,0.7628200054168701,0.8574634552001953,0.8858196139335632,0.8788779973983765,0.4104918122291565,0.8302985906600953
1659.0,0.8969760179519654,0.8213589787483215,0.9051274061203003,0.7371639847755432,0.47255479693412783,0.4972703218460083,0.8834504604339599,0.4301069974899292,0.26463720202445984,0.3779340088367462,0.6972412,0.8342432022094727,0.3319886028766632,0.4498310089111328,0.9344242215156555,0.6293482065200806,0.5632004380226135,0.716574,0.5276762008666992,0.6376445770263672,0.5177436113357544,0.8603336094,0.6680019974708558,0.7626500129699707,0.8568442940711976,0.8861905336380005,0.8787649869918823,0.4103554129600525,0.8303687810897827
1660.0,0.8963950276374817,0.8207209706306458,0.9049420952796936,0.7369809746742249,0.47242599725723267,0.49788591265678406,0.882786750793457,0.4297049939632416,0.2639240026473999,0.3785040080547333,0.697489,0.834019660949707,0.33213600516319275,0.4500040113925934,0.9347550272941589,0.6296110153198242,0.5633509755134583,0.71682,0.5277619957923889,0.637848973274231,0.5179150104522705,0.860242009,0.668366551399231,0.7624800205230713,0.8562251329421997,0.8865614533424377,0.8786519765853882,0.4102190136909485,0.8304389715194702
1661.0,0.8964460253715515,0.8208749771118165,0.9055308341979981,0.7367899775505066,0.47233359813690184,0.4982171177864075,0.8829412698745728,0.430063396692276,0.26309640407562257,0.37909760475158694,0.6984082,0.8340035915374756,0.331986802816391,0.4502776086330414,0.9344042181968689,0.6296174168586731,0.5634752750396729,0.71667,0.5279701948165894,0.6380821824073791,0.5179166078567505,0.8602570056000001,0.6684063673019409,0.7619270205497741,0.855457878112793,0.8868748784065247,0.8779423832893372,0.41031461358070376,0.8303829789161682
1662.0,0.8964970231056213,0.821028983592987,0.9061195731163025,0.7365989804267883,0.472241199016571,0.4985483229160309,0.8830957889556885,0.4304217994213104,0.26226880550384524,0.37969120144844054,0.6993274,0.8339875221252442,0.3318376004695892,0.4505512058734894,0.9340534090995789,0.629623818397522,0.5635995745658875,0.71652,0.5281783938407898,0.6383153915405273,0.5179182052612304,0.8602720022,0.6684461832046509,0.7613740205764771,0.8546906232833862,0.8871883034706116,0.8772327899932861,0.410410213470459,0.8303269863128662
1663.0,0.8965480208396912,0.8211829900741577,0.9067083120346069,0.7364079833030701,0.47214879989624026,0.4988795280456543,0.8832503080368042,0.43078020215034485,0.26144120693206785,0.3802847981452942,0.7002465999999999,0.8339714527130127,0.3316883981227875,0.45082480311393736,0.9337026000022888,0.6296302199363708,0.563723874092102,0.71637,0.5283865928649902,0.6385486006736756,0.5179198026657105,0.8602869988,0.6684859991073608,0.7608210206031799,0.8539233684539795,0.8875017285346984,0.8765231966972351,0.41050581336021424,0.8302709937095643
1664.0,0.896599018573761,0.8213369965553283,0.9072970509529114,0.7362169861793518,0.47205640077590943,0.4992107331752777,0.8834048271179199,0.4311386048793793,0.2606136083602905,0.3808783948421478,0.7011658,0.8339553833007812,0.33153919577598573,0.45109840035438536,0.9333517909049988,0.6296366214752197,0.5638481736183166,0.71622,0.5285947918891907,0.6387818098068238,0.5179214000701904,0.8603019954,0.6685258150100708,0.7602680206298829,0.8531561136245728,0.8878151535987854,0.8758136034011841,0.41060141324996946,0.8302150011062622
1665.0,0.8966500163078308,0.821491003036499,0.9078857898712158,0.7360259890556335,0.4719640016555786,0.4995419383049011,0.8835593461990356,0.4314970076084137,0.2597860097885132,0.38147199153900146,0.702085,0.8339393138885498,0.33138999342918396,0.4513719975948334,0.9330009818077087,0.6296430230140686,0.5639724731445312,0.71607,0.5288029909133911,0.6390150189399719,0.5179229974746704,0.860316992,0.6685656309127808,0.7597150206565857,0.852388858795166,0.8881285786628723,0.8751040101051331,0.41069701313972473,0.8301590085029602
1666.0,0.8967566132545471,0.8215026021003723,0.908388352394104,0.7360485911369323,0.47186520099639895,0.49980870485305784,0.8835578203201294,0.4314966082572937,0.2591510057449341,0.381754994392395,0.7026711999999999,0.8338882803916932,0.3314277946949005,0.4514761984348297,0.931974983215332,0.6293968200683594,0.5640641331672669,0.71607,0.5288253903388977,0.6392806172370911,0.5180462002754211,0.8604429962,0.668467891216278,0.7590694189071655,0.8516854643821716,0.8884042739868164,0.8751620054244995,0.410711008310318,0.8300847887992859
1667.0,0.8968632102012635,0.8215142011642456,0.9088909149169921,0.7360711932182312,0.4717664003372192,0.5000754714012146,0.8835562944412232,0.4314962089061737,0.25851600170135497,0.3820379972457886,0.7032573999999999,0.8338372468948364,0.3314655959606171,0.45158039927482607,0.9309489846229553,0.6291506171226502,0.5641557931900024,0.71607,0.5288477897644043,0.6395462155342102,0.5181694030761719,0.8605690004,0.6683701515197754,0.7584238171577453,0.8509820699691772,0.8886799693107605,0.875220000743866,0.41072500348091123,0.8300105690956116
1668.0,0.8969698071479797,0.8215258002281189,0.9093934774398804,0.73609379529953,0.47166759967803956,0.5003422379493714,0.8835547685623169,0.43149580955505373,0.2578809976577759,0.38232100009918213,0.7038436,0.8337862133979798,0.3315033972263336,0.45168460011482237,0.9299229860305787,0.6289044141769409,0.5642474532127381,0.71607,0.5288701891899109,0.6398118138313293,0.5182926058769226,0.8606950046,0.6682724118232727,0.7577782154083252,0.8502786755561829,0.8889556646347045,0.8752779960632324,0.41073899865150454,0.8299363493919373
1669.0,0.897076404094696,0.8215373992919922,0.9098960399627686,0.7361163973808289,0.47156879901885984,0.5006090044975281,0.8835532426834106,0.4314954102039337,0.25724599361419676,0.3826040029525757,0.7044298,0.833735179901123,0.33154119849205016,0.4517888009548187,0.9288969874382019,0.6286582112312317,0.5643391132354736,0.71607,0.5288925886154174,0.6400774121284485,0.5184158086776733,0.8608210088,0.6681746721267701,0.757132613658905,0.8495752811431885,0.8892313599586487,0.8753359913825989,0.4107529938220978,0.8298621296882629
1670.0,0.8971830010414124,0.8215489983558655,0.9103986024856567,0.7361389994621277,0.4714699983596802,0.5008757710456848,0.8835517168045044,0.4314950108528137,0.2566109895706177,0.38288700580596924,0.705016,0.8336841464042664,0.3315789997577667,0.45189300179481506,0.9278709888458252,0.6284120082855225,0.5644307732582092,0.71607,0.5289149880409241,0.6403430104255676,0.5185390114784241,0.860947013,0.6680769324302673,0.7564870119094849,0.8488718867301941,0.8895070552825928,0.8753939867019653,0.41076698899269104,0.8297879099845886
1671.0,0.8973474025726318,0.8211948037147522,0.9099260687828064,0.7361853957176209,0.4713319957256317,0.5012765645980835,0.8823678374290467,0.4314162075519562,0.25577999353408815,0.38325920701026917,0.7055148,0.8333441019058228,0.3317134022712708,0.45207459926605226,0.9284435868263244,0.6287268042564392,0.564472496509552,0.7159639999999999,0.5289383888244629,0.6402472138404847,0.5185406088829041,0.860647607,0.6679830312728882,0.7557634115219116,0.8484656095504761,0.8895846128463745,0.875408387184143,0.4106879889965057,0.8296814322471618
