Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),RELAB,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
2119.0,0.32245219945907594,0.3180992066860199,0.43810140490531924,0.757661,0.8221105694770813,0.3348364055156708,0.40104806423187256,0.642993175983429,0.6669386148452758,0.7824318170547485,0.15213200449943542,0.7044356465339661,0.4869153916835785,0.7708559989929199,0.6630782127380371,0.5572211146354675,0.608876,0.49579660296440126,0.5999930262565613,0.5130069613456726,0.6909471871999999,0.5511984944343566,0.8720964074134827,0.6879705905914306,0.9087890744209289,0.7214154005050659,0.3556708753108978,0.6727720975875855,0.6933468103408813
2120.0,0.3221549987792969,0.31918901205062866,0.4379830062389374,0.75768,0.8223750591278076,0.33480000495910645,0.3957729935646057,0.6431457996368408,0.665451169013977,0.781682014465332,0.15171800553798676,0.7047345042228699,0.4869909882545471,0.7704280018806458,0.6630470156669617,0.5563470721244812,0.60925,0.49575600028038025,0.6002650260925293,0.5130354762077332,0.69134599,0.5490432381629944,0.8715850114822388,0.6885179877281189,0.9087746739387512,0.721343994140625,0.35568109154701233,0.6730100512504578,0.6926066875457764
2121.0,0.32201060056686404,0.319565612077713,0.437922602891922,0.7575478,0.8226395726203919,0.3349250018596649,0.3898811757564545,0.6432984352111817,0.6646191477775574,0.7812574148178101,0.15123340487480164,0.7050374507904053,0.4870147883892059,0.770358395576477,0.6630216121673584,0.555472993850708,0.60898,0.4959028005599976,0.6003312230110168,0.5130848288536072,0.6912737968,0.5468878865242004,0.8715544104576111,0.6888573884963989,0.9087602734565735,0.7213231921195984,0.35570762157440183,0.673248016834259,0.6918665289878845
2122.0,0.32186620235443114,0.31994221210479734,0.4378621995449066,0.7574156,0.822904086112976,0.3350499987602234,0.38398935794830324,0.6434510707855224,0.6637871265411377,0.7808328151702881,0.15074880421161652,0.7053403973579406,0.4870385885238647,0.7702887892723084,0.6629962086677551,0.5545989155769349,0.60871,0.49604960083961486,0.6003974199295044,0.5131341814994812,0.6912016035999999,0.5447325348854065,0.8715238094329834,0.689196789264679,0.9087458729743958,0.7213023900985718,0.3557341516017914,0.6734859824180603,0.6911263704299927
2123.0,0.3217218041419983,0.32031881213188174,0.4378017961978912,0.7572834,0.8231685996055603,0.33517499566078185,0.37809754014015196,0.6436037063598633,0.662955105304718,0.7804082155227661,0.1502642035484314,0.7056433439254761,0.4870623886585236,0.7702191829681396,0.6629708051681519,0.5537248373031616,0.60844,0.4961964011192322,0.600463616847992,0.5131835341453552,0.6911294104,0.5425771832466125,0.8714932084083558,0.689536190032959,0.908731472492218,0.7212815880775452,0.3557606816291809,0.6737239480018615,0.6903862118721008
2124.0,0.3215774059295654,0.3206954121589661,0.4377413928508759,0.7571512,0.8234331130981445,0.33529999256134035,0.3722057223320007,0.6437563419342041,0.6621230840682983,0.7799836158752441,0.14977960288524628,0.7059462904930115,0.4870861887931824,0.770149576663971,0.6629454016685485,0.5528507590293884,0.60817,0.49634320139884947,0.6005298137664795,0.5132328867912292,0.6910572171999999,0.5404218316078186,0.871462607383728,0.6898755908012391,0.9087170720100403,0.7212607860565186,0.35578721165657046,0.6739619135856628,0.689646053314209
2125.0,0.32143300771713257,0.3210720121860504,0.4376809895038605,0.757019,0.8236976265907288,0.3354249894618988,0.3663139045238495,0.6439089775085449,0.6612910628318787,0.7795590162277222,0.14929500222206116,0.7062492370605469,0.4871099889278412,0.7700799703598022,0.6629199981689453,0.5519766807556152,0.6079,0.4964900016784668,0.600596010684967,0.5132822394371033,0.690985024,0.5382664799690247,0.8714320063591003,0.690214991569519,0.9087026715278625,0.7212399840354919,0.35581374168395996,0.6741998791694641,0.6889058947563171
2126.0,0.3212526082992554,0.3222686111927032,0.4376015901565552,0.7571954,0.8239970684051514,0.3353423893451691,0.3625877559185028,0.6436199188232422,0.659965968132019,0.7786304116249084,0.14890700280666352,0.7065869212150574,0.4872549891471863,0.7686699748039245,0.663398802280426,0.549824059009552,0.60778,0.4961360037326813,0.6004600048065185,0.513104522228241,0.691243422,0.537296712398529,0.8714372038841247,0.6905781984329223,0.908742892742157,0.7213081836700439,0.35574943423271177,0.6741639018058777,0.6882757902145386
2127.0,0.32107220888137816,0.3234652101993561,0.43752219080924987,0.7573718,0.824296510219574,0.33525978922843935,0.35886160731315614,0.6433308601379395,0.6586408734321594,0.7777018070220947,0.14851900339126586,0.7069246053695679,0.4873999893665314,0.7672599792480469,0.6638776063919067,0.5476714372634888,0.60766,0.49578200578689574,0.6003239989280701,0.5129268050193787,0.6915018199999999,0.5363269448280334,0.8714424014091492,0.6909414052963256,0.9087831139564514,0.721376383304596,0.35568512678146363,0.6741279244422913,0.68764568567276
2128.0,0.320891809463501,0.3246618092060089,0.4374427914619446,0.7575482,0.8245959520339966,0.3351771891117096,0.35513545870780944,0.6430418014526367,0.6573157787322998,0.776773202419281,0.14813100397586823,0.7072622895240783,0.48754498958587644,0.7658499836921692,0.6643564105033875,0.5455188155174255,0.60754,0.49542800784111024,0.6001879930496216,0.5127490878105163,0.691760218,0.5353571772575378,0.8714475989341736,0.691304612159729,0.9088233351707459,0.7214445829391479,0.35562081933021544,0.6740919470787048,0.6870155811309815
