,white_spectralon_enfys_sampled Au_measured,white_spectralon Au_reference
Filepath,../data/spectral_library/Calibration/Spectralon/SRS-99/AU_Measured/white_spectralon_enfys_sampled.csv,../data/spectral_library/Calibration/Spectralon/SRS-99/AU_Reference/white_spectralon.csv
Category,Measured,Reference
Sample ID,SRS-99 Aber Spectralon,SRS-99 Aber Spectralon
Species,au_measured,au_reference
Subgroup,SRS-99,SRS-99
Group,Spectralon,Spectralon
Library,Calibration,Calibration
Sample Description,,
Date Added,,
Viewing Geometry,,
Other Information,As measured by Enfys,
Composition,,
Resolution,,
Grain Size,,
Locality,,
Database of Origin,Aberystwyth University,Aberystwyth University
Reflectance,---,---
1230.0,0.6075944501688312,0.572246216
1231.0,0.6005734324025974,0.56953781
1232.0,0.5935524146363637,0.569715587
1233.0,0.5865313968701299,0.573006527
1234.0,0.580223837930736,0.578651984
1235.0,0.5744369111082251,0.585020996
1236.0,0.5686499842857143,0.590514677
1237.0,0.5628630574632034,0.594003284
1238.0,0.5598213333593074,0.595123298
1239.0,0.5568681641818182,0.593716607
1240.0,0.553914995004329,0.589820174
1241.0,0.5505627903636363,0.583599635
1242.0,0.5464992616363636,0.575819855
1243.0,0.542435732909091,0.567869705
1244.0,0.5383722041818182,0.560618072
1245.0,0.5328499727012987,0.553725899
1246.0,0.526841506969697,0.545808932
1247.0,0.5208330412380953,0.535863473
1248.0,0.5145651430649351,0.524489012
1249.0,0.5067118244155844,0.514582262
1250.0,0.49885850576623375,0.508130054
1251.0,0.4910051871168831,0.50453432
1252.0,0.4838449355064935,0.500803253
1253.0,0.47729621363636365,0.493563572
1254.0,0.47074749176623376,0.480676643
1255.0,0.4641987698961039,0.461755241
1256.0,0.45522496872727275,0.438689735
1257.0,0.44604565236363636,0.414702953
1258.0,0.436866336,0.393499277
1259.0,0.42891457366233765,0.378644867
1260.0,0.4236634301818182,0.370015541
1261.0,0.4184122867012987,0.367384706
1262.0,0.41316114322077924,0.371971844
1263.0,0.41138132233766234,0.385963721
1264.0,0.411067170995671,0.407241431
1265.0,0.41075301965367966,0.428209361
1266.0,0.4108671734025974,0.440993474
1267.0,0.4151216096969697,0.442555757
1268.0,0.419376045991342,0.437415938
1269.0,0.42363048228571426,0.432111185
1270.0,0.4293443023593074,0.431051903
1271.0,0.436611660004329,0.434935052
1272.0,0.44387901764935067,0.442426598
1273.0,0.4511463752943723,0.452443589
1274.0,0.45674203160606064,0.464409305
1275.0,0.4620988734415584,0.477303425
1276.0,0.46745571527705626,0.490221917
1277.0,0.47319601102597403,0.502527401
1278.0,0.4799964440649351,0.513806867
1279.0,0.48679687710389613,0.523911095
1280.0,0.4935973101428571,0.532416608
1281.0,0.4996224602727273,0.539070587
1282.0,0.5052415098311689,0.543775058
1283.0,0.5108605593896104,0.546826616
1284.0,0.5163731727662337,0.549256805
1285.0,0.5197215837792208,0.552088718
1286.0,0.5230699947922078,0.555968978
1287.0,0.5264184058051948,0.560733011
1288.0,0.5286084581515151,0.56577734
1289.0,0.5293091922121212,0.570528404
1290.0,0.5300099262727272,0.574429157
1291.0,0.5307106603333334,0.576777005
1292.0,0.5314462121818182,0.576363446
1293.0,0.5321889903636363,0.571594697
1294.0,0.5329317685454545,0.561969359
1295.0,0.5332540794545454,0.549370538
1296.0,0.5320747215324675,0.537330635
1297.0,0.5308953636103896,0.528995699
1298.0,0.5297160056883117,0.524824136
1299.0,0.5301224721818182,0.522165041
1300.0,0.5315454927878788,0.519182333
1301.0,0.5329685133939394,0.518054318
1302.0,0.534391534,0.522691181
1303.0,0.5387159574805195,0.533329433
1304.0,0.543040380961039,0.545367248
1305.0,0.5473648044415584,0.554686658
1306.0,0.5524002681818182,0.561539555
1307.0,0.5585449547272727,0.568629773
1308.0,0.5646896412727272,0.577564442
1309.0,0.5708343278181818,0.587603411
1310.0,0.5761552535411255,0.597507029
1311.0,0.5812455262337662,0.606742091
1312.0,0.586335798926407,0.614663594
1313.0,0.5915994792857143,0.620208395
1314.0,0.5976986693116884,0.623363579
1315.0,0.6037978593376624,0.625109309
1316.0,0.6098970493636363,0.625506596
1317.0,0.6150132589220779,0.623471453
1318.0,0.619364928116883,0.618123311
1319.0,0.6237165973116883,0.610510895
1320.0,0.6280682665064935,0.604396862
1321.0,0.63425246495671,0.604728584
1322.0,0.6405267877965368,0.613387637
1323.0,0.6468011106363637,0.628234334
1324.0,0.6525842231904762,0.645230987
1325.0,0.6574295706536797,0.66167117
1326.0,0.6622749181168831,0.675917
1327.0,0.6671202655800865,0.687917816
1328.0,0.6728218228268398,0.6974693
1329.0,0.678833072974026,0.703879847
1330.0,0.6848443231212121,0.707336126
1331.0,0.6907995298051948,0.708696917
1332.0,0.6963624322467532,0.709375058
1333.0,0.7019253346883116,0.710957033
1334.0,0.7074882371298702,0.714426227
1335.0,0.7132667772857143,0.719611271
1336.0,0.7192478862034632,0.72590111
1337.0,0.7252289951212121,0.732794597
