Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),RELAB,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
Reflectance,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
1504.34300292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1511.86471794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1519.42404153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1527.02116173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1534.65626754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1542.32954888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550.04119662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557.79140261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1565.58035962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1573.40826142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581.27530273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589.18167924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1597.12758764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605.11322557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1613.1387917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621.20448566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629.31050809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637.45706063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1645.64434593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1653.87256766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662.1419305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1670.45264015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678.80490335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1687.19892787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1695.63492251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1704.11309712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712.63366261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721.19683092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729.80281508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
