Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
Reflectance,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
1782.34991634,0.41872550686292886,0.20505516177692645,0.41631035039095615,0.7321672859395169,0.8316905209247107,0.33384580930417806,0.6401773236171356,0.7391642068127371,0.7706446099739384,0.8627673849731807,0.43553057908713066,0.8078126613830733,0.46576297167108277,0.9063213208027001,0.6464150880261523,0.57142799323771,0.5278921315659485,0.6281338594012116,0.5174670851256451,0.7963808360075963,0.6680925977136167,0.8930223580472181,0.8046246353900423,0.9062490174750853,0.7334421818353316,0.4377049066442315,0.5638135049392906,0.6953681236458946
1791.26166592,0.41702791664425504,0.2023289147226295,0.4181361482038429,0.7335689476358468,0.8315037825830314,0.33387824737889343,0.6660267207355572,0.7425399331587326,0.7787858397292761,0.8602602249862773,0.439067387309123,0.8064181331394024,0.466679006371453,0.9028541430006237,0.6477221806564634,0.5714347842118256,0.5279822889037751,0.6269595424962935,0.516929429659856,0.7905439913276185,0.6669385052261642,0.8921547295027052,0.8026760432369938,0.9058621561184986,0.7332978122183309,0.4352396611072153,0.5683842298128536,0.6876494997139235
1800.21797425,0.41530636696443607,0.1999946469032755,0.41965187478748095,0.7348781494596535,0.8305864838908286,0.3338520664302131,0.6887669011612007,0.7478253367006036,0.7876128113038323,0.856575141713165,0.44243687027741335,0.8048113807158386,0.46745089236675313,0.9000741815018297,0.6491728180664762,0.5710362378115144,0.5280453030280736,0.6256462287654574,0.5162566591292016,0.7848498712574424,0.6642131587787776,0.8913058567592647,0.8005258703019357,0.9060435856899084,0.7329317064968466,0.4329115721480949,0.5706909052207789,0.6845381224192005
1809.21906412,0.41344039341448025,0.19813549251143847,0.4210764560923041,0.736068177316847,0.8293974390028178,0.3338453918872602,0.702224515619623,0.7530806066077245,0.7944197815835874,0.8505912249341994,0.4453786114330439,0.8029237493225471,0.4680905995899251,0.8978415870843973,0.6504362601773096,0.5701086877472734,0.5279132214757484,0.624149503843958,0.5156445881860229,0.7791677678499804,0.6608386660562177,0.8909199397904708,0.7981167218158483,0.9056697631122259,0.7322865970415352,0.4305608874622048,0.5702831117201549,0.6879623899118186
1818.26515944,0.41139992365937056,0.1965713350427043,0.4226507521404646,0.7370787239314776,0.8281446769998739,0.3337458728875879,0.7082972053719756,0.755944222163289,0.7982758911517249,0.8415341934743807,0.4473831777186039,0.8006175641344303,0.46856157284257577,0.8961373595032662,0.6516287210770215,0.5689671549834762,0.5276682292119529,0.6225356680480884,0.5149508930534354,0.7731050319374935,0.6572962770821711,0.8905899959818887,0.79549814466085,0.9047614626833536,0.7313372387927889,0.4278919810976898,0.5672728497910495,0.6964390880565968
1827.35648524,0.4091955733340873,0.19517797264624698,0.4240963947945335,0.7379384563269596,0.8265538129349751,0.3336752738055821,0.7099074178186056,0.7548735045136602,0.7989792308207675,0.8280653082669401,0.44774961043717965,0.7976357068791075,0.46870938317268507,0.8947586406233612,0.6524878218705137,0.5678264411146294,0.5274450258013275,0.6203824579507069,0.5139886018639491,0.7659789078632783,0.6545170409285513,0.8897938327452014,0.7926815329139719,0.9045272744550892,0.7302040028234904,0.42453907058715457,0.5647103418612728,0.7039738953779872
1836.49326767,0.4069261722909965,0.19381525511672112,0.4254142465721152,0.7388979681380508,0.8249916107036944,0.33363815772424615,0.7087159498538681,0.7491962363961506,0.795866830831687,0.8092367038309669,0.445839535777196,0.7935469673292216,0.46873233397700836,0.8929664438080233,0.6529483627873454,0.5667149413441632,0.5270127816028589,0.61702227881858,0.5126813843665012,0.7566884196161489,0.652832635976486,0.8882770444990413,0.7894238628191582,0.904525171623575,0.729032077231856,0.4199798592321386,0.5670040220015959,0.7054329107842889
1845.675734,0.4048357851400023,0.19281136370477875,0.4268090290233471,0.7400117621152621,0.8234976912545109,0.33360141572399166,0.705241868143528,0.7387739592558558,0.7879249411678285,0.7927639721447782,0.4410444809079786,0.7877442393279882,0.46848716058119005,0.8910539500819911,0.6525755525902609,0.5656467168942697,0.5257690754701118,0.6120750864496601,0.5108859606526107,0.7442064500652324,0.6505951619836138,0.8866563140775005,0.7855518239879175,0.903787653007426,0.7277662438887454,0.4132888669735923,0.5748720290541502,0.6985633074637926
1854.90411267,0.40248816224781025,0.1923097391412535,0.42785767749158743,0.7409798102337843,0.8208631576673232,0.333590076133965,0.700044025230851,0.7235416085891372,0.7740000363783702,0.7906340709645416,0.432887977270942,0.7793461706648435,0.4682612682870333,0.8890272563544899,0.6520321182444179,0.5648221155610784,0.5241919085803881,0.6052493634751003,0.5077889320584954,0.7250395331992984,0.6475840737947489,0.8851824605749576,0.7821876151986985,0.9025670731296586,0.7266859853935835,0.4029579345476284,0.5835955641832996,0.6822224324474702
1864.17863324,0.39985945544198315,0.19229478674062492,0.4288147054469964,0.7418830961570048,0.8155748417074751,0.3335587535753484,0.6931256750849585,0.7023400564814595,0.7521903593242986,0.8002938177511183,0.42035615369872165,0.7671989096333995,0.4682630073421648,0.885318075578681,0.6507844871303096,0.564145255565991,0.5224223118642198,0.5937946196426976,0.5027216737571014,0.6951955678870061,0.6429315584361536,0.8833734449997908,0.7793418209629496,0.9005558498140674,0.7252289819671759,0.3866100022612031,0.5894137592321984,0.6539987464986923
1873.4995264,0.39746299198433827,0.1926720488621004,0.4297942253500389,0.7427919865364243,0.807010682004754,0.3334430469000076,0.6834946656930087,0.6729439869684474,0.7212142127540159,0.8167427945062624,0.40163892773342397,0.7497879733765984,0.4679977295673019,0.8775823864715767,0.6471412479747548,0.5632564468496433,0.5193118934776655,0.5736481099055929,0.4941465139663288,0.6509850846747693,0.6356691346562274,0.8813372071191473,0.7738099630182994,0.898504326657924,0.7223187294985289,0.36128345092378494,0.5934306597095603,0.61004522455555
1882.86702404,0.39518668127525797,0.19332191952143996,0.4305146900164117,0.7434411978951112,0.7982186869112864,0.3333930240432232,0.6709159683001805,0.6332086630271139,0.6822793223963188,0.8324270558637259,0.3770766687222683,0.7256312728379675,0.46779529361728733,0.8674914377911428,0.6407803376012219,0.562139205667548,0.5142670850480356,0.5410509719978182,0.47955630780276504,0.5890082230435503,0.6246732244311303,0.8805631115145884,0.7637688950895966,0.8957112965046342,0.7193169867420948,0.32596857003068486,0.5977877381955711,0.5490227670912322
1892.28135916,0.39227528132375866,0.19421667833047448,0.4309941591866973,0.7438272990251872,0.7949449294887668,0.3333446109428918,0.6572742397468027,0.5812561706687328,0.6383798578238528,0.8413349833016611,0.3491380010072674,0.6935704888248441,0.46837159985689863,0.857432588960879,0.6320991442366484,0.5612761199220431,0.508158784598087,0.4977418131781023,0.4578139716036973,0.516207432244101,0.6099741957544202,0.8809012287357443,0.7507534419866563,0.8916581007847524,0.7174709590609765,0.28742831139523056,0.6038134648427093,0.47591966149351095
1901.74276595,0.3892683123428205,0.19544423478148076,0.4314397769210452,0.7444192508576944,0.7951472235401642,0.3332960144162332,0.6428639879320088,0.5176459407799191,0.5910627301710782,0.8436080267574322,0.32011611147560115,0.6535964158291584,0.46873772140206377,0.8473798270628463,0.6218920980387286,0.5600372476874224,0.5009622456799218,0.46054206957362376,0.43650390213478363,0.4597783234164728,0.5966016585768438,0.8809741571899794,0.7357245349347904,0.8869562885100654,0.714874048975566,0.260546831908919,0.6102155692002453,0.40321706763449716
1911.25147978,0.386430482080975,0.1970150801094869,0.4318542351117028,0.7450534141157494,0.7948952437476621,0.33331303723796524,0.6279966972782328,0.4534310201657775,0.5410973919877702,0.8416765031579002,0.2927479436081942,0.6104076181729574,0.4685748221305855,0.8381727732655667,0.6156225485189823,0.5587152424890428,0.4943995068760846,0.4523373902382148,0.42893475918274754,0.44093233751984506,0.5900295301838543,0.880625803138976,0.719935595632038,0.8825440234930451,0.7122822994244339,0.25055623746990935,0.6146040391787133,0.3606995589205554
1920.80773718,0.3835626031841492,0.19910094043926274,0.4320804684922842,0.7454503791415295,0.7933680392218586,0.33329353389283545,0.6145932123459673,0.4148754572446102,0.4890004769101466,0.8382100657475776,0.27027357641248134,0.5736113939569387,0.4685364588641611,0.8333862355883275,0.6159630442430394,0.5573510393156035,0.4905842230705263,0.4685685823999187,0.43462351377018177,0.45161747751709985,0.5901366343773292,0.880007581822911,0.7054229987415541,0.8787244750232093,0.7110504643042269,0.2504310197794707,0.6162434728476106,0.3685998550346039
1930.41177587,0.38069615022325787,0.20156537763564467,0.43237101715437376,0.745818546692651,0.7923399137034612,0.33330189569546165,0.6039838823898908,0.4158879073828635,0.43801935605868186,0.8343060295624399,0.2537569472204527,0.5506191558524272,0.4683288239028326,0.8317705349110204,0.6191437499232698,0.5557416677602977,0.4891334956726078,0.4888272495613208,0.4449420574550581,0.47242546986694633,0.5924844945472492,0.8793290835795066,0.6938477436987707,0.8760171760431558,0.7105723002025146,0.25416371312436375,0.6150517147930515,0.4094594025980481
1940.06383475,0.3778347674516676,0.20413882893043925,0.4326640141622469,0.7460578597910076,0.7924045925921033,0.33337077624958666,0.5954705831125675,0.4375587971293798,0.4009498491122769,0.8309559077798684,0.2407301123455885,0.5426092149298912,0.4679552809969756,0.8321027602843346,0.6228672288900144,0.553825686659539,0.4887618064551107,0.5035407734369965,0.45466236069710025,0.4911488241051904,0.5944090965800497,0.8781201459782974,0.6853921468532909,0.8745873097374484,0.7108628784335814,0.2593452805206132,0.611521266790913,0.4567493580691098
1949.76415392,0.37484499961106627,0.20703495201260824,0.4330075193718636,0.7464593333716095,0.792668668890646,0.33341811855487935,0.5875142532903846,0.4628235158484695,0.3914587010127733,0.8289639513298017,0.22808145024423995,0.5461893899724155,0.46726362301322916,0.8331395399536944,0.6261189881113857,0.5521541105017491,0.4884994830308186,0.5131649404434965,0.46262562947222396,0.5062290868582061,0.5958854724844275,0.8766471158898969,0.6788537963181142,0.8735303132144003,0.7119082800515415,0.2654417326117733,0.6109141507070349,0.5008129621473072
1959.51297469,0.37169862933102515,0.21040565555180263,0.43327976660178563,0.7468827324061351,0.7938628190113883,0.33342803843648455,0.5803886166690538,0.4907865356504727,0.4078399053362453,0.8281978083779218,0.21645443803597073,0.5559557063843535,0.46657449771253523,0.834768388145923,0.629316314924057,0.5508946373661496,0.488220970988665,0.5206672371679132,0.46893239674183823,0.5201241917978033,0.5971783106468189,0.8754757771491339,0.6736344204358513,0.8732668993502252,0.7133476554846695,0.27248468714841306,0.6180559505366487,0.5421038584212151
1969.31053956,0.3684874600488373,0.21422541038452456,0.433620748651757,0.7474523690519639,0.7955029886817513,0.33349069210485416,0.5754579597782895,0.5172799763689792,0.43229695600341,0.8276856409055396,0.2089171415434538,0.568294404825275,0.4659782296797302,0.8363025891457837,0.6326466440858396,0.5494408245644047,0.48785238591020186,0.5282207130388774,0.47406184949586205,0.5353244928519387,0.5977387692000137,0.8745377738906305,0.6694922666037717,0.8738192916454298,0.7147041151940996,0.28042874046844274,0.6292077278823626,0.5810087137980623
1979.15709226,0.3652467984704659,0.21861861737341193,0.43400301342459235,0.7482131168262595,0.7969326120404177,0.3335479341575784,0.5709184322930083,0.5406273692094278,0.4565130397860586,0.8270753744561512,0.20622909046599264,0.5819018484341983,0.4653740876625299,0.8374386978960817,0.6360352863221339,0.5477424057007197,0.4877946277306476,0.5366384355132571,0.47856545679101226,0.5523317337160285,0.5972413010376404,0.8736569796127205,0.6665476948823086,0.8748196063325188,0.7157200726925473,0.28908704064397955,0.637773461146592,0.6157600413742471
1989.05287772,0.3620831962408089,0.223464939205828,0.43443011957940414,0.7489922077210791,0.7987788969220176,0.333599168877665,0.5627419416489733,0.5656206922353754,0.48853375576720176,0.8260438894755178,0.20611529001835918,0.5961006469427617,0.46532448155728573,0.8380899197245764,0.6392887419559341,0.5462379736770422,0.48860625808218877,0.5458730089631432,0.4827620746549094,0.5705378555101194,0.5958671352403141,0.8726656449299693,0.6649555498830529,0.876942493432343,0.7164369351414664,0.2980748419601182,0.642658968189574,0.6444377887646467
1998.99814211,0.358952569212274,0.22868395872235586,0.43481993143844755,0.749431323804308,0.800419564146223,0.33372117925839756,0.5510102336247377,0.5938748086255179,0.5338695665680334,0.8244717776464675,0.20618508443213446,0.610237827062559,0.46603166994725753,0.8382798343398953,0.6426058785036257,0.5459717340989022,0.49028963619626253,0.5552150168420517,0.4867789637161128,0.5892395780912055,0.5935730816474718,0.8724928777976948,0.6642524602160611,0.8804696746951894,0.7171504394544713,0.30693539563156924,0.6458819573104223,0.6657520474604586
2008.99313282,0.3558152030619206,0.23440635333952503,0.43516358657058274,0.7499886962683843,0.8019489428073108,0.3338352724794989,0.5403362286645118,0.6204023932196711,0.5832860554520248,0.8226306023623862,0.20422479869214047,0.6235470366683551,0.46763557653831406,0.8376902650488164,0.6460001646209235,0.5473550517682974,0.4923019607812701,0.5640653056652992,0.4907747273062235,0.607203906968039,0.5925003530006776,0.8736232930921262,0.6640003042241688,0.885068859484425,0.7179643408666023,0.3152141521220805,0.6485866310758052,0.6809055475048091
2019.03809849,0.35266839390719334,0.24052514300801667,0.4354848515601149,0.7505967498196054,0.8037578185971931,0.33388710982881425,0.5335418025067518,0.6403929938572028,0.6223968424312453,0.8201026276442509,0.1992408429724795,0.6355245984836748,0.4700203919765835,0.8367298135789206,0.6492978631768312,0.5499162172732762,0.494355972716841,0.5719764896513876,0.49445715618484365,0.6233783291332329,0.5955476581377115,0.8748265073376928,0.6640105694316364,0.8887213181647425,0.7187862242801626,0.3225886041502614,0.6506866913115156,0.6916360396992779
2029.13328898,0.34945260398512995,0.2469315904241025,0.4357022342876245,0.7510689872052501,0.8053585388350699,0.3339769399989473,0.52770087603289,0.653884613366299,0.6492312987571189,0.8164423829964153,0.19154245677352813,0.6460185883572247,0.4728056424581622,0.834790687401354,0.6522235483844296,0.5531128164758128,0.4962802497028233,0.5783784565588932,0.49778467650434033,0.6375166078449205,0.6003307216961028,0.8755224643497441,0.6644202217649562,0.8914453904108655,0.7196191550280411,0.3288910426085076,0.6527188760191575,0.6985616615784709
2039.27895542,0.34632267554387186,0.25373238066274784,0.435894734980507,0.751629932324868,0.8070710375441049,0.33410874064099244,0.5202207463158577,0.661749819362939,0.6670225906877884,0.811776498343091,0.1825888447219656,0.6551640783438734,0.4757274451140391,0.8316527538731308,0.6547132964206934,0.5561907006065763,0.49820108563574955,0.5831431324403684,0.500666513915822,0.6492766760269654,0.600711999875015,0.8758943632936268,0.6653615870272818,0.8941304303799674,0.7204126294159205,0.33407031308099877,0.6554603845077167,0.7028850235250329
2049.4753502,0.34328076468344026,0.26099910597875,0.4361956176177726,0.7520293156370171,0.8090738061861695,0.3341545992338923,0.5117561563163129,0.6651376653041962,0.6780289269698024,0.8069927212475669,0.17449571313209555,0.6631412484466094,0.4783710751582281,0.8275542949955641,0.6567507846579534,0.5579984431497137,0.5001685951993156,0.5866312332364962,0.5030181259449422,0.6585090341626384,0.5955746376794279,0.8756750583017221,0.666712894921435,0.896221552963581,0.7209608111605522,0.33819663927106514,0.6578328363588674,0.7059423701308404
2059.72272695,0.34027136423724613,0.2687559450925201,0.43643629263645434,0.7524359108969434,0.8107106972452324,0.3341654403780274,0.5037277892189153,0.6646099813965303,0.6832663236029416,0.8025344880781947,0.1690070526025149,0.6701791308790457,0.4805825875288227,0.8217588108063288,0.6581088086014684,0.5583692535079676,0.5016981063771166,0.5891358164169885,0.504810543175831,0.6655055830555793,0.5852941673430188,0.8750644108748438,0.6685161123981083,0.8975621062932857,0.7211560659239996,0.34146880005580893,0.6600772000843481,0.707807285986521
2070.02134059,0.337293314560622,0.27692054523681103,0.43659745801230276,0.7529913176582305,0.8121855312370445,0.33427226542821675,0.49736832063744846,0.6609670051746199,0.6847169835891201,0.7981393468029754,0.16636671009967718,0.6764602163413131,0.4821919810296309,0.8140235567442518,0.6591588163125001,0.558095451477526,0.5019510151479437,0.5908433557945372,0.5060508203377676,0.6708246943665128,0.5687401503648463,0.8746126182510341,0.6707669981433554,0.8993152341762455,0.7211092685726357,0.34408046288509075,0.661519587383246,0.7089906369886811
2080.37144729,0.33448099795107167,0.28548340148850854,0.4365653998761876,0.7534810523341798,0.8132519137216006,0.3344669704722303,0.49058031286409143,0.6553676879287498,0.684252583370231,0.7943055323000496,0.16544737877363636,0.6821014651184732,0.4833508211954024,0.8052431387225869,0.6600577977354825,0.5572680017510693,0.50104001419242,0.5914667268994952,0.5068991148609616,0.6742999816072505,0.5565879410982508,0.8740682967114581,0.6734440390054662,0.901221064884262,0.7207867979447465,0.34614886310665083,0.661922206572138,0.7088194209695041
2090.77330452,0.3316671733143248,0.2944610667974111,0.4365897436983988,0.7540985596186965,0.814309828861853,0.3346625555821029,0.4788856105226018,0.6489076567638803,0.6808642203695896,0.7908268920212302,0.16526706342467126,0.6871489332921669,0.48380385882779664,0.7955345943614098,0.6601465302327406,0.5553201537048414,0.4988360103319355,0.591614619925061,0.5075645266580214,0.6766598349259487,0.555707304578131,0.8732642855287331,0.6765383314112916,0.9025372314704304,0.7199744324379265,0.3476901518946266,0.6618193223853023,0.7064566452278337
2101.22717105,0.32887897890001383,0.3038982685593912,0.4367177911992539,0.7546889557649235,0.816283099206862,0.33479482656454607,0.4593166346517189,0.643342337104022,0.6743872685375495,0.7867493375474375,0.16547346104752367,0.6916118819672745,0.48349877269839203,0.7843403358509822,0.6596798701558053,0.5516727970664365,0.4964705904242265,0.5917948829819619,0.5080814638528001,0.6791840672420184,0.5573362262561338,0.8722484838075157,0.6796690299106646,0.9034315712774849,0.7186379261286666,0.34866034982613153,0.6616833853758415,0.7018588861458809
2111.7333069,0.326293971495289,0.3135844492220292,0.43665687402819103,0.7552405311065371,0.8181705898555223,0.3349186049758481,0.43115468276108726,0.6400912462807323,0.6658061016887895,0.7813098190539727,0.16553535737459604,0.6955282532254702,0.483079174448349,0.7702725800324702,0.6590943876769361,0.5456009119772957,0.4948271783731458,0.5920152617030979,0.5084193269652245,0.6816491059275568,0.5539273621706772,0.8710773757278106,0.6829378261433412,0.9047992671420583,0.7171560654204374,0.3490519076548143,0.6610554678674829,0.695291675951009
2122.29197344,0.3239384510477643,0.323143648908555,0.43636278608467916,0.7556100081438591,0.8196592033269486,0.3350759607353077,0.3973484143989485,0.6384037572492428,0.656232926759573,0.7749068759948176,0.1656421067035978,0.6989368852418866,0.48304312463510535,0.7547707032400579,0.6586772813532433,0.5357376286022023,0.49387856179176465,0.592083839524152,0.5086485476710928,0.6838483018435703,0.5459819145673114,0.8696585528848491,0.6863739558525723,0.9061148947176747,0.7157672145083697,0.3487176462397481,0.6600192718102659,0.688880986631384
2132.9034333,0.3215907499687597,0.332974314283985,0.43610932676861586,0.7559087436412284,0.8207538073593592,0.3352086361408986,0.3670662744372072,0.6366739773506753,0.6466393329682733,0.7679286486634657,0.16804885766202352,0.7019051005094271,0.48312427897137944,0.7342313232878094,0.6584154164469045,0.5206682767011102,0.4934422693244027,0.59119429843758,0.5087226820381942,0.6861188072365821,0.5407348780331473,0.8677052827838839,0.6899686158838328,0.9065258987204268,0.7143018898301404,0.3473492508760684,0.6581847856279579,0.6845563738605859
2143.56795047,0.31922566845953637,0.34327878741422485,0.4359334986747256,0.7560354053630656,0.8206659420167994,0.33536189002205047,0.343775218706937,0.634554354248292,0.6371987464121682,0.7606883402397634,0.17655195116624972,0.7044668154594309,0.48304982364129995,0.7022302023501673,0.6574514577652489,0.5021206225836496,0.49410766369701337,0.5889402759160774,0.50882677726869,0.6882882554148482,0.542695758173941,0.8653193100905034,0.6937901655242947,0.9063314229368257,0.7122715056024362,0.34454435915399134,0.6544091304175396,0.6830446868777188
2154.28579022,0.31691181915336997,0.3537952743616165,0.43567810607389434,0.7559750050227381,0.8199644004852356,0.3355423797829386,0.3249097053843742,0.6307433104414373,0.6273672161006966,0.7534644216460071,0.19362529221362146,0.7067234057402858,0.48256072097549224,0.6627044489171334,0.6551618155227172,0.48314217439618606,0.4955504811282179,0.5843782688120596,0.5084714040858567,0.6893977880419542,0.5457037295887296,0.8637807756076958,0.6971863217352354,0.9060338670845037,0.7096062696412528,0.33985852857796506,0.6476582107616032,0.6835158186027496
2165.05721917,0.3145708137550359,0.36410320994483386,0.4354161950638444,0.7556689842317537,0.8190576269514871,0.3357397423982756,0.3148765531819555,0.6255603133588745,0.6173952709563777,0.7463037066257657,0.2166423729577117,0.7087151547690554,0.48151908103333874,0.6319634244534131,0.6509691451114112,0.46192029376100696,0.49619706064858465,0.576324837263026,0.5071433726321835,0.6895056701051343,0.5436997176584655,0.8634789554292857,0.6990205114115855,0.9057152455235828,0.7062202982448641,0.3328987652321659,0.6385103409346402,0.6853971170140455
2175.88250527,0.3122904276268881,0.37421963474201186,0.4353283367564885,0.7553963618558844,0.8171429332445268,0.3360069055813392,0.31597202726356577,0.6197401868054622,0.6087203300592523,0.7384486108492689,0.23945085199446076,0.7104986958082788,0.479978770314483,0.6154124680962773,0.6441717850193777,0.43642873907766333,0.49582732686999464,0.5640613570830436,0.5048680344565073,0.6894396704464681,0.5411520020807319,0.8636704997205524,0.6989750433137304,0.9054071224661128,0.701787510738848,0.32362836064230627,0.6272139163067646,0.6874779418635347
2186.7619178,0.3101360165418083,0.3845959305443407,0.4353956526350911,0.7555734952539012,0.8145382315951338,0.33641310963551835,0.32913218694984997,0.6132653725691715,0.6019430671431326,0.7289456732437669,0.257574999718881,0.7119533024676119,0.47769875261052286,0.603927697772187,0.634490049640002,0.4082783907267415,0.4944738221019567,0.5487722746630407,0.5019047721854158,0.6894176925709787,0.5424043417670851,0.8634613696047594,0.6969054111253781,0.9049839489340997,0.6959290565056547,0.3131252702084847,0.6146874041308179,0.6877530700227017
2197.69572739,0.3083414128268912,0.3950525410672273,0.4354414769657709,0.7558152878301366,0.812442158917855,0.33688881886913774,0.35270876740280127,0.6065172903364509,0.5953254481636184,0.7175244047856109,0.2699683082322012,0.7128355272074484,0.4743071277375121,0.5904299186827208,0.6230144673937541,0.3831773709938114,0.4921234023677118,0.5333174127121992,0.49849681815554225,0.6882940177074993,0.5404577931431511,0.8628013213596861,0.6923845675674647,0.9042483511070971,0.6869267759869054,0.3031443221365942,0.5993775333986545,0.6874104353560059
2208.68420602,0.3068337649124538,0.40547621920786686,0.435482800938874,0.7560935233654462,0.8106947158757328,0.3373548825582714,0.37503371929663804,0.5993986269674754,0.5881843968563729,0.7045196332244128,0.27749738313192807,0.7129668354889406,0.4694163206527168,0.582785409266744,0.6124296351711779,0.3780414555303227,0.4883727089120751,0.5257996504392977,0.49401455037146785,0.685995949254967,0.5306965776452882,0.8614048368762903,0.6852597815338023,0.9035581784058556,0.6723416221216377,0.2951234413836606,0.579265193045568,0.6863984643562188
2219.72762705,0.3055506018362358,0.41593462245053625,0.4353655100189893,0.7563979798876863,0.808718616949074,0.3378114206645219,0.4154558647373131,0.592539035949581,0.5848727168951484,0.6905721896497842,0.28220845087694635,0.7121878116874084,0.4621139146411596,0.6129750275064827,0.6064240802239897,0.39640666192751756,0.4825053003684122,0.5314316426403781,0.4880709278902812,0.6820195860393953,0.5094604702709463,0.8592833149169009,0.6754493612809604,0.9035753944159872,0.653196601599181,0.2905424481072207,0.5507108332987479,0.6838563293006854
2230.82626519,0.3045719855810362,0.42615874600443476,0.43508503569921986,0.7567231637068265,0.8065215440498084,0.3381989164810024,0.460785871488167,0.5870814060598559,0.5894893594837651,0.6777257732587592,0.28610047026632895,0.7102931396557961,0.45132123651282113,0.6503952050408932,0.6071366474710349,0.4120993050167992,0.47358783378059066,0.5413008783330346,0.4822987686303104,0.6759018122251476,0.484244695526623,0.8559278340514264,0.6630690767629015,0.9036499558168012,0.6370044035855085,0.28856584679216624,0.5081758554612938,0.6801899835712976
2241.98039651,0.30380784709178527,0.43615841432238567,0.43462068205062543,0.7569062737080301,0.8043072189732254,0.3385953941100152,0.4872064116483806,0.5815564637116294,0.5959549054772942,0.6655449652054809,0.28949253132209646,0.7070345184646467,0.43894577304397975,0.666666609117235,0.6117896411698766,0.40954547465764674,0.46229302316831217,0.5500861100301515,0.47833159858362667,0.6683954216697937,0.4657734912922983,0.8512549976465695,0.6488424943206096,0.9042392461169888,0.6324062633312681,0.2874245437467215,0.453800105432288,0.6762205092545651
2253.1902985,0.3033292574716738,0.445785513341062,0.434099393400402,0.7572841056122895,0.8025400392510834,0.33901421399493725,0.49855587029683784,0.574717803917345,0.5984917081407201,0.6490714588826572,0.29127545829695206,0.7021070349683838,0.4303170399226683,0.671612635642186,0.6169289156557759,0.39737272190644135,0.45185494860326614,0.5578063998108737,0.4730834083562338,0.6578950654721495,0.437790738418757,0.8453965268874121,0.6343282274417839,0.9047365296975923,0.6368995770870295,0.28661703364788255,0.40976171662779426,0.6722832400805683
2264.45624999,0.30320494126776065,0.4547662518073165,0.4335370573538862,0.7578372172818199,0.8006208437397674,0.33946750305008433,0.5009006054070458,0.5678454924068141,0.5982129439956273,0.6326235461583635,0.29005520751374547,0.6953206974343444,0.4254002896829764,0.6696308512383342,0.623083336228427,0.39003944365049625,0.4415047614953067,0.5622948141274497,0.4622026708706938,0.6399746625017779,0.38851691532381477,0.837908205848518,0.6217290443023089,0.9050254360238666,0.6372471382257869,0.28640251057799043,0.394044364421757,0.6673475900800906
2275.77853124,0.30327716483544936,0.4626264972057106,0.43308469122582915,0.7583993141709803,0.7987164967729579,0.33993193326930954,0.4975919675722526,0.5633878973983696,0.6008636183213879,0.6332418082109105,0.2852606993733391,0.6867277269597244,0.41942487203543827,0.6620547535995762,0.6290154336935146,0.38836390150523104,0.4300206133035348,0.5625481458370802,0.4486196894900631,0.6103119901789024,0.3220150750551694,0.8288886304046023,0.611605246631227,0.9054525606761021,0.6288451329409587,0.2868176320000836,0.38643287708721713,0.6611723218224234
2287.15742389,0.30380540185251276,0.4692889738137829,0.4325979886767813,0.7588777525667025,0.7964364337039262,0.34048303231809157,0.48810409621781686,0.5608033608281183,0.607547021793239,0.6534970685935199,0.27827153801854854,0.676290266893716,0.40927435295497033,0.651045283026495,0.6319261508839892,0.38144920569808094,0.41889095680198574,0.5593348202140758,0.44308480590153604,0.5700421109514278,0.256430856877889,0.8194654434633895,0.6030155636815133,0.9053339206472306,0.6196022535226171,0.2875299893760897,0.3644042359424477,0.6533428415449495
2298.59321101,0.30455097892841687,0.4754926955440777,0.4318812530714297,0.7595099997818606,0.7944351813235948,0.341046439351885,0.469382447834844,0.5587421274111336,0.6124556503240558,0.6777350471819089,0.271452477053302,0.6637616197717915,0.39816976393013653,0.6380893899717057,0.6302599709293463,0.3665018909231149,0.4065905203807483,0.554054958930516,0.45043431596380956,0.5357630284215086,0.21568890803872737,0.8110710103934171,0.5965719602693575,0.9054248223275306,0.6157564313488976,0.28819792200409367,0.327026319418327,0.6442801795782589
