Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
Reflectance,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
1009.39681451,0.14409542205964096,0.262704357509854,0.19620633437045534,0.21442411200324052,0.40999420120815927,0.31412876358057246,0.8588969060109192,0.9145047918913566,0.9291762408951032,0.46487461068319985,0.8392097203432941,0.9275545515175883,0.3007064750639132,0.9367621870668739,0.4467443018698897,0.41824127468209943,0.4226396768635882,0.5882621058676053,0.4028928998561326,0.9037267098448096,0.5758027967890014,0.8835653349390352,0.9009933628484945,0.9008080494026043,0.7355326337580473,0.5639296612405609,0.22994395483888871,0.8912605565020187
1014.44379858,0.14386960950209102,0.27935790507605784,0.1952998188094563,0.21109071117564612,0.41981418249946906,0.3130583993991319,0.862330523078834,0.9154053931209813,0.9308776054465223,0.4704326348628439,0.8389790298137779,0.929304069834511,0.30113413654601684,0.9370067439736275,0.44716630679199487,0.4181699367570868,0.42326337728719743,0.5882675435370511,0.40520082560204257,0.9048023176808538,0.5763497212152818,0.8833814940992277,0.9014201239552679,0.9012737144927984,0.7355801637953541,0.5636848341063163,0.2297991927045631,0.8936550499368207
1019.51601758,0.1439513198893081,0.29688128671116,0.19445525742251066,0.20801416657159966,0.4294221238039781,0.3120643188884481,0.8665574550572512,0.9161938873569595,0.9321371217769641,0.476190369535201,0.8388375528861728,0.9310795380430075,0.30146189545725777,0.9377530240076871,0.44738069625325,0.41828170365995754,0.424062128359984,0.5883633946268069,0.4076278743046127,0.905614726067167,0.5768072947031532,0.8835731725877922,0.9016218244284379,0.9013593086996797,0.735693897827054,0.5636093279523124,0.23003738948760888,0.8955226922869597
1024.61359767,0.14433190739301668,0.3149598236206836,0.19364870449852,0.20518781693006355,0.4387679713821782,0.3110407587081559,0.8713007536267326,0.9168901102481102,0.9334698023491889,0.4822331574061028,0.8390504395295484,0.9329533015770868,0.3017111468914948,0.9382930031659967,0.44746127936809027,0.4186678912229804,0.4248675762230085,0.5889179310968954,0.41025581276292145,0.9060149007153234,0.5775917013715226,0.8839159534233834,0.9016593598761066,0.9007525520459253,0.7360422045968659,0.5634373943004887,0.23022394037603683,0.8967753770126913
1029.73666565,0.14499938649149982,0.3334929860783849,0.19286024702206392,0.20287165378212288,0.4477649575120345,0.31004930986770385,0.8752187023963385,0.9174808228156512,0.9352351223314661,0.48866618326408245,0.8395404973499639,0.9348628887441489,0.3018553445147448,0.9389433258356613,0.4476144271675593,0.4188677923756446,0.42537176515710384,0.5895370632308444,0.41292918445293286,0.9066632793230899,0.5786126583470714,0.8840897428318849,0.9018046405908023,0.9000634274682785,0.7363887587472204,0.5631278632974012,0.23046244283422052,0.897316481415371
1034.88534898,0.14602230947373276,0.3525380954377926,0.19194767455330775,0.2011311787109247,0.4564440141255253,0.3091189161659052,0.8779277813257225,0.9179986249972274,0.9367265135287856,0.4953840461187872,0.840125339004127,0.9366924395288596,0.3019983140167864,0.9394632592504557,0.4479872017071344,0.4187773564068885,0.4255126921707778,0.5903583712499262,0.4156799106462927,0.9074437102406717,0.5798710122192424,0.8841057438520356,0.9019129322385344,0.9000188862605785,0.736568106825532,0.5629615494062545,0.23095325655277738,0.8971794372331356
1040.05977573,0.1473573753218484,0.3719554816165754,0.19123457859196985,0.19986013521977572,0.4646137586211505,0.30811087945182075,0.8798574884059158,0.9184508617641048,0.9380481325479245,0.5022569577505568,0.840833752166919,0.9384807039242958,0.30214605902418895,0.9399120722037786,0.44817462439009836,0.41872220093587054,0.4258041291854594,0.5908599323457193,0.4185948040897771,0.9078748842555285,0.5813867986391104,0.8840009405857189,0.9020751866199154,0.9005272740358026,0.7366587153670103,0.5629137247733367,0.23149822004531448,0.8973151634213551
1045.26007461,0.14898418990297044,0.39132529805534394,0.19066986932273466,0.1988529210855981,0.47255370869312213,0.3070803733922647,0.8813153341672477,0.9187387066985118,0.9391479356878721,0.5093164954488493,0.841700715646489,0.9401181732219492,0.30234709658064907,0.9403914055232087,0.4482294344821035,0.41883615236776306,0.4260376499436946,0.5910398986320601,0.4215346158010796,0.9083529957350265,0.5827798822504627,0.8836692138749056,0.9022694780755743,0.9009800494360763,0.7368141921063974,0.5626852233277561,0.23222181479613144,0.897805054324156
1050.48637498,0.15091493830464234,0.4105505124831947,0.19007787475220067,0.19827923194878314,0.48010733718559634,0.30611623208915545,0.8823624725065472,0.9188139363114229,0.9396805744316824,0.516435786721387,0.8427958433147938,0.9414597441356283,0.3025763387650646,0.9407933845806159,0.44820483797340105,0.41901467704380935,0.42601348948029927,0.5907724375219391,0.4245828564651404,0.9088575147410493,0.5836895108486249,0.8836307559229105,0.9023084742498994,0.9009080081230542,0.7368982686148473,0.5624248099419881,0.23318892711277917,0.89784909137479
1055.73880685,0.1532223464914758,0.42928408373280563,0.18956386200983516,0.19812370130980742,0.4875661425894175,0.3052615281834623,0.8831051514889908,0.9186734602411584,0.9400239125014254,0.5234582286783893,0.8440524339061356,0.9424804908305489,0.30258362351782947,0.9411819492047598,0.4480627105252761,0.41908971669642603,0.426074325221699,0.5909200210001351,0.4276767801426212,0.9092812399523564,0.5844988518174212,0.883521285051323,0.9023758779276785,0.9010568661490513,0.737001102313655,0.5620948611958431,0.23442632028748522,0.897334043020605
