,CAGR01 Calcite.,F1CC06B Magnesite.,HS433 Halite.,LAZE03 Prehnite.,bkr1jb329c Siliceous-sinter.,GDS26 Epidote.,GDS1 Analcime.,NBPP22 Clinopyroxene.,LAPP47B Orthopyroxene.,LAPO05 Fayalite.,LASC02 Forsterite.,GDS27 Hematite.,NCLS04 Plagioclase.,LACL14 Chlorite.,LAKA04 Kaolinite.,LAIL02 Illite.,GDS106 Margarite.,c1cy29 Vermiculite.,LALZ01 Serpentine.,LAMO02 Montmorillonite.,NCJB26 Nontronite.,LASA58 Saponite.,GDS23 Talc.,F1CC08B Alunite.,GDS145 Bassanite.,LASF41A Gypsum.,LASF21A Jarosite.,F1CC15 Kieserite.,799F366 Mg-sulphate.
1832.95532041,0.998449566878927,0.998782940028772,0.9947519532815773,0.9970684643626985,0.9864269452233068,0.957503015350486,0.8669835799519137,0.9757236123268825,0.3285970656170403,0.9995304095254254,0.9994227869978302,0.993848820294795,0.9787625210217791,0.9985629459448462,0.9984191266948447,1.0,0.9954977940978662,0.9965407983573219,1.0,0.9909910604617169,0.9931258129664803,0.9452533852697496,0.9965399985673506,1.0,0.9763966086106766,0.9860711758600532,0.9535757068214242,0.8865812071268834,0.9969711804212494
1841.71952428,0.9971507376117288,0.9974076895915059,0.9940074282445248,0.9964306674547068,0.9792510196414028,0.9621584456512923,0.8664777991246763,0.9720075734128648,0.32686702378190613,1.0,0.999555023805317,0.992638079473876,0.9787753243756641,0.996773405582229,0.99938263719893,0.999604814202337,0.9941285323365535,0.9924581283860908,0.9997960039953859,0.9860933848087218,0.9910451288211991,0.9355783877547269,0.997806197836094,1.0,0.97056898960395,0.9839159764991602,0.933495142212491,0.8875321213154502,0.9931963899311758
1850.49334662,0.9965782200996055,0.9958606981820368,0.9932682848583374,0.9949138876221698,0.9658097220268926,0.9720143439932171,0.8556872236471915,0.9687252838670242,0.3260033986259367,0.9998542014328883,1.0,0.9911380298718148,0.9778266063367537,0.995540882342407,0.9997363844525657,0.9985773798588593,0.9938097601018183,0.9865029923344769,0.9982733492729196,0.9788970873557384,0.9867741382572104,0.9204533606415711,0.9970675712951018,1.0,0.9592281255696792,0.9758792737391088,0.9242150487957004,0.8825120271823691,0.9876665055503974
1859.27672761,0.9954361724590439,0.9952068613812356,0.9917331991548473,0.9941646460290295,0.942551993105065,0.9792533049704798,0.8339996410088091,0.9646466997858779,0.3256964596434234,1.0,0.9997603885010589,0.9871117843222902,0.9781298360249011,0.9941560774231579,1.0,0.9970209005982869,0.9929932007766187,0.9765340239971624,0.9968131581242837,0.9677147136522772,0.9803744483209829,0.895277045149937,0.9954995744492044,0.9977175157937036,0.9416759757959511,0.9590477541746045,0.9311118317910922,0.8716801763936445,0.9777410271171735
1868.06353858,0.993421098597282,0.9944475572499608,0.9894903207286684,0.9918870378544871,0.9028620453500262,0.9818133581159583,0.7957737910551503,0.9602624526640674,0.32632740032851737,0.9999283787076668,0.9995429458278611,0.9797067464624556,0.9775103331373332,0.9930277749226242,0.9967156432534797,0.9933944122852891,0.9924197836688,0.9600965793062722,0.9949838865201615,0.9468462222655334,0.9694361443451788,0.8560043878784891,0.990293708592766,0.9932269618987639,0.9161684511116399,0.9322514415816396,0.9480973406381938,0.8502780376398964,0.9630787502178727
1876.84916726,0.9925479671405147,0.9885589186926507,0.9871099939173311,0.9878458320468657,0.8406104107999683,0.9828635457707879,0.738716274104422,0.95683898882107,0.327396891966689,1.0,0.9997295078965478,0.968801019041776,0.9763777431279671,0.9909958079091516,0.9902617174016222,0.9865056042838355,0.9910316323703152,0.9358962218614534,0.9890522983141523,0.9103279026197022,0.9505777097563948,0.7982352543854159,0.981376711379229,0.983760833401072,0.8792906181465029,0.8952554061532199,0.9698549393503725,0.8157884838956266,0.9423530804110694
1885.63362519,0.9931677791419614,0.9774156975573638,0.983743625050069,0.9852593508165958,0.7577848541916349,0.985872068780686,0.6623530625163331,0.9528804111695415,0.3286364590888196,0.9998415651411459,1.0,0.9600439746658617,0.9764181252512794,0.9898483033464222,0.9825498417017593,0.9759626461738573,0.9901791575233952,0.9041193664206553,0.980948234386505,0.8548846294454077,0.9193701892095659,0.7186007621787989,0.9667429643962745,0.9724158861123874,0.8291436700849384,0.8505493835195793,0.987458378865405,0.7719813305019332,0.9126296768395713
1894.41692373,0.9940217610241449,0.9637638035448898,0.9798561497893817,0.9838592488925375,0.6754406979644915,0.9907004297725166,0.574010525078669,0.9480127797110547,0.33040785838850856,1.0,0.9986086077762484,0.959036004607654,0.9760874005452249,0.9901140702061046,0.9745635709590265,0.961488831508615,0.9895753406893096,0.8669110301001148,0.9707406822228652,0.7865502235555452,0.8760588911790912,0.6325114047997192,0.9472926035651678,0.9588091167044616,0.7627143771114047,0.8004840424169549,0.997360102344944,0.7224933736630578,0.8738233355457448
1903.19907409,0.9946563397838902,0.9481595902256607,0.9748772071903169,0.9803170828512222,0.624423903452794,0.995692317427745,0.4901225388736036,0.9423219376514381,0.3328257183294175,0.9999819533410346,0.9997023545908101,0.9596776834846739,0.9752795219151049,0.9898982709970436,0.9666073694052695,0.9461391363907242,0.9882240009394857,0.8339356709385238,0.9586826482168389,0.7351150476572714,0.8393877606516557,0.5727897445822766,0.9325207721460519,0.9447759404927467,0.6824337534254781,0.7463158997592904,1.0,0.6707279091490345,0.8258923336260353
1911.98008732,0.994729599786284,0.9320427161424294,0.9704611337033165,0.9775762977460429,0.6093059012047236,0.9969787945567412,0.44590251818237325,0.9377663186656572,0.33539196511821723,1.0,0.999431660480832,0.959911548880787,0.9753228241832551,0.9882563541706524,0.9599217702501239,0.9380491048476645,0.9867569564712345,0.8126083582410726,0.9487505344193758,0.7295169340758358,0.8292344812585156,0.558247898059739,0.9271938728234885,0.9298959631062375,0.6031161100312555,0.6895905211635471,0.9993963138976867,0.6226318579978021,0.7754904806070564
1920.75997429,0.9945629673345201,0.9169837758133569,0.9662046430204265,0.9762117479581983,0.614070858645263,0.994333781692672,0.46013946322896876,0.932885957647968,0.33899999792048197,0.999477036053665,0.9995456466514218,0.9581936437615016,0.9746129191285936,0.9873098083439057,0.9584326649696584,0.9385576709141784,0.9852489246644952,0.803145637080663,0.9438838262522018,0.7586952143255209,0.8413539034103732,0.5759252556801976,0.9319112793307778,0.9170028442033588,0.557516134227295,0.6291144472695018,0.9974103430951895,0.5835826703942412,0.7327242790632988
1929.54914243,0.995086045121354,0.9054250411900845,0.9637281934255324,0.9764431511255118,0.6269298726422682,0.9878791573331398,0.5121063651989495,0.928243466229251,0.3430547489232724,0.9991898874343803,0.9994990196070737,0.9575862952495292,0.9748767003646185,0.9860391896737165,0.9594477991041095,0.9426374573831343,0.9828567122420662,0.8022791803075906,0.9421234084312492,0.7923468720619052,0.8613594640515616,0.6040345704122596,0.9392629514313839,0.9079111483280764,0.5611195205782709,0.5687667838306005,0.995117485708783,0.5553306240229449,0.7058505342244149
1938.35679058,0.9942587297738965,0.8981626181257952,0.9623712749648432,0.9768685577391447,0.642617475225667,0.9778719418377699,0.5719929511157436,0.9235331400690978,0.3472918859914157,0.9994688516200695,0.9985621895127943,0.9573953351250556,0.9747402372477805,0.9840877178814728,0.963083382275546,0.9476653919548186,0.9810127404243815,0.8051512758321772,0.9431008680554356,0.8169568757550698,0.8797276648743048,0.6299130419317516,0.9455219273775519,0.9022066289988355,0.5924981042753984,0.5215905599869486,0.993098521709163,0.5343755300535705,0.6963396926914696
