Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),RELAB,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
Reflectance,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
991.720028203,0.9987459118148381,0.9967657810558842,0.9989603218391312,0.9995298744219644,0.9972735990845966,0.7957072134826964,0.9692632390292428,0.6026428125497304,0.6659818439961136,0.82328534759416,0.6137835372777081,0.9463720799733352,0.9618896917041158,0.9984873530414163,0.9977334410642622,0.9646453194963304,0.9774296114650945,0.9961214784826272,0.9999723066542285,0.9963604579592592,0.9449205136863319,0.9884805370537714,0.987208697121771,0.9772031576520467,0.9877352656581121,0.9839191540095359,0.8975850826147855,0.9843918780444729,0.9768476494163396
996.671068522,0.9986387622398233,0.9967453315592604,0.998482262703451,0.9991380633426832,0.9976150830555206,0.7886573240670337,0.975372215428289,0.5931072152132372,0.6835257606237138,0.8147552745086326,0.5974850424323982,0.9527524145477595,0.9579570933304896,0.9969934190851341,0.9981405038526417,0.9627829537141166,0.9755365267716026,0.9959781203356869,0.9998903799884593,0.9959275220151262,0.9453992588423786,0.989310733663335,0.9862661977218915,0.974949845773256,0.9895301900632983,0.9833160879551162,0.8979929416990601,0.983610159571653,0.9775797845657195
1001.65061855,0.9982385551917821,0.9970265417094274,0.9976302530021499,0.9987682119045113,0.9982219956557786,0.7811013928236117,0.98058501666839,0.5851474174054332,0.7035116932278488,0.806394144884286,0.5824179418782998,0.9590339024501052,0.954367857552985,0.9951837866032474,0.9984215442930895,0.9610463087321542,0.9729640105612968,0.9956060612721318,0.999684443366013,0.9965387313748452,0.9459976688282427,0.9901419997580423,0.9856486515085017,0.9743548481076515,0.9914006518293579,0.9838818596138736,0.898859120431763,0.9834038864413314,0.978377766003475
1006.65888632,0.9973814468258017,0.9976162286653599,0.9976934931651337,0.9985843356280835,0.9986599090845514,0.7735854744956653,0.985085392696967,0.57874068807548,0.7252247162248526,0.7982567185827536,0.5683850180204758,0.9648258836953427,0.9510362400044875,0.9931200228187476,0.9979269780762267,0.9593521653153648,0.9705468581082558,0.9948720479050887,0.9991840399053665,0.99612165726042,0.9471073465892726,0.9911332692261413,0.9854156217146234,0.9754716577935596,0.9930114930388759,0.9853967498151334,0.9004188298267863,0.9835906943939531,0.9796465584573667
1011.69608192,0.9967279021377841,0.9981131360460441,0.9981169135206442,0.9985215527172575,0.9987149664219674,0.7671523169935967,0.9883677767180191,0.5736093481633266,0.7482505651519756,0.7906557419781425,0.5555546860208299,0.9696920171270135,0.9475641609963541,0.9908926795169751,0.9976159060958528,0.957709761890025,0.9681707124238333,0.9939857502347921,0.9986122174243619,0.9949619973337904,0.9483551118514738,0.9922479335469403,0.9848591138852697,0.9780886886882677,0.9942309605573819,0.9873835737234332,0.9024871880613029,0.9835150163338594,0.9814657603806608
1016.76241755,0.9966669844631165,0.9984235355002663,0.9984496457418491,0.9984977013033177,0.9988977182955824,0.7625656934982259,0.9909729115644035,0.5695747781651604,0.7720892916766527,0.7836664576585695,0.5438372030083709,0.9736932707525177,0.9442969684375613,0.9884946510541196,0.9978701855331239,0.9558446027751304,0.9658493074571115,0.9934610946758387,0.9982193203733487,0.9941751654046413,0.9496036661851,0.9933917440569103,0.9837574811116363,0.9819250100388852,0.9952574539516557,0.9890430105446755,0.9048348248195112,0.9833130393693635,0.9834879381112811
1021.85810749,0.9968960912486192,0.9984698631855984,0.9981138357334428,0.9986878642564591,0.9992483261532376,0.7585132833590331,0.9929791267685295,0.5667819862991198,0.7964883148217411,0.776805129709132,0.5327175128974979,0.9769882973872376,0.9411145532691102,0.9857660364624767,0.9983132086250941,0.9535213248839658,0.9641973625701694,0.993069990411687,0.9981715362050025,0.9937452506273264,0.9512673047755709,0.9940488675472032,0.982897292314447,0.9865531262830096,0.9961918556968237,0.9903924922036479,0.9075246201480178,0.9833982706595614,0.9855370958204261
1026.97288016,0.99713374992275,0.9984953409663634,0.9972087187358147,0.9991078533261818,0.9992763770102902,0.7542391730784219,0.9942695587580603,0.5650988089059701,0.8205786311502037,0.7702253472000464,0.5226619074214852,0.9793583646530275,0.9378586072942697,0.9827504376865447,0.9985909839435894,0.9510947518270816,0.9627562833877891,0.9927607982671726,0.9977930000608625,0.9938939013614532,0.9532104550089192,0.9945632595146552,0.9825861943082179,0.9911536020065901,0.9970169641804447,0.9921372865896226,0.9107704265977261,0.983903693475392,0.987702855402308
1032.10649695,0.9971245280746109,0.9985976173142725,0.9966576198555802,0.9993715749709188,0.9992865274512336,0.750630499888543,0.9946954256126198,0.5646627302358525,0.8444595273523952,0.7633841306699072,0.5141583408218916,0.980881850402111,0.934828198705561,0.9795230059226135,0.9989654251637918,0.9490815429833889,0.9605832089651953,0.9927581397958805,0.9964515391076981,0.9941901089118483,0.9551696477023615,0.9954531944017754,0.982605752342605,0.9943843288537725,0.9977379335999401,0.994027438684682,0.9145984594884015,0.9846153434667727,0.9898275877885724
1037.25897753,0.9970149602710743,0.9986607448306921,0.9968750074100072,0.9994195424369915,0.99965172801983,0.7475783843451939,0.9948087498011439,0.5655408771046284,0.8681661692767527,0.7565924618263393,0.5071311111575035,0.981347965068564,0.9317836162455996,0.976356384879261,0.9991394099316924,0.9471794935467002,0.9580693981843958,0.992961577855839,0.9948275626385599,0.9944933458541537,0.9574259863550036,0.9961587780640776,0.983089686929926,0.9964500830662928,0.9984012441618367,0.9955571024367182,0.9186972951996826,0.9854325386846788,0.9918857884276095
1042.4303413,0.996638640324676,0.9988268338244098,0.9974503108252417,0.9994783417490344,0.9999379674807494,0.7447983031959274,0.995469843113644,0.5675142717418955,0.890912335559064,0.7508116478636967,0.5010467057133294,0.9809047729879915,0.9285154284934511,0.9732392684386794,0.999337854718199,0.9447940157940404,0.9558622363119358,0.9932913467334029,0.9935314795118948,0.9942060853895185,0.9598570715006053,0.9966260678410792,0.983780455796009,0.9978364559549674,0.9989438887701265,0.9969989307214286,0.9229617159065241,0.9864120168967293,0.9938738049396012
1047.62060737,0.9962872654682811,0.9989060891679966,0.9975852906699305,0.9995536798552225,0.9999718803353966,0.7427153276843913,0.9961409977794766,0.5705331801573262,0.9122034363976024,0.7452138310411861,0.4957994056553647,0.9798441966642861,0.925313365063942,0.9703818941185244,0.9995020480614696,0.9422852815695114,0.9539930113211912,0.9936581919338096,0.991776332224001,0.9931502418416255,0.9623620704112315,0.997225606915078,0.9838865941306804,0.9987309408686793,0.9992946339883795,0.9979617710504519,0.9274400464061529,0.9876170354634063,0.9956228128092263
1052.82979459,0.9961989278285979,0.998867353030658,0.9974313275024187,0.9995392970050392,1.0,0.7415247614899716,0.9960904287659089,0.5747303656756859,0.931670104684342,0.7396475143970276,0.49173624650828823,0.9780456205821866,0.9224164477208925,0.9672457959290675,0.9996144832851477,0.9394813685913778,0.9520455914007083,0.9941814236908777,0.9895546069776823,0.9919829139192642,0.9650371198929161,0.9977507302180653,0.9832858544090091,0.9992157625599012,0.9993680931435326,0.9984977472960861,0.9316069870432655,0.9890751521847904,0.9970428722469086
1058.05208946,0.9958480282129776,0.9989709356567135,0.9977981118901681,0.9996329699754215,0.9998729378794573,0.7408711586411457,0.9957800313241433,0.5802590626532943,0.9489530806800444,0.7346102906669962,0.48856670141666786,0.9765118147009267,0.9197498449922678,0.9634021543063163,0.9996823447535088,0.9367307577247704,0.9498970671997767,0.994900600799493,0.9881905013933293,0.9916661079188707,0.967718615692739,0.9982479217688098,0.983048458436184,0.9994192958825691,0.9993874318479313,0.9988765409352567,0.9358809278976593,0.9906688942150923,0.9981432586228894
1063.2810895,0.9958078165309193,0.9993092024644679,0.9986453631057586,0.999707221608475,0.9997655459121713,0.7409347272585386,0.9956115653343793,0.5870177120871785,0.963870415430159,0.7303070631322865,0.4868143855747832,0.9752775272660997,0.9170326316719183,0.9599993145330129,0.999570508940285,0.9344180039970692,0.9475267573784433,0.9957065779429474,0.9866530522509727,0.9923557174102924,0.9704031974688174,0.9985606666790073,0.9833244963811728,0.9996544693900997,0.9996399007822611,0.9992717165530012,0.9405432526099518,0.9923400500604114,0.9989945818892886
