,CAGR01 Calcite.,F1CC06B Magnesite.,HS433 Halite.,LAZE03 Prehnite.,bkr1jb329c Siliceous-sinter.,GDS26 Epidote.,GDS1 Analcime.,NBPP22 Clinopyroxene.,LAPP47B Orthopyroxene.,LAPO05 Fayalite.,LASC02 Forsterite.,GDS27 Hematite.,NCLS04 Plagioclase.,LACL14 Chlorite.,LAKA04 Kaolinite.,LAIL02 Illite.,GDS106 Margarite.,c1cy29 Vermiculite.,LALZ01 Serpentine.,LAMO02 Montmorillonite.,NCJB26 Nontronite.,LASA58 Saponite.,GDS23 Talc.,F1CC08B Alunite.,GDS145 Bassanite.,LASF41A Gypsum.,LASF21A Jarosite.,F1CC15 Kieserite.,799F366 Mg-sulphate.
1079.00791838,0.8845162548129818,0.9034494084022934,0.9015551438770112,0.7378590208274699,0.5608973237916085,0.2424092102761715,0.8955495754957601,0.16714123590718108,0.5015443998626836,0.1890181286526182,0.2025730495329798,0.5210178455277674,0.30148930872672525,0.30324684114169653,0.9411733320118485,0.44928205867041915,0.4185408243016886,0.758511275927922,0.42712666258223037,0.5952191083844312,0.44181067070368873,0.9110128092759745,0.590698056377391,0.8859081666564568,0.9189034691497715,0.941157683868336,0.5557368474373976,0.8497776765843755,0.9442668083030877
1084.26333836,0.8847786980898302,0.9036313951738033,0.9010413081870914,0.7378754514276479,0.560634352676783,0.24468203894531107,0.8948270442023568,0.17108031758149106,0.5148797896930866,0.18928717108114868,0.2047305130442277,0.5290233530244459,0.3006622125804784,0.30339723662312346,0.9416789491508571,0.44953175369203585,0.41871309559732733,0.7593289827879668,0.4272766537376674,0.5954302267694891,0.44499389759213664,0.9110796598957878,0.5919204263673046,0.8862141018703209,0.9185703530763921,0.9408578390200951,0.563144125898009,0.8505133542111387,0.94400077628134
1089.52507305,0.8850788028059328,0.9037692790116627,0.9017292197879369,0.7380009129776872,0.5602582995436199,0.24747559206205821,0.8937930548232494,0.1752459405210086,0.5274077704787588,0.18950036382103208,0.2072521020032568,0.5370514907896524,0.2999545788668032,0.30364636200329104,0.9427488758143496,0.450035661591621,0.4192360892881713,0.7599883196285221,0.4275180101164329,0.5960191262555472,0.4482245144509476,0.9111015601060372,0.5934501913627984,0.886327388679763,0.918047435829314,0.9400504919040623,0.570177296619456,0.8512068125001455,0.9436315464811511
1094.78823545,0.8848451017417287,0.9037523176039822,0.9027547712200453,0.7379762120844496,0.5597428311575608,0.25063330986116256,0.892291902385785,0.17967920604046028,0.5388851022312036,0.18985884262775068,0.21009455743293734,0.5450774815511253,0.2993454358657307,0.3041139289350939,0.9433895348532416,0.45043700747368864,0.4198300639647766,0.7606194704149281,0.42807055809574757,0.5966497418025382,0.45119396268913753,0.9111603937116759,0.5951711841344433,0.8864078990687924,0.9169671775707096,0.9392101950623533,0.5773001366565911,0.851731732758844,0.9431960125744533
1100.05281299,0.8846972640625267,0.9037782833109544,0.9029931524899011,0.738112020197542,0.5592630775773796,0.25415045413889537,0.8901568918509353,0.18432334458630978,0.5491639041619152,0.19048053288075908,0.2131571537303407,0.5533919868431328,0.29875681152048883,0.3045938873229767,0.9436127421296188,0.45105506807692214,0.4205492269396685,0.7611157288736731,0.42861392189622166,0.5968695614904374,0.45417303725327046,0.9110971828050738,0.5968921563494044,0.8866493729704066,0.9155940283458186,0.9386597635267698,0.5842210538502011,0.8520590607611207,0.9422682676160181
1105.31879326,0.8845645826937739,0.9040594166168334,0.9032089449558686,0.7381520095752895,0.5587007195641338,0.25807148041875144,0.8876950757544244,0.1891004736109573,0.5584851028868669,0.19116441957528488,0.21637129091071913,0.5621191196363609,0.2981628549400767,0.30492857696691694,0.9438070134873872,0.4518074588262564,0.4213099266120137,0.7619597900213597,0.4291594439372057,0.5971807568547403,0.45717049094607864,0.911106635626501,0.5986221629501698,0.8867734654544064,0.9143375880012744,0.9382722900384912,0.5913772799687048,0.8522745354288076,0.9413637348362176
1110.586164,0.8847660735571649,0.9042091055189826,0.9033251631983129,0.7381768635036324,0.5582159434504639,0.26216424993682574,0.8851999567308415,0.19397359184321114,0.5669975826280035,0.1919498226685239,0.21958883149462327,0.5709590502692394,0.2975713215659479,0.3054070731900299,0.9441632943868428,0.4526987296383073,0.42197104567708343,0.7629204830547472,0.42985673608116426,0.5973646719000748,0.45999310089483547,0.910713094838176,0.6003335245306691,0.8869741269753177,0.9132434477679863,0.9376693650306817,0.5983285522093712,0.8522640551276736,0.9403247156730044
1115.8549131,0.8844993951632093,0.9041835169245196,0.9034697956765022,0.7383326288485823,0.5577088328856977,0.26622760399386,0.8830797243025198,0.1989892187741493,0.574219915443504,0.19277205689688748,0.2230092169595063,0.579767683161998,0.2969792459664707,0.30608287339681284,0.9446806254465271,0.4538146934744192,0.42243847537652535,0.7639805930330806,0.4306551732609116,0.5973464739629862,0.46307865263540665,0.9098775531770553,0.6020112728771165,0.8874009809402694,0.9120074274097726,0.9368754190914488,0.6051463389962463,0.8521427737781327,0.9392344998078079
1121.12502863,0.8846710462929805,0.9040924346395239,0.9034141517019927,0.7382634331609986,0.5570337124456085,0.27036374097824395,0.8810478747922406,0.204077044824666,0.5805426149297547,0.19360384240992198,0.22656221161369205,0.5886636919876128,0.296379810974287,0.3069706523464402,0.9450848875185236,0.45488081713503475,0.4230787797216189,0.764817302439706,0.4311800719923964,0.597468478695608,0.4658489824912608,0.9090345842049772,0.6036353659410996,0.8880002584965062,0.911346055624701,0.9358852276145198,0.6119425971987577,0.8517656942445297,0.937652146667512
1126.42117712,0.8848746075835295,0.9041276882996903,0.9030711998936882,0.7381339506865093,0.5561467252532308,0.27455462069617875,0.8781947901533068,0.20924027071146103,0.5862029663054542,0.19453126374731255,0.23009986883706812,0.5979055096956323,0.2958656613612619,0.30790546239573363,0.9457432295322064,0.4557393990932915,0.4239869142700844,0.764847855316915,0.43184488531493076,0.5980488743115585,0.46826605974724894,0.9078486719421897,0.605332115750254,0.888845940369542,0.9103017123530709,0.9348848569500667,0.6188305588608188,0.8510650148077741,0.9358661209337459
1131.75559815,0.8851213043315478,0.9040116599522597,0.9029152179530009,0.7381587347783175,0.5550869878605816,0.2789092499715122,0.874479429920154,0.2143607079352179,0.5910463485616492,0.19556337891160389,0.23340924378354516,0.6078680843957288,0.29530832590878314,0.3087716615374284,0.9454782159239326,0.4565100247787495,0.4248722592254034,0.7643200924076822,0.43260419114189325,0.5987922390658459,0.4706961863655588,0.9055686222243372,0.6070178931547972,0.8896631856682615,0.9080763343292275,0.9335766641003943,0.6254950127676074,0.8497128098668211,0.9337744990559098
1137.12876151,0.8852510472870805,0.9037101040126706,0.902631196775832,0.7382256370883253,0.553794764148769,0.28335323696497744,0.869173296481966,0.21942369379976565,0.5951908984180051,0.19675656635589897,0.23669851622958846,0.6181724005245783,0.2947574069087211,0.3096065024203666,0.9456592736017926,0.45754729634015295,0.42572017543378055,0.7637662622259059,0.4335800397934114,0.5990658720543599,0.47297011426507596,0.9020870177683441,0.6086270990826564,0.8902032803264422,0.9046953993404276,0.9318565867855634,0.6317762239328095,0.8478052391472409,0.9311705177672159
1142.54114608,0.8855526217138866,0.9035999713402657,0.9023034370240115,0.7383781005062128,0.5521331199014025,0.2880196904443117,0.8606063657643764,0.2244785588429248,0.5989989500098843,0.1982183185258819,0.24010042366843612,0.6282996372871631,0.2942276389228981,0.3106856718979847,0.9458306673622587,0.458719842864627,0.4267450695694914,0.763174535358899,0.43430241287962157,0.5988929174259154,0.474892238119773,0.897615592712316,0.6099741774576598,0.890330818118938,0.9004566192423378,0.9296916474931574,0.6380964602124034,0.8451296132064641,0.9274446144071241
1147.99324008,0.8856992599430944,0.9033441624971354,0.902429203864523,0.738339208515786,0.5504175683705294,0.29288954413758,0.8465654668109823,0.22953615408290182,0.6024393011938429,0.1998373909646936,0.24335771009005397,0.6382941590271405,0.29363655762486535,0.3119388968279568,0.9458021559867511,0.460031517672499,0.42799286750596044,0.7625313435534344,0.4349802014917218,0.5987734428579419,0.47671414491785563,0.8925143455607686,0.6115155601240446,0.8901636181605571,0.8951363774780482,0.9267148630339966,0.6444711603394144,0.8416769196982568,0.9224819740460796
1153.48554133,0.8855232365410456,0.9028858356535328,0.9028091033417166,0.7382788065642623,0.5493085064715428,0.2980214506665637,0.827683159640764,0.23443521105604248,0.6056221429698053,0.20134620881518384,0.24660849295115003,0.648646235216433,0.29313093670847695,0.313270418501214,0.9458946733047172,0.46144571597537654,0.4292826743974241,0.7618920324514901,0.43560791865754245,0.5995214382020837,0.4784613592941371,0.8892161194478054,0.6130825187276663,0.8896702540488232,0.887877795645357,0.9223478589379414,0.6508202958120154,0.8375858386666072,0.9164447489444019
1158.99647413,0.8852374686030001,0.9028806017835657,0.9034870709415138,0.73833264069237,0.5489097196105501,0.3031082370110725,0.8122114770351767,0.23926235733527662,0.6084587809952758,0.20262263011591505,0.24972898346587372,0.659117271278349,0.29251480641033983,0.3146224544443752,0.9462400869347899,0.4629531953948645,0.430542857259954,0.7614381766220043,0.436551558359078,0.6008393991453889,0.4804789516346356,0.888652791444816,0.6145787903179301,0.8893658987560397,0.8792911791354059,0.91738781827709,0.6565959737983595,0.8334541511789717,0.9098757031436022
1164.48107738,0.8853188288545675,0.9025672355349255,0.9042946688347409,0.7383046190349708,0.5488349407599634,0.30809375855865834,0.8108289836563707,0.24392595831914707,0.6108797401944354,0.20389785493005805,0.2525283090840332,0.6693338495779214,0.2919110950474364,0.316093924918179,0.9467015261858,0.4644782008555382,0.4317773630434384,0.7613685453623593,0.43788662638694975,0.6018162680732008,0.48281308165863646,0.8907288671401784,0.6161244136368402,0.8889656288445005,0.8728172688868495,0.9114399450451139,0.6621266836866436,0.8295997457128816,0.9034534593466087
1169.93996942,0.8859992938352307,0.9025355400913523,0.9046363611857847,0.7384656136601923,0.5488023456274372,0.3133346250380196,0.8220591842413847,0.24853392514910597,0.6129590889670947,0.2052157149659697,0.2550060159412771,0.6795176992880815,0.29124190363980995,0.31760745571321297,0.9468108322001209,0.4661271546060331,0.4329814153387638,0.7616974394547771,0.4391306458931977,0.6019440765779829,0.48494950511674884,0.8929980229287998,0.6177543174898626,0.8886081205846394,0.871584435698861,0.9052519560100505,0.6677902173638383,0.8261575799476663,0.8977097557583011
1175.3737451,0.8864559507339715,0.9025048425582927,0.904699060659941,0.7385475820904697,0.5488894358374817,0.318988778599423,0.8357518249378728,0.25291212688812087,0.6149933370010666,0.20643790741570442,0.25742725739139655,0.6898135662229313,0.29074380533421196,0.3191069509421486,0.9466656666598385,0.4676055008533051,0.43425149333976004,0.7621892640908384,0.440279669031348,0.6022708884448695,0.48689462856332555,0.8953746224297607,0.6192690529617767,0.8879849020311018,0.8750475872563562,0.900322665648231,0.6732627335419586,0.822924337487585,0.8934526277720239
1180.78297699,0.886174872241003,0.902263203792341,0.9043149663674646,0.7387179774366265,0.5487645973385593,0.324893094971765,0.8464407891826322,0.25708856003783803,0.6167218383500114,0.2074401075133415,0.2597703982823195,0.7000889650677435,0.2903337387597697,0.3206278386478748,0.9470375259299142,0.46932733033817275,0.4359350816945424,0.7628681155870143,0.44153574228927045,0.6031487749971192,0.48887456620966374,0.8973443862885764,0.621068044835415,0.8874116483292399,0.8801258463589755,0.8972040091279779,0.6786797022958189,0.8195941621330556,0.8909571622019699
1186.16821657,0.8861757173189209,0.9019289117058419,0.9034463859815839,0.7388816216624685,0.5485836710430024,0.330938140268703,0.8529057155580698,0.26114919078856375,0.6183725942537458,0.20852319879879425,0.26202036173444815,0.7099409083998149,0.28978832579502095,0.32219222141701315,0.9473484484385284,0.47152695964991115,0.4379275834984117,0.7636688027628047,0.4428824410717331,0.6040518202593018,0.4906245396994269,0.8985937041179839,0.6229361577060185,0.8867274543033488,0.8841888341192741,0.8949408630710588,0.6840984696959554,0.8164636909639719,0.8893413816221275
1191.52999524,0.8865362984833988,0.9016755907151441,0.9030040706614161,0.7389420033718892,0.5482878761674584,0.3369748316555685,0.8564453389385261,0.2650698683655174,0.619738793762393,0.20957716656962888,0.2640506777499654,0.7187488311921318,0.28924445550733974,0.32376554182924183,0.9474534298918178,0.473553196550856,0.4397808316772647,0.7646144456242482,0.4442110451874809,0.6053966333955316,0.4922852481275979,0.8996775700784881,0.6242514768242313,0.8855988814485365,0.8866189284135271,0.8936001829254476,0.6896223748795481,0.8131613598432414,0.8880302135100004
1196.89576018,0.886932669408128,0.901319569555161,0.9028588791730751,0.7389755127028821,0.5480567260414038,0.3427094219739815,0.8593137759406494,0.2689315277828678,0.6208475369389834,0.2103930256215649,0.2661799574971774,0.7267780409899218,0.2887125199983185,0.3254935377584202,0.9471041007302818,0.47526690548895667,0.4412334229058638,0.7660691369075912,0.4453327264662175,0.607132359909017,0.49402358312722583,0.9006173445302095,0.6252491314384743,0.8843020027112867,0.8880385057056362,0.8930310379327543,0.6951425486698655,0.809393800723409,0.8869330407946457
1202.26638934,0.8872624426661255,0.9010475124645734,0.9035195949179051,0.7389993890597467,0.5479367984796073,0.3479865139225791,0.8637157585246369,0.2726494424775775,0.6217600432438595,0.21107507432458528,0.26830930113339396,0.7345465139305133,0.2882709549841291,0.3273174054040356,0.9468354727011686,0.4771615943362653,0.44270621246343117,0.7673415858845727,0.44653829997637307,0.6091584207999808,0.4956445224286592,0.9014561775150869,0.6259772511106085,0.8825518247205183,0.8890012091171506,0.8925058541004289,0.7006289727801244,0.8057201939956361,0.8861980200336821
1207.64185238,0.8874220866564172,0.9008382328534419,0.9041770526706556,0.7389004780691384,0.5477065884932164,0.3534154770609391,0.8683056693015259,0.27616477280062446,0.6224899264092681,0.21164752261493402,0.2703187324643626,0.7418354415830963,0.2879513608214413,0.32919564327593226,0.9462086894134659,0.4791899252148724,0.44451282948239057,0.7679217836557473,0.4480807714957167,0.6112893055485425,0.49703854268812797,0.9021134590344477,0.6266797689217273,0.8802058545494266,0.8898304373331937,0.8925035052992468,0.7061207920578977,0.8023345897790557,0.885909154435795
1213.0221192,0.8871212897576354,0.9003841993982217,0.904159310967068,0.7388918270625939,0.5474311187119723,0.3586150242026002,0.8717921682246335,0.27953904529210155,0.6233569267166981,0.21228064823671844,0.2722433851402283,0.7489375764042521,0.2876351238509011,0.3310816838193086,0.9458572682319102,0.4814578894557141,0.44639459070154347,0.768226445474655,0.44948323988749506,0.6126421136395552,0.49826978740934036,0.9029399415678708,0.6277666190716341,0.8775109697825715,0.891370104720078,0.8940002979537285,0.7116215366264232,0.7991306497131047,0.8854283329670157
1218.40715994,0.8872913779737345,0.8999313973854147,0.9038571680445848,0.7388926751986158,0.5471933710538941,0.3636728410164987,0.874237501402595,0.282856073960766,0.6240280968839007,0.21286071584668811,0.27427721002579136,0.7557164857925696,0.2873623837903573,0.3328926955310276,0.9450308084079164,0.48346480869089625,0.448276463749256,0.7686018883420069,0.45086602734554176,0.6130340780597442,0.49937157127429216,0.9036990848326256,0.6287318224289407,0.8739144273438895,0.8929998674194843,0.8960146779804259,0.7167295422284325,0.7956407021386942,0.8847143568396623
1223.79694502,0.887503296490411,0.8996691388206688,0.9033872499324203,0.7390925650798514,0.546739230649143,0.36860195185965833,0.8758693433313347,0.28608390815086265,0.6244856036826476,0.2131999075446305,0.2763915930605149,0.7615646129110349,0.2870146849421842,0.3346751019907122,0.9435638134584691,0.4853111997514781,0.4499328469031568,0.768807293042302,0.4518620956002268,0.613147565777352,0.5004923857282706,0.9044395694977654,0.6295440998624772,0.8694764170349679,0.894359213536454,0.8973564618400666,0.7216230089003879,0.7921859588376956,0.8844314807770856
1229.190873,0.887533424066594,0.899646490360596,0.9031477949069666,0.7393420997603622,0.5462599057745023,0.3732700478463432,0.8764723838667712,0.2892918315956071,0.6247769640368275,0.21344332658631363,0.27857811103644176,0.7670028045958543,0.2867427993342334,0.33648131066316456,0.9416805279591945,0.4873177725499187,0.45170216311569145,0.7689364519719699,0.4527468268741803,0.6132418731795163,0.5014964158235999,0.9048306382643323,0.630121584152028,0.865121544668776,0.8953097898411713,0.8983982855320384,0.7264038227887354,0.7890030521914969,0.8843137028278377
1234.58829679,0.8876390808491633,0.8997489383701963,0.9029660319714284,0.7395240805296107,0.5458581164597752,0.37739737625829073,0.8766143351085112,0.2924630233124244,0.6248978117508451,0.21388370555749606,0.28084070779565645,0.7722937653173297,0.2864997206152775,0.3383428486046454,0.9400799221671433,0.4893462701041015,0.4535691092644147,0.7690918101932821,0.45384785143205597,0.6141343106629084,0.5024369465662578,0.9052755691400912,0.6309491522505623,0.8612219013536332,0.8960310170966721,0.8999416332632653,0.7310201852595138,0.7858382691423621,0.8843529797845469
1239.98919257,0.888070109949733,0.89977584740547,0.9028288313378077,0.7396745735307285,0.5454134332617239,0.38113854488409127,0.8771807522887353,0.2954778498829118,0.624924589608315,0.21449042799017884,0.28314212977613207,0.7773130392175553,0.2862555986646941,0.3401605521906774,0.938838857487684,0.49132872333755956,0.4555859372250706,0.7690874377810992,0.45518112291152774,0.6151341655121106,0.5032346756225902,0.905401786411014,0.6320694210282165,0.8574524667291924,0.8969244264972798,0.9022453694657806,0.7357673505358744,0.7829128550809787,0.8845736523650165
1245.39353673,0.8884476931973588,0.8997474306750372,0.9032727874244204,0.7396073586515631,0.5449305284496021,0.38469483208173505,0.8781530146815257,0.29858704245672546,0.6248328332227201,0.21496878024730762,0.2854206479203928,0.7821056745959577,0.286053621689348,0.34192848594645414,0.9386691251971115,0.4935435347748897,0.4575522999732424,0.768902178137322,0.45668843229879863,0.6154799633468515,0.5040254892811074,0.9054641910317498,0.6330027414629749,0.8534835593530433,0.897624695077489,0.904624464045349,0.7405441179421997,0.7800084567697121,0.8848507511326493
1250.80130588,0.8885507122088085,0.8996471236522448,0.9040122649679787,0.7395418622226315,0.5445318875990953,0.3880453837074097,0.8792368484406842,0.3017419168966687,0.6247908684339409,0.21540188616364447,0.2878864116594577,0.7865235096430276,0.28587456636321434,0.34358655720944037,0.9391899967858787,0.49567078531894304,0.4591877275480205,0.7684142978779086,0.4583852416045358,0.6156421309737364,0.5045771853917435,0.9057328143214708,0.6335481988251609,0.8484851224071287,0.8981878441052731,0.9064903934988381,0.7452893370788356,0.7770770641539286,0.8852532522001013
1256.21247686,0.8888192136950397,0.8993667601730629,0.9048333657570089,0.7394559177778267,0.5442813844912165,0.39126360557276063,0.8794262469688229,0.30473050207763724,0.6246823921642739,0.21574313222343267,0.29054387905848594,0.7902047517535772,0.2857166874032371,0.34522452425202355,0.9396901630114148,0.4977524416547023,0.46104250588908313,0.7677796301020806,0.45989095389287193,0.6160687132537231,0.505213855396182,0.9056758959721106,0.6335385375470929,0.8418143003064072,0.8983971836873077,0.9081827087529099,0.7499119941863212,0.7743041096241746,0.8855087255492249
1261.62708732,0.8889409602082978,0.8994730426448438,0.905554454111242,0.7390958016582346,0.5439652320353875,0.39407232302283407,0.87938436191151,0.30765573633609206,0.6245311310976197,0.21614595490788224,0.29332975850644943,0.7936406318524302,0.28559510467953964,0.3470666082355448,0.9395304407151682,0.49968116512799465,0.4630186025645354,0.7672464247803465,0.46100592274871505,0.6165764519493289,0.5058352418068836,0.9050063083374941,0.6327652085846877,0.8340710795330953,0.8978893381457501,0.9094077346804148,0.75428873893125,0.7719069782380844,0.8858974098708643
1267.05580532,0.8887373663224442,0.8991752972263941,0.9058297830894182,0.7386167638839712,0.5436194265222163,0.39635894487513423,0.879243422774697,0.3104853288073286,0.6241642775023873,0.21645910613543787,0.2961308243191546,0.7968000316707065,0.2854924224336597,0.34892657268264143,0.9386513222517334,0.5017174267066767,0.4650427188863016,0.7667700017052973,0.46202160719223373,0.6163273248341743,0.506327561296957,0.9039179019793142,0.6307109026373384,0.829650981749781,0.8969351534665486,0.9100266232266272,0.7590233771789782,0.7698674071033045,0.8860740253779814
1272.49861965,0.8886573687300942,0.8987714283752977,0.9057935291045196,0.7379407788230199,0.543172949047789,0.39840693779125014,0.878648506895999,0.3132827482138553,0.6235179349121293,0.21672151299672396,0.2990992204659285,0.7993806044796102,0.2854618950223328,0.3507706014278169,0.936651730389987,0.5038414510797379,0.466985716078437,0.7656906575090012,0.46325100373977834,0.6163128395685911,0.506660412194417,0.9025592890556126,0.6283174773345821,0.831836004453486,0.8962065563748458,0.9103461821098581,0.7636570427885402,0.7680323003010652,0.886148520573283
1277.95551888,0.8885507092934376,0.8982137983133437,0.9055221129754448,0.7371877923430264,0.5425633602296384,0.400407112192815,0.8775929270465374,0.3160218078915397,0.6225606433380241,0.2170567413383727,0.3022638124029679,0.8016617273263702,0.2854833092473459,0.3525817901656946,0.9345792206809558,0.5059156569235526,0.4690568021743754,0.764409894674116,0.4642973528838314,0.616561326435704,0.5069611406667637,0.901238919927459,0.627540182622596,0.8389702048213499,0.8953812998615287,0.9105316539193715,0.7682077665189317,0.7659137123679328,0.8861410529813712
1283.42649147,0.8886978547106418,0.8979720421406094,0.9052542079076266,0.736163126069257,0.5418919206437408,0.402268923952077,0.8756267517925115,0.3188645734526408,0.6215021507825044,0.21754387089739283,0.30557722601048387,0.8039494185386158,0.2856212248866159,0.35449766966886237,0.9319757654957852,0.5081441218128208,0.4710660847664027,0.7641641737779654,0.46551497740706566,0.6164298395319031,0.5071158367963364,0.9009091977492556,0.6296831131146187,0.848048931063856,0.894268059960519,0.9104497393145371,0.7726030598462568,0.7639447303916997,0.8860572168778622
1288.9115257,0.8890429347516718,0.8977939399004319,0.90498417391124,0.73558136763686,0.5411651862513013,0.4038891098608912,0.872645877556555,0.3216917926285116,0.6203062810794052,0.2180791338322587,0.3090569096243016,0.8060628683687778,0.2858989517230224,0.35632169487754234,0.9287525977081671,0.510465635932959,0.4727804549809796,0.7658291246333381,0.46708018552430625,0.6160781052300625,0.5073195125052414,0.9000692894812333,0.6319215050305322,0.856104504284957,0.8928196840991484,0.9103276816104968,0.7769422197465644,0.7620582221568069,0.8857677300581293
1294.41060969,0.8892669902398498,0.8974913739690327,0.904726189668608,0.735519660067113,0.540300413868728,0.405575887546677,0.8693402149781753,0.32446138340820446,0.619082408661501,0.21855435411129367,0.31288086647811475,0.8080242082990088,0.28620781825096325,0.3582039824019829,0.9245694362091138,0.5125408401793535,0.474463602280332,0.7675772876118656,0.4687903571531163,0.6157699382943953,0.5073754791859243,0.8981623467858796,0.6324321388587799,0.8611743202219179,0.8910093906654034,0.9098865401794328,0.7812471898657871,0.7601432220918465,0.885177818408484
1299.91690127,0.8894991747019029,0.8970216049040225,0.904468387792509,0.7355776167139668,0.5392042107121534,0.40688852198073217,0.8659642411895605,0.32715290445559597,0.6175357164578648,0.21894352733670155,0.31693577537294776,0.8097576326229109,0.2864976202416544,0.3601041834958442,0.9203892430110238,0.5146406119673238,0.4762403247646355,0.7684170736785002,0.47037048025016914,0.6154070136589919,0.5074185327351451,0.8961280448920004,0.6328867791334823,0.8630922442058419,0.888625143823878,0.9089345722255417,0.7857738887173554,0.7580265605129486,0.8845108762191312
1305.42577023,0.889162568779181,0.896271057099794,0.904654948146467,0.7356074548290329,0.5379264965945427,0.4078986357453543,0.8626710808077301,0.3299053516840413,0.6158504124960965,0.21950220238538712,0.3209664602715295,0.8112854816616148,0.28684714350352775,0.362030272110883,0.9166487768527503,0.5170652950338293,0.4781928696771363,0.7683402988812784,0.47151707967798784,0.615557030113915,0.5074208035682655,0.8941547847016137,0.6341897940084262,0.8629643269854416,0.8855792954618282,0.907459912128895,0.7903251274070817,0.7558237105809911,0.8834786986985962
1310.93719838,0.889088056321991,0.895995868937553,0.9045718838038869,0.7358604991459318,0.5363735607786118,0.40884266683072584,0.8582129907100129,0.33263017125423855,0.6140651288662448,0.22021462969703756,0.325093425919583,0.8125647062292183,0.2872764967550404,0.3639484577456638,0.9137616523624958,0.5192777550745151,0.4801837511877487,0.7678653068492796,0.47257671911671517,0.6158726306497236,0.5072743566013554,0.8912711736971496,0.6351248578413523,0.8605034699235357,0.881989724158155,0.9055574944381821,0.7946960820577893,0.7534654462479315,0.8821133867677855
1316.45116775,0.8893438833868182,0.8955044921831694,0.9044428859613997,0.7361322294080965,0.5344604366759094,0.40979173351197645,0.8524344878802604,0.3353229102455713,0.6118663561350206,0.22092248164881317,0.32951031382623713,0.8138703885351376,0.2877680115753796,0.3659244445830942,0.911141648585987,0.5212535229911939,0.4820191060078536,0.7668819111936523,0.4740245035562758,0.615465696510073,0.5068815720000484,0.8870205601049663,0.6352100731630933,0.8559030375906352,0.8774425527588858,0.9031380150499985,0.7987073403182393,0.7508623378532984,0.8807618961999569
1321.96766053,0.8895096507490309,0.8948696678340793,0.9043966443731245,0.7362551430680636,0.5322130238458495,0.41101094540831007,0.8439086720707355,0.33795530189488054,0.6092594145315648,0.22153606521410166,0.3339590013720416,0.815174085708785,0.28821296041281524,0.36778408878570495,0.9085027635340077,0.5233935899666496,0.4837967407585596,0.765839909249695,0.4754158997890326,0.6151638005519069,0.5062672295656928,0.8817049419944387,0.6353223402594556,0.850784081128104,0.8717390511061278,0.8998441597595626,0.8027830526842319,0.7478312938625098,0.8790572633351654
1327.4866591,0.8894255422327125,0.8942153609198913,0.9044804954118355,0.7363082883548623,0.5295907328852932,0.41224094608706174,0.8329660789483659,0.340543856570806,0.6064024533460196,0.22227419055613357,0.3386175509027043,0.8163483729208769,0.288694387700431,0.36957772798788857,0.9059239450058985,0.5255918244050835,0.4854944555967432,0.764478737112004,0.47653062984248346,0.615105168814067,0.5057573248234933,0.8759875492923155,0.6357670218367665,0.8458716080953269,0.8640991073726364,0.8958735389969815,0.8071116753511195,0.7443184106845999,0.877147026392897
1333.01349556,0.8891620522335233,0.8932300901625261,0.9045596083729595,0.7362933500715906,0.526655504406767,0.4131860672618477,0.819623339828103,0.3431192042303482,0.6034092204382743,0.22328029438114136,0.34374400575110836,0.816938070349765,0.2890619763410756,0.37143206258073025,0.9035812229137042,0.5279377729812883,0.4872201588123054,0.7623174455953897,0.47740428878707586,0.6151902281913628,0.5053110725880448,0.8702561063571549,0.6361675390232447,0.8395897448097641,0.855362611664781,0.8911310255430449,0.8112725059437231,0.7400476935727078,0.8750943041081457
1338.5688161,0.8889175726771277,0.8922593593548587,0.9043900762473867,0.7362818033293812,0.5233711918432702,0.41391136111209814,0.8058398202549372,0.34563731323618824,0.6001795577188438,0.2244936782585572,0.34908639037967126,0.8174225997943378,0.2895900894909636,0.37326509748264536,0.9005608761663643,0.5300253512260802,0.48900359825244616,0.7591520403223233,0.4781336211232203,0.6152390555238709,0.5048624205644924,0.8645943828712679,0.636030026378633,0.8342165107632522,0.8469711614714216,0.885887471603446,0.8150363567970735,0.7349119857618504,0.8729278645504343
1344.15282419,0.8884505727278054,0.8910860782197727,0.904220578051093,0.7361906870682775,0.5199962620511227,0.41492934986146834,0.7934682876805865,0.3481142371003996,0.5964594422353484,0.22562221580385697,0.3544685966225869,0.8180624996865855,0.29014420091117266,0.3749544097200946,0.8960911115750854,0.5313775623250032,0.49064329588991007,0.754517747756968,0.47849784335485385,0.6150950590301788,0.5044343460045695,0.8582549006747211,0.6353756476196036,0.8322067222181502,0.8411209102205216,0.880239166079604,0.8185722796408713,0.728990642765182,0.8707977757352537
1349.76572543,0.8877237100237143,0.8896830403359792,0.9039805574381349,0.7359060252804775,0.5164106845504094,0.4161831930390642,0.7827620340292455,0.35043451352772786,0.5920374357776638,0.2266122324133419,0.35976795795767874,0.8186349028882897,0.2908081313408008,0.3763199761349481,0.889196641435728,0.5329023212679553,0.4921169057253805,0.7471678535382295,0.47871052951172105,0.6145401829267204,0.5038574499783225,0.8512243339498207,0.6343292252304786,0.8312643202850333,0.8378040209255954,0.87395767355824,0.8217765908782741,0.7224999833381196,0.8683797173731119
