Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),RELAB,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
Reflectance,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
996.671068522,0.884921520446813,0.9000362009615506,0.9011728368632493,0.7359028135399208,0.5641577779955202,0.23176624414433267,0.8814908069563191,0.1461939857005896,0.22441472002304522,0.19916948431166587,0.22501526472725597,0.38348250193154365,0.31695386355853233,0.29939834651503,0.9366589533755023,0.4456973813065853,0.418507548546913,0.7493074060408278,0.42095117903744167,0.5873006065815409,0.3974445420877486,0.9018360334693986,0.5737096422329693,0.8564825710036732,0.9111270237578372,0.9266638746471224,0.45212054301525834,0.8396685851675881,0.925365067739013
1001.65061855,0.8846482622798111,0.9003459731604003,0.9004600519192816,0.7357060416884916,0.5642346966355212,0.23101066379266483,0.8860199398734523,0.14514557936889272,0.23857045406342225,0.19799956188143292,0.22068707327274234,0.3937845354328614,0.3158160721819185,0.29996416857787045,0.9372031578790101,0.4460943859597887,0.418369152501082,0.7495224691951132,0.421711381480185,0.588189166940296,0.399462434681671,0.9025767850149277,0.5744233462596091,0.8563994175777586,0.9127500897506734,0.9271239237301538,0.45688135030071836,0.8394298374283038,0.9259867454057269
1006.65888632,0.883968448957505,0.900936077448312,0.9005784225018454,0.7356474827226835,0.5642138863242604,0.2302472319656941,0.88989735409105,0.1444679747404635,0.25380053337946795,0.19687188500955075,0.21669429903236512,0.4040260958895547,0.31476420876518196,0.30045515457206995,0.9370171735505229,0.4465139571252649,0.41829858744501175,0.7494662365490081,0.42235107209208544,0.5884708240246427,0.4017101103010422,0.9034637763657501,0.5753674851150059,0.8578312423649906,0.9141314358279105,0.9284822756863729,0.462031325281409,0.8395280823943719,0.9270549729016975
1011.69608192,0.8834705988952003,0.9014422184233557,0.9010240847257743,0.7356790724425974,0.563974161472823,0.22978964341571492,0.8926648964824567,0.14409797629860974,0.27001357612440735,0.19586505112301003,0.21310926840202313,0.41400965006516477,0.3136657972156256,0.30089810660027555,0.9370059194922106,0.4469605894653701,0.4182466340993725,0.7492970832301992,0.4229644864211999,0.5883139543403982,0.4040308165399252,0.9044634198292276,0.5761270323451761,0.8605927542502508,0.9151493834215514,0.930286422590301,0.4674845461597083,0.8394007855533995,0.928645088818343
1016.76241755,0.8835013325410369,0.9017793500927448,0.9013878694308123,0.7357399592174373,0.5638054205558589,0.2298750398006094,0.8948145231599972,0.1439959720231653,0.28706888780953593,0.1949995327446668,0.20990492290021126,0.4237402540431766,0.31263573921445253,0.30129031086085173,0.937529979146313,0.44730542754702085,0.41821938467342096,0.7494043009657491,0.4236582099009102,0.5883808067956318,0.40636645772221486,0.9054893570819086,0.5765704903167767,0.8644371117422621,0.9159877182243782,0.9317792523285263,0.47312827212757685,0.8391648781765431,0.9304263012547802
1021.85810749,0.8837906841267849,0.9018765470980851,0.9011451603080063,0.7359594800868828,0.5637295949869774,0.2301135492114512,0.896417367232256,0.14420493943878937,0.30490217836786904,0.1941560428302319,0.20688977056131913,0.4332660167532563,0.3116339927542492,0.30158165678119286,0.9382331321130979,0.44743616000326447,0.4184848967379418,0.7496144520878143,0.42450304619853546,0.588661805345931,0.4088951793556807,0.9060683873717269,0.5771598359433038,0.8689863355194454,0.9167391947977496,0.9329770522469304,0.4789998449296628,0.8391743120518315,0.9322308127348575
1026.97288016,0.8840879931303545,0.9019550323661715,0.9003862853653386,0.7363494861222577,0.5634699660692007,0.2302739703255131,0.8973690846672051,0.1446940773786528,0.3231709710240574,0.19337143994995026,0.20424598307360864,0.4424565543859538,0.3106078260936742,0.30178256808493875,0.9387814937822374,0.44751682961455763,0.41884284512275755,0.7498884282599086,0.42520947774948176,0.5892889932200769,0.41155772053964146,0.9065164850503158,0.578075860713973,0.8735161021978168,0.9173888473223083,0.9345480891744369,0.4852103549612185,0.8395436939361933,0.9341443837762425
1032.10649695,0.8841656992371723,0.9021034396380014,0.8999489979929441,0.7366240617308949,0.5631993378373539,0.23062850564365855,0.8975355719350164,0.145504282966976,0.34190830363117625,0.19250875605286297,0.2021753645554068,0.45132500823672406,0.3096567608228572,0.3019152606473304,0.9394223857126677,0.4477917872627883,0.41888072661390946,0.7503968393293938,0.4255055876076065,0.5900062789455952,0.4142409512606388,0.9073082281373346,0.5791909165059894,0.876838001176787,0.9179415467830553,0.936255644674362,0.4917821530079551,0.8400894501681513,0.9360172143192081
1037.25897753,0.8841543629618807,0.9022165402467636,0.9002092491427296,0.7367391641393969,0.5631286973662617,0.23114712109989416,0.8974178787286294,0.14665907023795177,0.3611251109975708,0.1916463085887946,0.2006585855002922,0.4597515134780292,0.3087010053211015,0.30206368089328095,0.9398751651248936,0.4481189642020963,0.41876817003052513,0.7510637910729309,0.4256812982162279,0.5907300523398146,0.4170679552550379,0.9079309595139377,0.5805853830258395,0.8791320186773556,0.918440317784455,0.9376211000533823,0.4985544001362264,0.8407252112625905,0.9378251463343684
1042.4303413,0.8839057384267995,0.9024232955610839,0.9007944904442514,0.7368625916617341,0.5630123049546963,0.23174412044247153,0.8977955655627825,0.1481072708818706,0.3804808804290176,0.19103021926535071,0.19949095132973443,0.46778051235983376,0.30767082714598354,0.3022244656341538,0.9403522547497031,0.4482155157801372,0.41878903803687995,0.7518289331708604,0.42599864596372244,0.591103599217844,0.41998674637479444,0.9083353884930768,0.5821077211630961,0.8808272727751738,0.918827001120049,0.9389025828483623,0.5054735628439357,0.8414995442375108,0.9395647937579972
1047.62060737,0.8836796944922983,0.9025514781158782,0.9009805708514932,0.7369985716723784,0.5627522809778915,0.23255460352354143,0.8981812291345365,0.14984109018410727,0.3997289316235075,0.19045099154562542,0.19863631580628116,0.47553119488525597,0.3066626527428701,0.3024635310577051,0.9407981832461436,0.4482516098813965,0.4189580179906614,0.7526245642099795,0.42611901854844525,0.5910196524839014,0.4229539332034262,0.9088607101804445,0.583287452358295,0.8820892667802726,0.9190358916838753,0.9397302550851883,0.5125692307643055,0.8424665664115585,0.9410759736462264
1052.82979459,0.8836881728549061,0.9025725075482809,0.9009046937513541,0.7370682287873205,0.5624877311652166,0.23364409642274087,0.8979121384960469,0.15190128473945044,0.4186574451628028,0.18987032535066878,0.1982443214766014,0.4829270439020816,0.30575605283818663,0.3026124074353333,0.9411958794400611,0.44814413600664177,0.41909203174562953,0.7535410242891948,0.4260376531552137,0.5908696750238341,0.42601210000193535,0.9093173214225487,0.5840495371755696,0.8829897319350666,0.9189878967447994,0.9401533796035481,0.519550407157057,0.8436493921395627,0.9422732559931034
1058.05208946,0.8834628209113353,0.902722481067735,0.9013012628009722,0.7372179128243195,0.5621015042050813,0.23490306840499725,0.8974071373334074,0.15433359664328175,0.43703007148129674,0.18941635297932238,0.1982029129409599,0.49044461202666945,0.30492607268749966,0.3025336619794563,0.9415517373099238,0.4480578684896973,0.4191352533464073,0.7546080267035601,0.42632572060066753,0.5912286073190726,0.42908734910234136,0.9097477623802184,0.5850298358366339,0.8836415432704725,0.9188892988039578,0.9404271871555273,0.5266436480197326,0.8449473450455696,0.9431658238063281
1063.2810895,0.8835143982911555,0.9030854638620429,0.9021337888679128,0.7373533301774255,0.5617262119409461,0.2363908331969238,0.897030520953469,0.15711574192416014,0.45467588603890824,0.1891428609033951,0.19873143649069885,0.4980995650899563,0.30407911140033755,0.3025869614901813,0.9417381404603918,0.4481769081935945,0.41907679052485475,0.7557426027759113,0.42653740079885644,0.5921907841468596,0.43217651092121845,0.910009400849932,0.5863182770435924,0.8843223423762128,0.9190057918491611,0.9407162393273476,0.5340058001922466,0.8463110462859247,0.9438213922459243
