Sample ID,10_Otago_00001
Species,10_Otago
Subgroup,10_Otago
Group,10_Otago
Library,EXM_MRS
Sample Description,Sample 10
Date Added,"02/20/2024,02/20/2024"
Viewing Geometry,
Other Information,"Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,20,50,30 integration times; 100,100 scans averaged"
Composition,
Resolution,2.8nm@700nm 8nm@1500nm 6nm@2100nm
Grain Size,
Locality,
Database of Origin,ExoMars Mission Reference Samples
Wavelength,Response
1326.0,0.34347099999999997
1327.0,0.34371899999999994
1328.0,0.343934
1329.0,0.34411200000000003
1330.0,0.344285
1331.0,0.344486
1332.0,0.344718
1333.0,0.34496699999999997
1334.0,0.34523899999999996
1335.0,0.34554
1336.0,0.345882
1337.0,0.34625100000000003
1338.0,0.346624
1339.0,0.346982
1340.0,0.347337
1341.0,0.347688
1342.0,0.348022
1343.0,0.348332
1344.0,0.348624
1345.0,0.348898
1346.0,0.34915100000000004
1347.0,0.349377
1348.0,0.349576
1349.0,0.34976199999999996
1350.0,0.349947
1351.0,0.350126
1352.0,0.35029899999999997
1353.0,0.350476
1354.0,0.35066899999999995
1355.0,0.350879
1356.0,0.351097
1357.0,0.35131799999999996
1358.0,0.35153599999999996
1359.0,0.351754
1360.0,0.351974
1361.0,0.352195
1362.0,0.35242199999999996
1363.0,0.352657
1364.0,0.352889
1365.0,0.353103
1366.0,0.35330100000000003
1367.0,0.353487
1368.0,0.353647
1369.0,0.353765
1370.0,0.353846
1371.0,0.353893
1372.0,0.35389899999999996
1373.0,0.353861
1374.0,0.353781
1375.0,0.35365900000000006
1376.0,0.35348999999999997
1377.0,0.353269
1378.0,0.35298900000000005
1379.0,0.35267000000000004
1380.0,0.352332
1381.0,0.35198599999999997
1382.0,0.351619
1383.0,0.351233
1384.0,0.35083
1385.0,0.350413
1386.0,0.34997999999999996
1387.0,0.34952500000000003
1388.0,0.349039
1389.0,0.34852400000000006
1390.0,0.347983
1391.0,0.34741700000000003
1392.0,0.346824
1393.0,0.346191
1394.0,0.345539
1395.0,0.344892
1396.0,0.34427
