,CAGR01 Calcite.,F1CC06B Magnesite.,HS433 Halite.,LAZE03 Prehnite.,bkr1jb329c Siliceous-sinter.,GDS26 Epidote.,GDS1 Analcime.,NBPP22 Clinopyroxene.,LAPP47B Orthopyroxene.,LAPO05 Fayalite.,LASC02 Forsterite.,GDS27 Hematite.,NCLS04 Plagioclase.,LACL14 Chlorite.,LAKA04 Kaolinite.,LAIL02 Illite.,GDS106 Margarite.,c1cy29 Vermiculite.,LALZ01 Serpentine.,LAMO02 Montmorillonite.,NCJB26 Nontronite.,LASA58 Saponite.,GDS23 Talc.,F1CC08B Alunite.,GDS145 Bassanite.,LASF41A Gypsum.,LASF21A Jarosite.,F1CC15 Kieserite.,799F366 Mg-sulphate.
2000.48893957,0.9901244222196358,0.8909910483119904,0.9700405543204967,0.9922841705652305,0.8004578080823581,0.9991915890339108,0.8801467959748994,0.8195966417759495,0.38222234147580686,0.9904944117860996,1.0,0.9651130084883147,0.9691167678850261,0.9672786231390388,0.9857477390555456,0.9773589198832782,0.9749526154180269,0.8697004616506823,0.9523390160080907,0.9176187763514073,0.9477447987992801,0.784832335394489,0.9662083887276911,0.8689989575254228,0.857292659108096,0.7225037023434862,0.9899732752967909,0.42713726818595216,0.7981642263489012
2009.39924527,0.9825437822589155,0.8898693983202325,0.9705505275058048,0.9843411550375879,0.8217232006430667,1.0,0.9107441369163722,0.8178695795770511,0.3928363156179125,0.9894408290316308,0.9906978410046077,0.9625461424940955,0.9751549025835344,0.9680109764559044,0.9944721402207125,0.9795987930883283,0.9770167237706209,0.8710618544223737,0.957456009172597,0.9327441555426147,0.9499702503782947,0.8082587624363111,0.9750755723771114,0.8565491966511142,0.892236255567866,0.7982283428253591,1.0,0.4276729467736164,0.8087088799930082
2018.31023493,0.9871133079041594,0.8928618651607517,0.9728439832574131,0.9986883590692424,0.8525182934255415,0.9944985168877543,0.919454868623329,0.8106831003389978,0.39988127791291017,1.0,0.9795108660761821,0.9606560487327809,0.9759168393386957,0.9773339092586347,0.9973912405153025,0.9802578929547852,0.9758438420161291,0.8919891419011001,0.9582702613559514,0.9402652833405423,0.9617549419092212,0.8330003849222781,0.9810434080226442,0.8535342655978247,0.931067090203346,0.84751361834757,0.9943342106897358,0.42392016380633096,0.8374221501138206
2027.22190266,0.9941662700489264,0.8882360550820136,0.9758492276261175,0.9933142629404487,0.8709344024171249,1.0,0.9289966986759277,0.8040598899095707,0.412970519209921,0.991747496229541,0.9897215892910436,0.9704426099648871,0.970640456599436,0.9751282280841616,0.9992446887521913,0.9817415919455016,0.9811510992290615,0.8973127095293322,0.9720546548490344,0.9508889390582642,0.9686368541678657,0.8558596172176554,0.9959880259169855,0.8552731347645227,0.9496537821663195,0.8834396824302607,0.9890562938720071,0.41096852677055257,0.8438496339037338
2036.13424266,0.981314571646933,0.8987847452306567,0.9786994577576216,0.9933273856531213,0.8839651647096028,0.994142514980384,0.9394104654790892,0.7918073021352178,0.41993677725383044,0.9951246159176025,0.9889988456299412,0.9692065362189382,0.9738236951952156,0.9855824116334128,1.0,0.9920072494025287,0.9889837747974052,0.9075058044017285,0.976958306782215,0.9571359598647344,0.9724632901088298,0.8732941934188325,0.9962459280956125,0.8456546762842925,0.9623092165767098,0.9083046611724388,0.9951946271747611,0.3978464033849769,0.8593307277489404
2045.04724919,0.9981326438019579,0.9019454611724754,0.9804126669141724,0.9967156874150626,0.9011171985402283,0.9986158380079571,0.9455874379919753,0.7874809227541316,0.43423617858101743,0.99117362767009,0.9839090331151155,0.9769596722197486,0.9739760698004427,0.9877619243188589,0.9985026972601331,0.9874933406003114,0.996874898275212,0.9188987569953617,0.9776626586204511,0.9750951456077122,0.9833609467055139,0.8854869975496973,1.0,0.8415067509064103,0.9717451792699319,0.9302224273250335,0.9826315490078639,0.3846053171147179,0.8753512756116366
2053.96130725,0.9944367047397901,0.9081177325024159,0.9840680672831201,0.9853680295002638,0.9170540911264119,0.9998239875785817,0.9602316640054054,0.7811399926909506,0.4413067617915295,0.9863306717988398,0.9936665291522491,0.9747855575928931,0.9727907513321836,0.9945141917749565,0.9921561902598012,1.0,0.9986148152004466,0.9278691117718203,0.9800190869144008,0.9758219644736096,0.9756616130723103,0.899945738524633,0.9890150651886196,0.8335528554594211,0.9839366666080165,0.9461407711189085,0.9750086537146024,0.3722958896394794,0.8835006593172315
2062.87694233,0.9918871385797879,0.9130358008439183,0.9835903055370296,1.0,0.9304621033455235,0.9981854720106642,0.9612547745017641,0.7791918754273103,0.45462530844407884,0.9907915234674796,0.9866962435048803,0.9757983719362785,0.9630928249702478,0.9951524473712827,1.0,0.9929057198242439,0.9965748469348436,0.9311119700178612,0.9805058624550759,0.9863078885794376,0.9881112762678151,0.906650273175103,0.9725563645302814,0.827901822143245,0.9803912483149286,0.9584620109703978,0.9823727307633603,0.3681142460486595,0.9023898321859724
2071.79414164,0.9931653953631415,0.9119656676925924,0.9816731593729799,0.9985050065439893,0.9461122558380345,0.9911552827080028,0.9618794955387031,0.7700362046039239,0.46756284672569653,0.9957561250329008,0.9886514553673645,0.9796231442583989,0.9689343627060945,0.9895565059343152,0.9932510766921511,0.9949297515327722,0.9980700009492871,0.9399287539046619,0.9923198341342347,0.9823286160660528,0.9865685180835809,0.9244697965272389,0.9591619250495896,0.8265459547552445,0.9816823192706589,0.9628306527961709,0.9864339299832589,0.36502549183997895,0.9011505518575744
2080.71289251,0.9882049855501064,0.9231785899047724,0.9898231534049907,0.9960348160737128,0.9532810798596941,1.0,0.9666790030590969,0.7612571414782631,0.4782994799093359,0.9933283672143732,0.9870765842054703,0.9857826645022463,0.9685993188073112,0.9914121617174905,0.9827317542612002,0.9958970178985165,0.9941773744543819,0.9420280163271404,1.0,0.992224276529399,0.9901508813378591,0.9274388466405448,0.949255758839966,0.828503424439043,0.9842589107148498,0.9643635907207987,0.9836967438964819,0.3672348256121197,0.9158960732435478
2089.63318245,0.990687743175681,0.9273855867127018,0.9871572710348283,0.9990187022281722,0.9681107559351424,0.9937498955012471,0.9653807334232893,0.7583224756448917,0.4920357935436607,0.9893220763492342,0.9882858736767304,0.9862801765154062,0.9680384235340534,0.9973665141891901,0.9850290630583691,0.9947989218728823,1.0,0.9442511519944691,0.9891492939946985,0.9803312314516653,0.994131458923166,0.9242586338308326,0.9522852154161459,0.8164471172153128,0.9777198198733594,0.9682356323079095,0.9808223798905671,0.3693189269737214,0.9231593355440308
