,CAGR01 Calcite,F1CC06B Magnesite,HS433 Halite,LAZE03 Prehnite,bkr1jb329c Siliceous-sinter,GDS26 Epidote,GDS1 Analcime,NBPP22 Clinopyroxene,LAPP47B Orthopyroxene,LAPO05 Fayalite,LASC02 Forsterite,GDS27 Hematite,NCLS04 Plagioclase,LACL14 Chlorite,LAKA04 Kaolinite,LAIL02 Illite,GDS106 Margarite,c1cy29 Vermiculite,LALZ01 Serpentine,LAMO02 Montmorillonite,NCJB26 Nontronite,LASA58 Saponite,GDS23 Talc,F1CC08B Alunite,GDS145 Bassanite,LASF41A Gypsum,LASF21A Jarosite,F1CC15 Kieserite,799F366 Mg-sulphate
1605.08474557,0.9994259655911267,0.980794297997922,0.9966034488796934,0.9984739675587341,0.9828465339256821,0.9077187405661767,0.9912730337146746,0.9999952833009459,0.5135619153412473,0.9241207820289801,0.9850636014014128,0.9997353558206407,0.971358328196776,0.9995972132316957,0.9998301789659043,0.9994311284572122,0.9968194214008265,0.9860512412433468,0.999745367368948,0.9989599770778157,0.990266419989097,0.9844149130396461,0.9964934046294194,0.9886640029789171,0.9863633179469105,0.9520404414869436,0.9942091209570147,0.630936207870059,0.9756549513516548
1611.18383758,0.9991811060499999,0.9824856164184634,0.996681029493992,0.999007530280086,0.9852755028210759,0.911521950969583,0.9936613610582615,1.0,0.5039684253529118,0.9292554644738121,0.9880914996430961,1.0,0.9729705549356898,0.999633912626319,1.0,1.0,0.9977441340427717,0.9872334913556597,1.0,0.9994089209882848,0.9913064456931817,0.9865909739175973,0.9969531970496736,0.9898359338015261,0.9890832920526328,0.9597197117008003,0.9958346148464612,0.630856880262091,0.9779564149066065
1617.31109985,0.9989434000632614,0.984118879938933,0.9973070445736515,0.9993458162542713,0.9875221239622262,0.9146419372837848,0.9960790827714989,1.0,0.4948425825791759,0.9344816550699683,0.9905583271765581,0.999990260092694,0.9741201095201649,0.9995572665089923,0.9999041897727547,1.0,0.9987763814485878,0.9881826203936692,1.0,0.9991243241695908,0.9923017229290518,0.9890774026371132,0.9971265039745472,0.9914188416855696,0.9916207864536727,0.9669573668343334,0.9971432829403596,0.6318241919345118,0.9802133902979759
1623.47024896,0.9989887217714263,0.985492168293332,0.9976474240276814,0.9993765237688946,0.9896617315476797,0.9175712346625601,0.997922042495797,0.9997738359790459,0.48585262766965764,0.9395050841796625,0.9925434921970647,0.9995276537386286,0.974682916848436,0.9995450793528722,0.999533663436894,0.9996571858017752,0.9995229660682569,0.9888112523509881,0.9997308331566561,0.9983385134727605,0.9929760718215029,0.9915002619621817,0.9972315511440105,0.9926479732662705,0.994100839460036,0.9732930373475835,0.9981630287077337,0.6338734105773427,0.9824265245010709
1629.66154068,0.9990081572169939,0.9865725262721751,0.9975200597217887,0.9994506884575295,0.9916518652289293,0.9207962335197858,0.9990719526687669,0.9994973878623625,0.47727650700064456,0.9441583277789207,0.9944663180605987,0.999074355342771,0.9751089458617369,0.9996962783384841,0.9993200617406215,0.9994843674081945,0.9999820177054192,0.9895428824477,0.9997006151410021,0.9979810370187916,0.9936163445091448,0.993626299439291,0.9972567728049118,0.9935882712308259,0.996423569349765,0.9792583478337864,0.9988540875193828,0.6368980293625867,0.9845568539728471
1635.88523392,0.9994814791905275,0.9872940186214658,0.9969874958814018,0.999713761404192,0.9934373301619915,0.9239391997836806,0.9997983765191628,0.9995328310371233,0.4689988355089131,0.9490136985260196,0.9962865444155313,0.9989258548673441,0.9755027239541179,0.9998625702287639,0.9994064453273808,0.9998900204950435,1.0,0.9905183907937063,0.9998496483786898,0.9982606100923541,0.9944704463519246,0.99602350100755,0.9972455323908335,0.9944811880093496,0.9983010681251119,0.9849995175816472,0.9993899092217484,0.6411830387375745,0.9865477231529048
1642.14159076,1.0,0.9877745559403479,0.9961818367062117,0.9999494728920519,0.9948958878681774,0.9269693901188968,1.0,0.9998757415817089,0.4610590412642117,0.9535624670921461,0.9975606715808177,0.9988890924305802,0.9759477189797997,1.0,0.999779056502088,1.0,0.9999020292829977,0.9913370557232262,1.0,0.998473308359572,0.9953824644942592,0.9979542302183977,0.9973207463341461,0.9951240464317836,0.9993873742173854,0.990055532761922,1.0,0.6464650545419092,0.9883920566661085
1648.57498892,1.0,0.9885103199194489,0.9958958591464768,1.0,0.9961134469160645,0.9302025354649973,1.0,1.0,0.45332791118629584,0.9577423311751149,0.9986164174969934,0.9988629086012242,0.9764060269450381,1.0,0.9997740701560396,1.0,0.9999719016456527,0.992250925669423,1.0,0.9985259588469177,0.9959415804351724,0.9993933379339687,0.9973591242289761,0.994917765970802,1.0,0.9940534802400377,1.0,0.6515677309981229,0.990125499014845
1655.33520858,0.9997969049375228,0.9891796867368052,0.9961256150670015,1.0,0.9971691225650752,0.9332240448966623,1.0,0.9999963628975959,0.44557716856210083,0.962764181156878,0.9991759190104615,0.9987105753963466,0.9770690227986316,1.0,1.0,0.9996880953438886,1.0,0.9934565108672794,0.9999095448350288,0.9989350892195313,0.9965141124363845,0.9998752710677355,0.9973964419202751,0.9940230144451033,1.0,0.9972693769531679,0.9995957382166539,0.6558456127430855,0.9916480409670909
1662.47344048,0.9993748573920678,0.9896322148119806,0.9967788763082128,0.9996810579697869,0.9980317679056235,0.935608313778469,1.0,0.9996735553872805,0.4375560487650012,0.967838023000058,0.9995960357833752,0.9981739539179598,0.9776480269729817,1.0,0.9999483197268306,0.9989976831201288,0.9999226673998083,0.9946450559532873,0.9999121936874342,0.9995483999979179,0.9971103109524132,1.0,0.997361770499658,0.99228816339317,0.9999973403542346,0.9994289729732998,0.9985385766038085,0.6595352927027506,0.9928857636678804
1670.05561049,0.9993612336606121,0.9902406262188921,0.9973831515404911,0.9994597207634057,0.9986898084400068,0.9374363827614395,0.9994953681926169,0.9994576328683782,0.4291903663364706,0.9719722700165151,1.0,0.9974383323786894,0.9782545776134296,0.9997720445815812,0.9992612479215746,0.9980346174205295,0.9993826543603919,0.9954705908460911,0.999870240581818,0.999977290482201,0.9975091481970577,1.0,0.9967302555728307,0.9891574221334953,0.9989296692736188,1.0,0.9976131304189241,0.6631445519953274,0.9937288633587409
1678.16902352,0.9995217153450502,0.990748014370235,0.9968592121252468,0.9995372704868573,0.9993052005995251,0.9398253984554992,0.9981877054995256,0.999009519439187,0.4200455269781024,0.9759301729196606,1.0,0.9968418554135574,0.9794781664289586,0.9996615070517527,0.9994785967447378,0.9977450144620815,0.9988892811213804,0.99626583796681,0.9999374221494464,1.0,0.9979492560188438,1.0,0.9962754173062911,0.9852437602688876,0.9980693510844205,1.0,0.9976824570326391,0.6666458428223463,0.9943818767230611
1686.55255666,0.9995250224011714,0.9912459619803562,0.9961320666101758,0.9997159582966771,0.9998234807311124,0.9444708004488043,0.9967714144926508,0.9984482823804853,0.4108686096092518,0.9796319571808776,1.0,0.9974159412155017,0.9804053542804709,0.9997785544775082,0.9996361663289465,0.9980326008447535,0.9992338311495809,0.997178549622115,1.0,1.0,0.9984758110589457,1.0,0.9971921295983944,0.9808742966289032,0.9971177035055594,0.9988194846538166,0.9983887783193137,0.6701252238265701,0.9947076175696167
1694.9652068,0.9997653581299845,0.991807100018911,0.9962353728506136,0.9998359842353848,1.0,0.9510686759433596,0.9944254089522859,0.9977266338609198,0.4024003433969529,0.9830005778720845,1.0,0.9989730251600888,0.9812077032758626,1.0,0.9998583135214614,0.9986337046655267,1.0,0.9979880439727198,1.0,1.0,0.9991236504149014,1.0,0.9993611092029939,0.9758974062634556,0.9950397931492728,0.9938771115541994,0.999034416966897,0.673694546111949,0.9946049490998261
1703.40698655,1.0,0.9927698675840638,0.997180315823445,0.999984326276703,1.0,0.9557021018904769,0.9904177303347023,0.9967963979963702,0.39477471324713714,0.9861979651867204,1.0,1.0,0.9821628207967129,1.0,1.0,0.9994524089219866,1.0,0.998707384319796,1.0,1.0,0.9998590873902643,1.0,1.0,0.9694004541070201,0.9909780546478016,0.984386003969195,0.9997530132623904,0.6776139514993919,0.9944306879475662
1711.87790799,1.0,0.9936671578910232,0.9981112502265661,1.0,1.0,0.9585649028708148,0.9836067405748986,0.9955586022765727,0.38741390896890093,0.9891938203293265,1.0,1.0,0.9827467126902648,1.0,1.0,0.9999156413435055,0.9998856320698803,0.9993786787516011,0.9998690193867358,1.0,1.0,0.9990247664646641,0.9989504206690997,0.9594728385052108,0.9846685663561414,0.9705451022060072,1.0,0.6824227208101414,0.9944725306094092
1720.37798277,1.0,0.9944524170603553,0.9987297576235632,0.9998047974655635,1.0,0.9621332714370617,0.9742675621786587,0.9940304299015363,0.3803067572676835,0.9918487236220979,1.0,0.998839381536633,0.9830456378489847,0.9998169803427158,1.0,1.0,0.9994399505603742,1.0,0.9998791800100139,1.0,1.0,0.9971846890445538,0.9976531727083217,0.9442617878642209,0.976388997176178,0.9531151440942284,1.0,0.6888528289121301,0.9946507172080599
