Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),RELAB,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
Reflectance,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
1011.69608192,0.8834122071703736,0.9012187726718883,0.9010125945081421,0.7355492127866717,0.563811073101569,0.22986363595675416,0.8924515972677386,0.14419149943604312,0.2700736354608196,0.19590628264785592,0.21327703595303282,0.41410446112199645,0.31367092999745694,0.3008649954912265,0.9367944701060739,0.4469291082951208,0.4182142848885268,0.7491919454036905,0.42287883590187714,0.5882020293923698,0.40395777907244446,0.9042313125303757,0.5760480180761094,0.8603562404798034,0.9149609812207574,0.930041286515483,0.4674076460097311,0.8391489057480873,0.9283909790665754
1016.76241755,0.8834422959032203,0.9015533404321202,0.9013761361573549,0.7356086481609823,0.5636405761314208,0.2299498282163102,0.8945981705685918,0.14409056565201497,0.2871242153086632,0.19504150414850469,0.2100755753849928,0.4238330364718488,0.3126412574753116,0.3012567136505066,0.9373160000940277,0.44727349038268777,0.4181866843141553,0.7492979598431824,0.42357139114137293,0.5882676118719898,0.40629187459223187,0.905254347742365,0.5764904567570249,0.8641967630493431,0.9157969550243603,0.9315309239399552,0.4730487539623693,0.838910276986724,0.930168814231494
1021.85810749,0.8837310324111651,0.9016484787806549,0.9011333978880336,0.7358269166252287,0.5635632794914666,0.23018894178232252,0.8961985338239294,0.1443003248366595,0.3049523116042207,0.19419867299241458,0.2070629434924035,0.43335659764583706,0.31163988357154765,0.3015476673269832,0.9380169693429328,0.44740389395661545,0.4184518139841593,0.7495070762989703,0.4244151717058197,0.5885474866933441,0.4088191160082683,0.9058310594030596,0.577078885820167,0.8687423595532977,0.9165464557954273,0.932726088835846,0.4789177519880591,0.8389173968661335,0.931970419728005
1026.97288016,0.884027718740828,0.9017248973006969,0.9003746609933637,0.7362156059867663,0.5633022288921594,0.23034999561353886,0.8971479574607428,0.14479016889722718,0.3232156695961773,0.19341471763772286,0.20442158509318112,0.4425449924911613,0.3106141035695854,0.30174821193377444,0.9385631792291215,0.44748424815661314,0.4188093465320321,0.7497799892346407,0.4251205818823722,0.589173430220417,0.4114801145781287,0.9062768625347939,0.5779938801228849,0.8732684639412537,0.9171941488832441,0.9342943477990352,0.48512553947430154,0.8392843325387911,0.9338810231455765
1032.10649695,0.8841048654761742,0.9018711891977705,0.8999374100788494,0.7364888853334655,0.5630301650956601,0.23070510817422044,0.8973123758282141,0.14560098410886502,0.34194731347934876,0.19255271640604613,0.20235324461399523,0.45141136479662425,0.3096634072748357,0.3018805551219117,0.9392018608489879,0.44775882306624654,0.41884691048336253,0.7502872467890424,0.42541578983069395,0.5898894253342091,0.41416177175490887,0.907066169418144,0.5791078259577743,0.8765870395989578,0.9177448944976591,0.9359990430201238,0.49169445214118773,0.8398275535855491,0.9357508585403134
1037.25897753,0.884092992080045,0.9019821594022241,0.9001974697729159,0.736602727147631,0.562958005722904,0.23122425363483137,0.897192680557586,0.14675627400910463,0.36115816832636066,0.1916909618746752,0.20083859435515589,0.45983589110937245,0.30870802873688835,0.3020286162741732,0.9396524623867192,0.44808559482367843,0.41873408169168447,0.7509529773781932,0.4255906261897057,0.5906118882624962,0.41698713023796974,0.9076864878727882,0.5805010746138433,0.8788780235150638,0.9182417035932464,0.937361711265601,0.4984636998661241,0.8404607168756032,0.93755577556504
1042.4303413,0.8838439025363599,0.9021867264721849,0.9007824089502162,0.7367248753098744,0.5628400905017904,0.23182176275750357,0.8975681758804976,0.1482048842012511,0.38050782796007393,0.1910754943186731,0.1996730031231901,0.4678630020800684,0.3076782587960095,0.302189033109415,0.940127337404803,0.4481818120036994,0.41875463000465046,0.7517168490235006,0.425907041380189,0.5909842227617825,0.41990421939023764,0.908088544605414,0.5820221344378516,0.8805704000110562,0.9186264363535127,0.9386403969784861,0.5053797642200641,0.841232372028066,0.9392923892334576
1047.62060737,0.8836173808335391,0.9023127193354761,0.9009683158505792,0.7368595554746297,0.5625785727070138,0.23263268953870575,0.8979516166891643,0.1499390199192187,0.39974969120742254,0.19049688522398497,0.1988203340532645,0.4756118506452127,0.30667049243611394,0.302427699576467,0.9405710324711665,0.4482175875729461,0.4189232365996744,0.7525111818061612,0.42602653494133363,0.590899200555688,0.42286966102216733,0.9086114227486114,0.583200682828791,0.8818296218281171,0.9188334102983415,0.939465386126683,0.5124722226843131,0.8421966164766307,0.9408005701839681
1052.82979459,0.8836253674737813,0.902331838351183,0.9008923650096642,0.7369280762069933,0.5623127090412878,0.23372244786945984,0.8976807556372832,0.15199931106492512,0.4186719926183261,0.1899167949817205,0.19842996785629038,0.48300585861850737,0.30576426420441,0.3025762427253011,0.9409667397928327,0.4481098781338385,0.4190569232183244,0.7534264136872193,0.4259444521526405,0.5907482928755575,0.42592612081516984,0.9090658644754623,0.5839618072406235,0.8827276941641776,0.9187837902823492,0.9398862290694904,0.5194502868428016,0.843376861030921,0.9419952314939708
1058.05208946,0.8833996756030162,0.9024801343505494,0.9012887143739416,0.7370767574193431,0.5619254117531011,0.23498153236385808,0.8971743309339503,0.15443147030477114,0.4370384836900241,0.1894633053484914,0.1983898575200478,0.49052141670096644,0.30493462490555495,0.302497282274134,0.9413208835118929,0.4480234077903857,0.41909988811391446,0.7544922636095491,0.4262317841566855,0.5911062619837915,0.42899974050813067,0.9094944310525935,0.5849411681639156,0.8833774935214225,0.9186838187980632,0.9401581102488793,0.5265404577597401,0.8446725004287782,0.9428855949904021
