Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),RELAB,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
Reflectance,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
2116.41133382,0.8792429243231836,0.6880372538205028,0.9062304378214562,0.7175855991388584,0.3511214752645922,0.6611735165950714,0.6889827843732589,0.3238405323057958,0.31674108550927826,0.4352377561166946,0.7544778842567043,0.8182872751534215,0.33603849548204295,0.48364200755474895,0.7644470380224035,0.6540523437570953,0.544224500952232,0.6054148359321997,0.49525380193995266,0.5918911954097116,0.5118068098462761,0.6862211448890498,0.5532351040292697,0.4134248209343144,0.6400252591674427,0.6643967973939454,0.7761054495724864,0.16333936293659132,0.6976532991786417
2125.37093026,0.8692506992868673,0.6857865570421208,0.9000336487500875,0.7122331575457134,0.34875449385184837,0.6619362756491685,0.6913306509932036,0.32257164216855033,0.3249655198480813,0.43850627330876385,0.7601895852948715,0.8171990422295132,0.3355568107420013,0.48419407570571377,0.7563782316531554,0.6536598923745481,0.5367845233616917,0.6053583077614665,0.4936087097651865,0.5903616128010651,0.5067877739219062,0.684171653861697,0.5434674213698388,0.3843211336538594,0.6382673663011716,0.6491388159394351,0.772212467910933,0.16369531370241755,0.7027878403621198
2134.35713173,0.8655808920960346,0.6889162184968682,0.9027561583253443,0.7197440074298466,0.3489181850083056,0.6626630174871485,0.6896817534558781,0.32017026384528974,0.33416738917141386,0.43773312067556136,0.7603853361897169,0.8240521209960184,0.3347967549178416,0.48120251741709985,0.7344910102780461,0.6575945361321951,0.5187032737410806,0.6115889802170424,0.49427949534798005,0.5909667048073766,0.5058603960848872,0.6860704494337525,0.5438661432213759,0.36287921668209394,0.6364611572140851,0.6448951196829904,0.7656486205061233,0.16653903293770467,0.7054261655588692
2143.36995005,0.8638027955755416,0.6948207968811492,0.9096583425686335,0.7131643056088879,0.3480336848232054,0.6557666278032277,0.6845539720792886,0.320108342817468,0.34171572175101855,0.43527669431752647,0.7522837546923441,0.8201600359737914,0.33521043715760906,0.48469731678867806,0.7019725684741696,0.6606716187308757,0.5060663368608508,0.6144961551948738,0.49310143555417074,0.594603433022093,0.5082153931598137,0.688469887434816,0.5449377572687155,0.3401600257033535,0.6377056355937151,0.6373607901438134,0.7586579438833323,0.1733388052965987,0.7110792166831627
2152.40939672,0.8607122951311397,0.6951341766361223,0.9038268491046566,0.7105116761389147,0.3429158487096872,0.6540835272887094,0.6841242924380552,0.31595050383243517,0.3539202295752301,0.4369948513101037,0.7531358216407602,0.8271136964067525,0.33652820225191166,0.4833979614892289,0.6639236962929057,0.6537269163341771,0.48693515665879655,0.6146824629865371,0.4938171578384541,0.5857855174180807,0.5097265557253706,0.6863602772055266,0.5429580842029395,0.32378364870835635,0.6334721156522142,0.6336946777876288,0.7549129841122916,0.1871063482681009,0.7110142626267183
2161.47548295,0.8633000346471625,0.6989764092711503,0.9041967007757721,0.7050493340454312,0.3363673387761772,0.6478961601113293,0.6870673781464127,0.31490537671173385,0.358060308205759,0.43696176814730264,0.7543089203942961,0.8225816228706662,0.3346294680097619,0.47907609989367383,0.6347126299773692,0.6536749436670406,0.4706518956173758,0.6183469199412468,0.4972891866821515,0.5834129874098529,0.5100259343492859,0.6873386000223495,0.5479602759882714,0.31108689522852506,0.6278413579558858,0.620773568596387,0.7528873402238287,0.2078110064945122,0.7083424336989832
2170.56821963,0.8650730015619703,0.6986790198998989,0.9047910552839222,0.7045706210665488,0.32881116928549703,0.6378420464930996,0.6861660238128365,0.31416564066595154,0.3692233318305583,0.4362743741202604,0.759886265388087,0.8182089364091092,0.3347841303421128,0.4847007624612446,0.6130017219120567,0.6525120760567825,0.4497865792425053,0.6182930034921684,0.49737893720957604,0.5676751445810628,0.5057789579727051,0.6923219008108643,0.5401251916109222,0.3087132944443983,0.6293213334991565,0.6126510525274805,0.7424115539074572,0.22734850217710723,0.7103495232084229
2179.68761735,0.8639709271634943,0.703907854106145,0.9100223666729947,0.7012712489660126,0.31871130806629056,0.6293742502811186,0.6896072630995891,0.3126041586473481,0.37752628254024334,0.43575999837300944,0.7550250616002114,0.8214204923612471,0.3377340692636893,0.47882094030554045,0.6076756744778995,0.6389176578703345,0.42809423786218986,0.6183652357164865,0.49445890746213356,0.5645924070661025,0.5046690561998346,0.6891761269944565,0.5414199701407075,0.3138195614907337,0.6188338872518709,0.6082213009537342,0.7337049849103618,0.24852676411134905,0.7154102449033984
2188.8336864,0.867383180408297,0.7001227308053664,0.9063012234383678,0.6970808014262218,0.3110560433417114,0.6179435718096,0.6892039683590945,0.30953332047699994,0.38611132705538137,0.43276555543150963,0.7541746584343234,0.8169226946295539,0.3360303782463015,0.4760573314164027,0.5990415811860467,0.6318276119403111,0.40041149473952276,0.6149920410711536,0.49436391221773024,0.5452101498967263,0.5024298448408545,0.6942618263462802,0.5447460027403948,0.32713648167923987,0.6153238696641644,0.6033020764704864,0.7262539561635986,0.2618192136674354,0.7154948914227259
2198.00643675,0.8626144550871111,0.6939122402637865,0.9087537795541069,0.6845036075487112,0.3049716640634039,0.6055123555388171,0.6905495859892534,0.3081312348630826,0.3933796086502001,0.4351548624296535,0.7558821928069073,0.8089017380075441,0.3394186822939994,0.47619097839194585,0.5830797643772233,0.620701796081842,0.37578424753516215,0.6126163557024282,0.4927729017889617,0.5328223263202564,0.4970527074826989,0.687639314582783,0.5437439377957018,0.3505671516859862,0.6057240668184217,0.5903540600173933,0.7171590987287229,0.27178614805287893,0.7162781969524723
