Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
1760.0,0.4247399866580963,0.20638899505138397,0.4137890040874481,0.73294,0.8334198594093323,0.33427301049232483,0.5884919762611389,0.7401856184005737,0.7497105598449707,0.8725529909133911,0.4288580119609833,0.8155093193054199,0.4660559892654419,0.9190220236778259,0.6457980275154114,0.573879063129425,0.5310969948768616,0.6357370018959045,0.5195730924606323,0.8184689879417419,0.6767556071281433,0.8947790265083313,0.8120729923248291,0.9118763208389282,0.7351430058479309,0.44820499420166016,0.5557659864425659,0.7386635541915894
1761.0,0.42469618916511537,0.20594819486141205,0.4140340030193329,0.733141,0.8332581281661987,0.33427680730819703,0.586913776397705,0.7391554594039917,0.7510601878166199,0.8724223971366882,0.42942500710487364,0.8154536366462708,0.4659029901027679,0.9186540246009827,0.6459546208381652,0.5738413333892822,0.531017792224884,0.6353294014930725,0.5198885083198548,0.8176593899726867,0.6764809608459472,0.8945830225944519,0.811982798576355,0.9115840554237366,0.7351622104644775,0.44783432483673097,0.5562836050987243,0.7350651621818542
1762.0,0.4246523916721344,0.20550739467144014,0.41427900195121764,0.733342,0.8330963969230651,0.33428060412406924,0.5853355765342713,0.7381253004074096,0.752409815788269,0.8722918033599854,0.42999200224876405,0.8153979539871216,0.465749990940094,0.9182860255241394,0.6461112141609192,0.5738036036491394,0.5309385895729065,0.6349218010902404,0.5202039241790771,0.8168497920036316,0.6762063145637512,0.8943870186805725,0.8118926048278808,0.9112917900085449,0.7351814150810242,0.4474636554718018,0.5568012237548828,0.7314667701721191
1763.0,0.4246085941791534,0.2050665944814682,0.41452400088310243,0.733543,0.8329346656799317,0.3342844009399414,0.5837573766708374,0.7370951414108277,0.7537594437599182,0.8721612095832825,0.4305589973926544,0.8153422713279724,0.46559699177742003,0.9179180264472961,0.6462678074836731,0.5737658739089966,0.5308593869209289,0.6345142006874085,0.5205193400382996,0.8160401940345764,0.6759316682815552,0.8941910147666932,0.8118024110794068,0.9109995245933533,0.7352006196975708,0.44709298610687254,0.5573188424110412,0.727868378162384
1764.0,0.4245647966861725,0.20462579429149627,0.41476899981498716,0.733744,0.8327729344367981,0.3342881977558136,0.5821791768074036,0.7360649824142456,0.7551090717315674,0.8720306158065796,0.4311259925365448,0.8152865886688232,0.4654439926147461,0.9175500273704529,0.646424400806427,0.5737281441688538,0.5307801842689515,0.6341066002845764,0.5208347558975219,0.8152305960655213,0.6756570219993592,0.8939950108528137,0.8117122173309326,0.9107072591781616,0.7352198243141175,0.44672231674194335,0.5578364610671998,0.7242699861526489
1765.0,0.42452099919319153,0.20418499410152435,0.41501399874687195,0.733945,0.8326112031936646,0.3342919945716858,0.5806009769439697,0.7350348234176636,0.7564586997032166,0.8719000220298767,0.4316929876804352,0.8152309060096741,0.46529099345207214,0.9171820282936096,0.6465809941291809,0.5736904144287109,0.5307009816169739,0.6336989998817444,0.5211501717567444,0.8144209980964661,0.6753823757171631,0.8937990069389343,0.8116220235824585,0.91041499376297,0.7352390289306641,0.44635164737701416,0.5583540797233582,0.7206715941429138
1766.0,0.4242896020412445,0.20391199588775635,0.4153623998165131,0.7339664,0.8326210737228393,0.3342329978942871,0.5805363774299621,0.7346956253051757,0.7570425510406494,0.8716100215911865,0.43208839297294616,0.8151516675949096,0.46554959416389463,0.9167230248451232,0.6466133952140808,0.573759937286377,0.5306013822555542,0.6336472034454346,0.5212141394615173,0.8139155983924866,0.6750946760177612,0.8939288020133972,0.8115906238555908,0.9103534817695618,0.7351978182792663,0.44601731896400454,0.5585272073745727,0.7172996759414673
1767.0,0.42405820488929746,0.20363899767398835,0.4157108008861542,0.7339878,0.8326309442520141,0.33417400121688845,0.5804717779159546,0.734356427192688,0.7576264023780823,0.8713200211524963,0.43248379826545713,0.8150724291801452,0.4658081948757172,0.916264021396637,0.6466457962989807,0.573829460144043,0.5305017828941345,0.6335954070091248,0.5212781071662903,0.8134101986885071,0.6748069763183594,0.8940585970878601,0.8115592241287232,0.9102919697761536,0.7351566076278686,0.44568299055099486,0.5587003350257873,0.7139277577400207
1768.0,0.4238268077373505,0.20336599946022033,0.41605920195579527,0.7340092,0.832640814781189,0.3341150045394897,0.580407178401947,0.7340172290802002,0.7582102537155151,0.8710300207138062,0.43287920355796816,0.8149931907653809,0.46606679558753966,0.9158050179481506,0.6466781973838807,0.5738989830017089,0.5304021835327148,0.6335436105728149,0.5213420748710632,0.8129047989845276,0.6745192766189575,0.894188392162323,0.8115278244018554,0.9102304577827454,0.735115396976471,0.44534866213798524,0.558873462677002,0.7105558395385743
1769.0,0.42359541058540345,0.20309300124645233,0.4164076030254364,0.7340306,0.8326506853103638,0.33405600786209105,0.5803425788879395,0.7336780309677124,0.758794105052948,0.870740020275116,0.43327460885047914,0.8149139523506165,0.4663253962993622,0.9153460144996644,0.6467105984687805,0.573968505859375,0.5303025841712952,0.6334918141365051,0.5214060425758362,0.812399399280548,0.6742315769195557,0.8943181872367859,0.8114964246749878,0.9101689457893372,0.7350741863250733,0.44501433372497556,0.5590465903282166,0.7071839213371277
1770.0,0.4233640134334564,0.20282000303268433,0.4167560040950775,0.734052,0.8326605558395386,0.3339970111846924,0.5802779793739319,0.7333388328552246,0.7593779563903809,0.8704500198364258,0.4336700141429901,0.814834713935852,0.4665839970111847,0.914887011051178,0.6467429995536804,0.574038028717041,0.5302029848098755,0.6334400177001953,0.5214700102806091,0.8118939995765686,0.6739438772201538,0.8944479823112488,0.8114650249481201,0.910107433795929,0.7350329756736755,0.44468000531196594,0.5592197179794312,0.7038120031356812
1771.0,0.42322341203689573,0.20245500206947326,0.41681520342826844,0.7343196000000001,0.8327765464782715,0.3340310096740723,0.5830787777900696,0.733095896244049,0.7601057887077332,0.8702850103378296,0.43421621322631837,0.8147427439689636,0.466704398393631,0.9145496129989624,0.647052800655365,0.5741164803504943,0.5302243828773499,0.6332736134529113,0.5212606072425843,0.8109632015228272,0.673676872253418,0.8946555852890015,0.8111398220062256,0.9096890687942505,0.7350323796272278,0.4443613409996033,0.5596073150634766,0.7011762022972107
1772.0,0.4230828106403351,0.2020900011062622,0.4168744027614594,0.7345872,0.8328925371170044,0.33406500816345214,0.5858795762062072,0.7328529596328736,0.7608336210250854,0.8701200008392334,0.43476241230964663,0.8146507740020752,0.46682479977607727,0.9142122149467469,0.6473626017570495,0.5741949319839478,0.5302457809448242,0.6331072092056275,0.5210512042045593,0.8100324034690857,0.6734098672866822,0.8948631882667542,0.810814619064331,0.909270703792572,0.73503178358078,0.4440426766872406,0.559994912147522,0.6985404014587402
1773.0,0.4229422092437744,0.20172500014305114,0.41693360209465025,0.7348548,0.8330085277557373,0.33409900665283204,0.588680374622345,0.732610023021698,0.7615614533424377,0.8699549913406373,0.43530861139297483,0.8145588040351868,0.46694520115852356,0.9138748168945312,0.6476724028587342,0.5742733836174011,0.5302671790122986,0.6329408049583435,0.5208418011665344,0.8091016054153443,0.6731428623199462,0.8950707912445068,0.8104894161224365,0.9088523387908936,0.7350311875343323,0.4437240123748779,0.5603825092315674,0.6959046006202698
1774.0,0.42280160784721377,0.2013599991798401,0.4169928014278412,0.7351224,0.8331245183944702,0.3341330051422119,0.5914811730384827,0.7323670864105225,0.76228928565979,0.869789981842041,0.4358548104763031,0.8144668340682983,0.46706560254096985,0.9135374188423157,0.6479822039604187,0.5743518352508545,0.530288577079773,0.6327744007110596,0.5206323981285095,0.8081708073616027,0.6728758573532104,0.8952783942222595,0.810164213180542,0.9084339737892151,0.7350305914878845,0.44340534806251525,0.5607701063156127,0.6932687997817993
1775.0,0.4226610064506531,0.20099499821662903,0.4170520007610321,0.73539,0.8332405090332031,0.3341670036315918,0.5942819714546204,0.7321241497993469,0.7630171179771423,0.8696249723434448,0.43640100955963135,0.8143748641014099,0.46718600392341614,0.9132000207901001,0.6482920050621033,0.5744302868843079,0.5303099751472473,0.6326079964637756,0.5204229950904846,0.8072400093078613,0.6726088523864746,0.8954859972000122,0.8098390102386475,0.9080156087875366,0.7350299954414368,0.4430866837501526,0.5611577033996582,0.6906329989433289
1776.0,0.4224708080291748,0.2005777984857559,0.41726319789886473,0.7352616,0.8334272623062133,0.3341252028942108,0.5976825714111328,0.7319453954696655,0.7635543346405029,0.8695199728012085,0.4369178056716919,0.8143103718757629,0.4671494007110596,0.9127896189689636,0.6482724070549011,0.5745147109031677,0.5301135778427124,0.6325683951377868,0.5204042553901672,0.8067066073417664,0.6723556399345398,0.8952733993530273,0.8096796035766601,0.9073593616485596,0.735138201713562,0.4427873492240906,0.561688244342804,0.6884879350662232
1777.0,0.42228060960769653,0.20016059875488282,0.41747439503669737,0.7351331999999999,0.8336140155792237,0.33408340215682986,0.6010831713676452,0.7317666411399841,0.7640915513038635,0.8694149732589722,0.43743460178375243,0.814245879650116,0.467112797498703,0.9123792171478271,0.648252809047699,0.5745991349220276,0.5299171805381775,0.632528793811798,0.5203855156898498,0.8061732053756714,0.672102427482605,0.8950608015060425,0.8095201969146728,0.9067031145095825,0.7352464079856873,0.44248801469802856,0.5622187852859497,0.6863428711891174
1778.0,0.42209041118621826,0.1997433990240097,0.41768559217453005,0.7350048,0.8338007688522339,0.33404160141944883,0.6044837713241578,0.7315878868103027,0.7646287679672241,0.8693099737167358,0.437951397895813,0.814181387424469,0.46707619428634645,0.9119688153266907,0.6482332110404968,0.5746835589408874,0.5297207832336426,0.6324891924858094,0.5203667759895325,0.8056398034095764,0.6718492150306702,0.8948482036590576,0.8093607902526856,0.9060468673706055,0.7353546142578125,0.44218868017196655,0.5627493262290955,0.6841978073120117
1779.0,0.42190021276474,0.1993261992931366,0.4178967893123627,0.7348764,0.8339875221252442,0.33399980068206786,0.6078843712806702,0.7314091324806213,0.7651659846305847,0.8692049741744995,0.4384681940078735,0.814116895198822,0.46703959107398985,0.9115584135055542,0.6482136130332947,0.5747679829597473,0.5295243859291077,0.6324495911598206,0.5203480362892151,0.8051064014434814,0.6715960025787353,0.8946356058120728,0.8092013835906983,0.9053906202316284,0.7354628205299377,0.44188934564590454,0.5632798671722412,0.682052743434906
1780.0,0.4217100143432617,0.1989089995622635,0.4181079864501953,0.734748,0.8341742753982544,0.3339579999446869,0.6112849712371826,0.7312303781509399,0.7657032012939453,0.8690999746322632,0.4389849901199341,0.814052402973175,0.4670029878616333,0.9111480116844177,0.6481940150260925,0.5748524069786072,0.5293279886245728,0.6324099898338318,0.5203292965888977,0.8045729994773865,0.6713427901268005,0.8944230079650879,0.8090419769287109,0.9047343730926514,0.735571026802063,0.44159001111984253,0.563810408115387,0.6799076795578003
1781.0,0.42144041061401366,0.198581200838089,0.41843398809432986,0.735022,0.8342966437339783,0.333992600440979,0.6158039808273316,0.7322001814842224,0.7669996380805969,0.8690073847770691,0.4395635902881622,0.8139516711235046,0.46713138818740846,0.9106986045837402,0.6483692169189453,0.5748344302177429,0.5293653964996338,0.6322961926460267,0.5201886653900146,0.8039819955825805,0.6720174193382263,0.8943844079971314,0.8088101863861084,0.9048054695129395,0.7355384230613708,0.4413354337215424,0.5653209447860718,0.6797262787818908
1782.0,0.4211708068847656,0.19825340211391448,0.41875998973846434,0.735296,0.8344190120697021,0.3340272009372711,0.6203229904174805,0.7331699848175048,0.7682960748672485,0.868914794921875,0.44014219045639036,0.8138509392738342,0.4672597885131836,0.9102491974830628,0.6485444188117981,0.5748164534568787,0.5294028043746948,0.6321823954582214,0.5200480341911315,0.8033909916877746,0.6726920485496521,0.8943458080291748,0.8085783958435059,0.9048765659332275,0.7355058193206787,0.4410808563232422,0.5668314814567565,0.6795448780059814
1783.0,0.4209012031555176,0.19792560338974,0.4190859913825989,0.7355700000000001,0.834541380405426,0.33406180143356323,0.6248420000076294,0.7341397881507874,0.7695925116539002,0.868822205066681,0.44072079062461855,0.8137502074241638,0.4673881888389587,0.9097997903823852,0.6487196207046508,0.5747984766960144,0.5294402122497559,0.6320685982704163,0.5199074029922486,0.8027999877929688,0.6733666777610778,0.8943072080612182,0.8083466053009033,0.9049476623535156,0.7354732155799866,0.440826278924942,0.5683420181274415,0.6793634772300721
1784.0,0.42063159942626954,0.19759780466556548,0.4194119930267334,0.735844,0.8346637487411499,0.33409640192985535,0.6293610095977783,0.7351095914840698,0.7708889484405518,0.8687296152114868,0.4412993907928467,0.8136494755744934,0.4675165891647339,0.9093503832817078,0.6488948225975036,0.5747804999351501,0.5294776201248169,0.631954801082611,0.5197667717933655,0.8022089838981629,0.6740413069725036,0.8942686080932617,0.8081148147583008,0.9050187587738037,0.7354406118392944,0.4405717015266418,0.5698525547981262,0.6791820764541626
1785.0,0.4203619956970215,0.197270005941391,0.4197379946708679,0.736118,0.8347861170768738,0.33413100242614746,0.6338800191879272,0.7360793948173523,0.7721853852272034,0.8686370253562927,0.44187799096107483,0.813548743724823,0.46764498949050903,0.9089009761810303,0.6490700244903564,0.5747625231742859,0.5295150279998779,0.6318410038948059,0.5196261405944824,0.8016179800033569,0.6747159361839294,0.8942300081253052,0.8078830242156982,0.9050898551940918,0.7354080080986023,0.4403171241283417,0.571363091468811,0.6790006756782532
1786.0,0.42015899419784547,0.19705460369586944,0.41997899413108825,0.7362812000000001,0.8348466873168945,0.33419700264930724,0.6398682117462158,0.7370486855506897,0.7737557530403137,0.8684786200523377,0.4423797905445099,0.8134930491447449,0.4678565919399261,0.9082515835762024,0.6491918206214905,0.5748048305511475,0.5297284245491027,0.6319078087806702,0.5198122739791871,0.8009967803955078,0.6748751878738404,0.894141411781311,0.807718813419342,0.9051600456237793,0.7354632019996643,0.44015703201293943,0.5723033905029297,0.6785265803337097
1787.0,0.41995599269866946,0.1968392014503479,0.42021999359130857,0.7364444,0.8349072575569153,0.334263002872467,0.6458564043045044,0.7380179762840271,0.7753261208534241,0.8683202147483826,0.4428815901279449,0.8134373545646667,0.4680681943893433,0.9076021909713745,0.6493136167526246,0.574847137928009,0.5299418210983277,0.6319746136665344,0.5199984073638916,0.8003755807876587,0.6750344395637512,0.8940528154373169,0.8075546026229858,0.9052302360534668,0.7355183959007263,0.43999693989753724,0.5732436895370483,0.6780524849891663
1788.0,0.4197529911994934,0.19662379920482637,0.42046099305152895,0.7366076,0.834967827796936,0.33432900309562685,0.651844596862793,0.7389872670173645,0.7768964886665344,0.8681618094444274,0.44338338971138,0.8133816599845887,0.46827979683876036,0.9069527983665466,0.6494354128837585,0.5748894453048706,0.5301552176475525,0.6320414185523987,0.5201845407485962,0.7997543811798096,0.6751936912536621,0.8939642190933228,0.8073903918266296,0.9053004264831543,0.7355735898017883,0.439836847782135,0.574183988571167,0.6775783896446228
1789.0,0.41954998970031737,0.19640839695930482,0.4207019925117493,0.7367708,0.8350283980369568,0.33439500331878663,0.6578327894210816,0.7399565577507019,0.7784668564796448,0.8680034041404724,0.4438851892948151,0.8133259654045105,0.4684913992881775,0.9063034057617188,0.6495572090148926,0.5749317526817321,0.5303686141967774,0.6321082234382629,0.5203706741333007,0.7991331815719604,0.675352942943573,0.8938756227493286,0.8072261810302734,0.9053706169128418,0.7356287837028503,0.4396767556667328,0.5751242876052857,0.6771042943000793
1790.0,0.41934698820114136,0.19619299471378326,0.4209429919719696,0.736934,0.8350889682769775,0.3344610035419464,0.6638209819793701,0.7409258484840393,0.7800372242927551,0.8678449988365173,0.4443869888782501,0.8132702708244324,0.4687030017375946,0.9056540131568909,0.6496790051460266,0.5749740600585938,0.5305820107460022,0.6321750283241272,0.5205568075180054,0.7985119819641113,0.6755121946334839,0.8937870264053345,0.8070619702339172,0.9054408073425293,0.7356839776039124,0.43951666355133057,0.5760645866394043,0.6766301989555359
1791.0,0.4191873908042908,0.1955685943365097,0.42106719613075255,0.7371298,0.8350568175315857,0.3344014048576355,0.6694831848144531,0.7418943881988526,0.7820712685585022,0.867630398273468,0.444980788230896,0.8131479024887085,0.46885859966278076,0.9049508094787597,0.6498777985572814,0.5751068234443665,0.5305912137031555,0.6318676233291626,0.5202870965003967,0.7979489803314209,0.6748983263969421,0.8933850169181824,0.8068567752838135,0.905509614944458,0.735643184185028,0.4392973303794861,0.5761494994163513,0.6757170557975769
1792.0,0.4190277934074402,0.19494419395923615,0.4211914002895355,0.7373256,0.8350246667861938,0.3343418061733246,0.6751453876495361,0.7428629279136658,0.7841053128242492,0.8674157977104187,0.44557458758354185,0.8130255341529846,0.4690141975879669,0.9042476058006287,0.6500765919685364,0.5752395868301392,0.5306004166603089,0.631560218334198,0.5200173854827881,0.7973859786987305,0.6742844581604004,0.8929830074310303,0.8066515803337098,0.9055784225463868,0.7356023907661438,0.4390779972076416,0.5762344121932983,0.6748039126396179
1793.0,0.4188681960105896,0.19431979358196258,0.4213156044483185,0.7375214,0.834992516040802,0.33428220748901366,0.6808075904846191,0.743831467628479,0.7861393570899964,0.8672011971473694,0.44616838693618777,0.8129031658172607,0.4691697955131531,0.9035444021224975,0.6502753853797912,0.5753723502159118,0.5306096196174621,0.6312528133392334,0.5197476744651794,0.79682297706604,0.6736705899238586,0.8925809979438781,0.8064463853836059,0.9056472301483154,0.7355615973472596,0.4388586640357971,0.5763193249702454,0.6738907694816589
1794.0,0.418708598613739,0.19369539320468904,0.42143980860710145,0.7377172000000001,0.8349603652954102,0.3342226088047028,0.6864697933197021,0.7448000073432922,0.7881734013557434,0.8669865965843201,0.44676218628883363,0.8127807974815369,0.46932539343833923,0.9028411984443665,0.6504741787910462,0.5755051136016845,0.5306188225746155,0.6309454083442688,0.5194779634475708,0.7962599754333496,0.6730567216873169,0.892178988456726,0.8062411904335022,0.9057160377502441,0.7355208039283753,0.4386393308639526,0.5764042377471924,0.6729776263237
1795.0,0.4185490012168884,0.19307099282741547,0.4215640127658844,0.737913,0.8349282145500183,0.33416301012039185,0.6921319961547852,0.7457685470581055,0.7902074456214905,0.8667719960212708,0.4473559856414795,0.812658429145813,0.4694809913635254,0.9021379947662354,0.650672972202301,0.5756378769874573,0.5306280255317688,0.6306380033493042,0.5192082524299622,0.7956969738006592,0.6724428534507751,0.891776978969574,0.8060359954833984,0.9057848453521729,0.735480010509491,0.43841999769210815,0.5764891505241394,0.672064483165741
1796.0,0.4184140026569366,0.19303499460220336,0.4217406094074249,0.73804,0.834647798538208,0.33413240909576414,0.6956907987594605,0.7471606373786926,0.7921131730079651,0.8666937947273254,0.44795578718185425,0.8125429630279541,0.4695491909980774,0.9025331974029541,0.6512093782424927,0.5755264639854432,0.530671215057373,0.6306789994239808,0.5192203760147095,0.7950283765792847,0.6719117045402527,0.8917723774909974,0.8057803988456727,0.9060946822166442,0.735466206073761,0.43827800154685975,0.5767774701118469,0.6717767119407654
1797.0,0.4182790040969849,0.19299899637699128,0.42191720604896543,0.738167,0.8343673825263977,0.3341018080711365,0.6992496013641357,0.7485527276992798,0.7940189003944397,0.8666155934333801,0.448555588722229,0.8124274969100952,0.4696173906326294,0.9029284000396729,0.6517457842826844,0.5754150509834289,0.5307144045829773,0.6307199954986572,0.5192324995994568,0.7943597793579101,0.6713805556297302,0.8917677760124206,0.8055248022079468,0.9064045190811157,0.735452401638031,0.43813600540161135,0.5770657896995545,0.6714889407157898
1798.0,0.41814400553703307,0.19296299815177917,0.422093802690506,0.738294,0.8340869665145874,0.3340712070465088,0.7028084039688111,0.7499448180198669,0.7959246277809143,0.8665373921394348,0.44915539026260376,0.8123120307922364,0.4696855902671814,0.9033236026763916,0.6522821903228759,0.5753036379814148,0.5307575941085816,0.6307609915733338,0.5192446231842041,0.7936911821365357,0.6708494067192078,0.891763174533844,0.805269205570221,0.9067143559455871,0.735438597202301,0.4379940092563629,0.5773541092872619,0.6712011694908142
1799.0,0.4180090069770813,0.1929269999265671,0.4222703993320465,0.738421,0.8338065505027771,0.3340406060218811,0.7063672065734863,0.7513369083404541,0.7978303551673889,0.8664591908454895,0.4497551918029785,0.8121965646743774,0.4697537899017334,0.9037188053131103,0.6528185963630676,0.5751922249794006,0.5308007836341858,0.6308019876480102,0.5192567467689514,0.7930225849151611,0.6703182578086853,0.8917585730552673,0.8050136089324951,0.9070241928100586,0.735424792766571,0.4378520131111145,0.5776424288749695,0.6709133982658386
1800.0,0.4178740084171295,0.19289100170135498,0.42244699597358704,0.738548,0.8335261344909668,0.3340100049972534,0.7099260091781616,0.7527289986610413,0.7997360825538635,0.8663809895515442,0.45035499334335327,0.8120810985565186,0.4698219895362854,0.9041140079498291,0.6533550024032593,0.5750808119773865,0.53084397315979,0.6308429837226868,0.5192688703536987,0.7923539876937866,0.6697871088981628,0.8917539715766907,0.8047580122947693,0.90733402967453,0.7354109883308411,0.4377100169658661,0.577930748462677,0.670625627040863
1801.0,0.4175618052482605,0.1926572024822235,0.42242819666862486,0.7385784,0.8331836462020874,0.3340322017669678,0.7117184042930603,0.7542269945144653,0.800946307182312,0.8657657861709595,0.45080819725990295,0.8120585918426514,0.4697491943836212,0.9033120036125183,0.6531401991844177,0.5749083518981933,0.5309025764465332,0.6308095812797546,0.5190858483314514,0.7922639846801758,0.6692766427993775,0.8915891766548156,0.8045714139938355,0.9077041268348693,0.7353569865226746,0.4375666856765747,0.5782699227333069,0.6704941987991333
1802.0,0.4172496020793915,0.19242340326309204,0.42240939736366273,0.7386088,0.832841157913208,0.3340543985366821,0.713510799407959,0.7557249903678894,0.8021565318107605,0.8651505827903747,0.45126140117645264,0.8120360851287842,0.46967639923095705,0.9025099992752075,0.6529253959655762,0.5747358918190002,0.5309611797332764,0.6307761788368225,0.5189028263092041,0.7921739816665649,0.668766176700592,0.8914243817329407,0.8043848156929017,0.9080742239952088,0.7353029847145081,0.4374233543872833,0.5786090970039368,0.6703627705574036
1803.0,0.41693739891052245,0.19218960404396057,0.42239059805870055,0.7386392,0.8324986696243286,0.3340765953063965,0.7153031945228576,0.7572229862213135,0.803366756439209,0.8645353794097901,0.4517146050930023,0.812013578414917,0.4696036040782928,0.9017079949378968,0.6527105927467346,0.5745634317398072,0.5310197830200195,0.6307427763938904,0.5187198042869567,0.7920839786529541,0.6682557106018067,0.8912595868110657,0.8041982173919677,0.9084443211555481,0.7352489829063416,0.43728002309799197,0.5789482712745666,0.6702313423156738
1804.0,0.41662519574165346,0.1919558048248291,0.4223717987537384,0.7386696,0.8321561813354492,0.3340987920761108,0.7170955896377563,0.7587209820747376,0.8045769810676575,0.8639201760292053,0.452167809009552,0.8119910717010498,0.46953080892562865,0.900905990600586,0.6524957895278931,0.574390971660614,0.5310783863067627,0.6307093739509583,0.5185367822647095,0.7919939756393433,0.6677452445030212,0.8910947918891907,0.8040116190910339,0.9088144183158875,0.735194981098175,0.4371366918087006,0.5792874455451965,0.6700999140739441
1805.0,0.4163129925727844,0.19172200560569763,0.42235299944877625,0.7387,0.8318136930465698,0.3341209888458252,0.718887984752655,0.7602189779281616,0.805787205696106,0.8633049726486206,0.4526210129261017,0.8119685649871826,0.4694580137729645,0.9001039862632751,0.6522809863090515,0.5742185115814209,0.5311369895935059,0.6306759715080261,0.5183537602424622,0.7919039726257324,0.6672347784042358,0.8909299969673157,0.8038250207901001,0.9091845154762268,0.7351409792900085,0.4369933605194092,0.5796266198158264,0.6699684858322144
1806.0,0.41621279120445254,0.19152520596981049,0.4224820017814636,0.738907,0.8318179249763489,0.3341711938381195,0.7198651909828186,0.7613579034805298,0.8069544315338135,0.8626147747039795,0.45331820845603943,0.811767292022705,0.46966640949249266,0.9003043889999389,0.6525183916091919,0.5740354180335998,0.5310141921043396,0.6304029822349548,0.5185537099838257,0.791175377368927,0.6668177247047424,0.891210401058197,0.8035632133483886,0.9087390184402466,0.7350575804710389,0.43688969021552737,0.5789327502250672,0.6723041892051697
1807.0,0.4161125898361206,0.19132840633392334,0.422611004114151,0.739114,0.8318221569061279,0.3342213988304138,0.7208423972129822,0.762496829032898,0.808121657371521,0.8619245767593384,0.4540154039859772,0.8115660190582276,0.46987480521202085,0.9005047917366028,0.6527557969093323,0.5738523244857788,0.5308913946151733,0.6301299929618835,0.5187536597251892,0.7904467821121216,0.666400671005249,0.8914908051490784,0.8033014059066772,0.9082935214042663,0.7349741816520691,0.4367860199116455,0.5782388806343078,0.674639892578125
1808.0,0.4160123884677887,0.1911316066980362,0.4227400064468384,0.739321,0.831826388835907,0.33427160382270815,0.7218196034431458,0.7636357545852661,0.8092888832092285,0.8612343788146972,0.4547125995159149,0.81136474609375,0.4700832009315491,0.9007051944732666,0.6529932022094727,0.5736692309379577,0.5307685971260071,0.6298570036888123,0.5189536094665528,0.7897181868553161,0.6659836173057556,0.8917712092399597,0.8030395984649659,0.9078480243682862,0.7348907828330994,0.4366823496077637,0.5775450110435486,0.6769755959510804
1809.0,0.41591218709945676,0.19093480706214905,0.42286900877952577,0.7395280000000001,0.831830620765686,0.33432180881500245,0.7227968096733093,0.7647746801376343,0.810456109046936,0.8605441808700561,0.45540979504585266,0.8111634731292725,0.4702915966510773,0.9009055972099305,0.653230607509613,0.5734861373901368,0.5306457996368408,0.629584014415741,0.5191535592079163,0.7889895915985108,0.6655665636062622,0.892051613330841,0.8027777910232544,0.9074025273323059,0.7348073840141296,0.43657867930388183,0.5768511414527893,0.6793112993240357
1810.0,0.4158119857311249,0.1907380074262619,0.42299801111221313,0.739735,0.8318348526954651,0.33437201380729675,0.7237740159034729,0.7659136056900024,0.8116233348846436,0.859853982925415,0.4561069905757904,0.8109622001647949,0.47049999237060547,0.9011059999465942,0.6534680128097534,0.5733030438423157,0.5305230021476746,0.6293110251426697,0.5193535089492798,0.7882609963417053,0.6651495099067688,0.8923320174217224,0.802515983581543,0.9069570302963257,0.7347239851951599,0.436475009,0.57615727186203,0.681647002696991
1811.0,0.41549298763275144,0.19060420691967012,0.42339720726013186,0.739984,0.831839096546173,0.3343632102012634,0.7241730093955994,0.7670525670051574,0.812360942363739,0.8587721824645996,0.45657719373703004,0.8109037280082703,0.47067679166793824,0.9006060004234314,0.6538710117340087,0.5731199383735657,0.5305848002433777,0.6291888236999512,0.5192125320434571,0.7878430008888244,0.6647324442863465,0.8923466086387635,0.8020603895187378,0.9065115213394165,0.7346145868301391,0.43633657715773316,0.5754633784294129,0.683982765674591
1812.0,0.41517398953437806,0.1904704064130783,0.4237964034080505,0.740233,0.8318433403968811,0.3343544065952301,0.7245720028877258,0.7681915283203125,0.8130985498428345,0.8576903820037842,0.4570473968982697,0.8108452558517456,0.470853590965271,0.9001060009002686,0.6542740106582642,0.5729368329048157,0.5306465983390808,0.6290666222572326,0.5190715551376343,0.7874250054359436,0.664315378665924,0.8923611998558044,0.8016047954559327,0.9060660123825073,0.7345051884651184,0.4361981453154663,0.5747694849967957,0.6863185286521911
1813.0,0.4148549914360046,0.19033660590648652,0.42419559955596925,0.740482,0.8318475842475891,0.3343456029891968,0.7249709963798523,0.7693304896354676,0.8138361573219299,0.8566085815429687,0.45751760005950926,0.810786783695221,0.47103039026260374,0.8996060013771057,0.6546770095825195,0.5727537274360657,0.530708396434784,0.6289444208145142,0.5189305782318115,0.7870070099830627,0.6638983130455017,0.8923757910728455,0.8011492013931274,0.9056205034255982,0.7343957901000977,0.4360597134731995,0.5740755915641784,0.6886542916297913
